Date,Train Number,CCU,Coach,Loco
7/10/2023,71,1,3,1
7/10/2023,73,1,3,1
7/10/2023,75,,5,2
7/11/2023,71,1,4,1
7/11/2023,73,1,3,1
7/11/2023,75,1,4,1
7/12/2023,71,1,5,1
7/12/2023,73,1,4,1
7/12/2023,75,1,4,1
7/13/2023,71,1,5,1
7/13/2023,73,,4,2
7/13/2023,75,,4,2
7/14/2023,71,,5,2
7/14/2023,73,,4,2
7/14/2023,75,,4,2
7/15/2023,71,,5,2
7/15/2023,73,,4,2
7/15/2023,75,,4,2
7/16/2023,71,,5,2
7/16/2023,73,,5,2
7/16/2023,75,1,4,1
7/17/2023,71,,5,2
7/17/2023,73,,5,2
7/17/2023,75,1,4,1
7/18/2023,71,,5,2
7/18/2023,73,1,4,1
7/18/2023,75,,6,2
7/19/2023,71,,4,2
7/19/2023,73,,5,2
7/19/2023,75,1,4,1
7/20/2023,71,,4,2
7/20/2023,73,1,5,1
7/20/2023,75,1,4,1
7/21/2023,71,,5,2
7/21/2023,73,1,4,1
7/21/2023,75,1,4,1
7/22/2023,71,1,4,1
7/22/2023,73,,5,2
7/22/2023,75,1,4,1
7/23/2023,71,1,4,1
7/23/2023,73,,5,2
7/23/2023,75,1,4,1
7/24/2023,71,,5,2
7/24/2023,73,1,4,1
7/24/2023,75,1,4,1
7/25/2023,71,,4,2
7/25/2023,73,1,4,1
7/25/2023,75,,5,2
7/26/2023,71,1,4,1
7/26/2023,73,,5,2
7/26/2023,75,,4,2
7/27/2023,71,,5,2
7/27/2023,73,1,4,1
7/27/2023,75,,4,2
7/28/2023,71,,5,2
7/28/2023,73,,4,2
7/28/2023,75,1,4,1
7/29/2023,71,,4,2
7/29/2023,73,,5,2
7/29/2023,75,1,4,1
7/30/2023,71,,5,2
7/30/2023,73,,4,2
7/30/2023,75,1,4,1
7/31/2023,71,,4,2
7/31/2023,73,1,4,1
7/31/2023,75,,5,2
8/1/2023,71,,4,2
8/1/2023,73,1,4,1
8/1/2023,75,,5,2
8/2/2023,71,,4,2
8/2/2023,73,,5,2
8/2/2023,75,1,4,1
8/3/2023,71,,4,2
8/3/2023,73,1,4,1
8/3/2023,75,,5,2
8/4/2023,71,1,4,1
8/4/2023,73,,5,2
8/4/2023,75,,4,2
8/5/2023,71,,4,2
8/5/2023,73,,6,2
8/5/2023,75,1,4,1
8/6/2023,71,,4,2
8/6/2023,73,,6,2
8/6/2023,75,1,4,1
8/7/2023,71,,4,2
8/7/2023,73,,5,2
8/7/2023,75,1,4,1
8/8/2023,71,,5,2
8/8/2023,73,1,4,1
8/8/2023,75,,4,2
8/9/2023,71,,5,2
8/9/2023,73,1,5,1
8/9/2023,75,,5,2
8/10/2023,71,,5,2
8/10/2023,73,1,5,1
8/10/2023,75,,5,2
8/11/2023,71,,4,2
8/11/2023,73,,5,2
8/11/2023,75,1,4,1
8/12/2023,71,,4,2
8/12/2023,73,,5,2
8/12/2023,75,1,4,1
8/13/2023,71,,4,2
8/13/2023,73,,5,2
8/13/2023,75,1,4,1
8/14/2023,71,,4,2
8/14/2023,73,,7,2
8/14/2023,75,1,4,1
8/15/2023,71,,4,2
8/15/2023,73,1,4,1
8/15/2023,75,,4,2
8/16/2023,71,,4,2
8/16/2023,73,1,4,1
8/16/2023,75,1,4,1
8/17/2023,71,,4,2
8/17/2023,73,1,4,1
8/17/2023,75,1,4,1
8/18/2023,71,,4,2
8/18/2023,73,1,5,1
8/18/2023,75,1,4,1
8/19/2023,71,,4,2
8/19/2023,73,1,5,1
8/19/2023,75,1,4,1
8/20/2023,71,1,4,1
8/20/2023,73,1,5,1
8/20/2023,75,,4,2
8/21/2023,71,,4,2
8/21/2023,73,1,5,1
8/21/2023,75,1,4,1
8/22/2023,71,,4,2
8/22/2023,73,1,5,1
8/22/2023,75,1,4,1
8/23/2023,71,,4,2
8/23/2023,73,1,5,1
8/23/2023,75,1,4,1
8/24/2023,71,,4,2
8/24/2023,73,1,5,1
8/24/2023,75,1,4,1
8/25/2023,71,,4,2
8/25/2023,73,1,5,1
8/25/2023,75,1,4,1
8/26/2023,71,,4,2
8/26/2023,73,1,4,1
8/26/2023,75,1,5,1
8/27/2023,71,,4,2
8/27/2023,73,1,5,1
8/27/2023,75,1,4,1
8/28/2023,71,1,5,1
8/28/2023,73,,4,2
8/29/2023,71,1,5,1
8/29/2023,73,,4,2
8/29/2023,75,1,4,1
8/30/2023,71,,4,2
8/30/2023,73,1,4,1
8/30/2023,75,1,5,1
8/31/2023,71,,4,2
8/31/2023,73,1,4,1
8/31/2023,75,1,5,1
9/1/2023,71,,5,2
9/1/2023,73,1,5,1
9/1/2023,75,1,5,1
9/2/2023,71,,5,2
9/2/2023,73,,5,2
9/2/2023,75,1,5,1
9/3/2023,71,,5,2
9/3/2023,73,,5,2
9/3/2023,75,1,5,1
9/4/2023,71,,5,2
9/4/2023,73,,5,2
9/4/2023,75,1,5,1
9/5/2023,71,,5,2
9/5/2023,73,,5,2
9/5/2023,75,1,4,1
9/6/2023,71,,5,2
9/6/2023,73,,4,2
9/6/2023,75,1,4,1
9/7/2023,71,,4,2
9/7/2023,73,,5,2
9/7/2023,75,1,4,1
9/8/2023,73,,5,2
9/8/2023,75,1,4,1
9/9/2023,71,,4,2
9/9/2023,73,1,5,1
9/9/2023,75,1,4,1
9/10/2023,71,1,4,1
9/10/2023,73,1,5,1
9/10/2023,75,,4,2
9/11/2023,71,,4,2
9/11/2023,73,1,4,1
9/11/2023,75,1,4,1
9/12/2023,71,,4,2
9/12/2023,73,1,4,1
9/12/2023,75,1,4,1
9/13/2023,71,1,4,1
9/13/2023,73,1,4,1
9/13/2023,75,,4,2
9/14/2023,71,,4,2
9/14/2023,73,1,4,1
9/14/2023,75,1,4,1
9/15/2023,71,,4,2
9/15/2023,73,1,4,1
9/15/2023,75,1,4,1
9/16/2023,71,,4,2
9/16/2023,73,1,5,1
9/16/2023,75,1,4,1
9/17/2023,71,,4,2
9/17/2023,73,1,5,1
9/17/2023,75,1,4,1
9/18/2023,71,,4,2
9/18/2023,73,1,5,1
9/18/2023,75,1,4,1
9/19/2023,71,,4,2
9/19/2023,73,1,4,1
9/19/2023,75,1,4,1
9/20/2023,71,,4,2
9/20/2023,73,1,4,1
9/20/2023,75,1,4,1
9/21/2023,71,,5,2
9/21/2023,73,1,5,1
9/21/2023,75,1,4,1
9/22/2023,71,,5,2
9/22/2023,73,1,5,1
9/22/2023,75,1,4,1
9/23/2023,71,,5,2
9/23/2023,73,1,5,1
9/23/2023,75,1,4,1
9/24/2023,71,,5,2
9/24/2023,73,1,5,1
9/24/2023,75,1,4,1
9/25/2023,71,,4,2
9/25/2023,73,,5,2
9/25/2023,75,1,4,1
9/26/2023,71,,4,2
9/26/2023,73,,5,2
9/26/2023,75,1,4,1
9/27/2023,71,,4,2
9/27/2023,73,,5,2
9/27/2023,75,1,4,1
9/28/2023,71,,4,2
9/28/2023,73,,5,2
9/28/2023,75,1,4,1
9/29/2023,71,,4,2
9/29/2023,73,,5,2
9/29/2023,75,1,4,1
9/30/2023,71,1,4,1
9/30/2023,73,,5,2
9/30/2023,75,,4,2
10/1/2023,71,,6,2
10/1/2023,73,,4,2
10/1/2023,75,,5,2
10/2/2023,71,,5,2
10/2/2023,73,1,4,1
10/2/2023,75,1,4,1
10/3/2023,71,,5,2
10/3/2023,73,1,4,1
10/3/2023,75,1,4,1
10/4/2023,71,,4,2
10/4/2023,73,1,4,1
10/4/2023,75,1,4,1
10/5/2023,71,,4,2
10/5/2023,73,,4,2
10/5/2023,75,1,4,1
10/6/2023,71,,5,2
10/6/2023,73,1,4,1
10/6/2023,75,,5,2
10/7/2023,71,,5,2
10/7/2023,73,1,4,1
10/7/2023,75,,5,2
10/8/2023,71,,5,2
10/8/2023,73,,5,2
10/8/2023,75,1,4,1
10/9/2023,71,,4,2
10/9/2023,73,,4,2
10/9/2023,75,1,4,1
10/10/2023,71,,4,2
10/10/2023,73,1,5,1
10/10/2023,75,,5,2
10/11/2023,71,,4,2
10/11/2023,73,,5,2
10/11/2023,75,1,5,1
10/12/2023,71,,5,2
10/12/2023,73,,4,2
10/12/2023,75,1,5,1
10/13/2023,71,,6,2
10/13/2023,73,,4,2
10/13/2023,75,1,4,1
10/14/2023,71,,6,2
10/14/2023,73,,4,2
10/14/2023,75,1,4,1
10/15/2023,71,,6,2
10/15/2023,73,,4,2
10/15/2023,75,1,4,1
10/16/2023,71,,6,2
10/16/2023,73,,4,2
10/16/2023,75,1,4,1
10/17/2023,71,,6,2
10/17/2023,73,,4,2
10/17/2023,75,1,4,1
10/18/2023,71,,6,2
10/18/2023,73,1,4,1
10/18/2023,75,1,4,1
10/19/2023,71,,6,2
10/19/2023,73,1,4,1
10/19/2023,75,1,4,1
10/20/2023,71,,6,2
10/20/2023,73,1,5,1
10/20/2023,75,1,4,1
10/21/2023,71,1,6,1
10/21/2023,73,1,5,1
10/21/2023,75,1,4,1
10/22/2023,71,1,6,1
10/22/2023,73,1,5,1
10/22/2023,75,1,4,1
10/23/2023,71,1,4,1
10/23/2023,73,1,4,1
10/23/2023,75,1,4,1
10/24/2023,71,1,4,1
10/24/2023,73,1,4,1
10/24/2023,75,1,4,1
10/25/2023,71,1,4,1
10/25/2023,73,1,4,1
10/25/2023,75,1,4,1
10/26/2023,71,1,4,1
10/26/2023,73,1,4,1
10/26/2023,75,1,4,1
10/27/2023,71,1,4,1
10/27/2023,73,,4,2
10/27/2023,75,1,4,1
10/28/2023,71,,5,2
10/28/2023,73,1,5,1
10/28/2023,75,1,4,1
10/29/2023,71,,5,2
10/29/2023,73,1,4,1
10/29/2023,75,2,9,2
10/30/2023,71,1,4,1
10/30/2023,73,1,2,1
10/30/2023,75,,4,2
10/31/2023,71,,4,2
10/31/2023,73,1,4,1
10/31/2023,75,1,4,1
11/1/2023,71,,4,2
11/1/2023,73,1,4,1
11/1/2023,75,1,4,2
11/2/2023,71,,4,2
11/2/2023,73,1,4,1
11/2/2023,75,,4,2
11/3/2023,71,,4,2
11/3/2023,73,1,4,1
11/3/2023,75,,4,2
11/4/2023,71,,4,2
11/4/2023,73,1,4,1
11/4/2023,75,,4,2
11/5/2023,71,,4,2
11/5/2023,73,1,4,1
11/5/2023,75,,4,2
11/6/2023,71,,4,2
11/6/2023,73,1,4,1
11/6/2023,75,,4,2
11/7/2023,71,,4,2
11/7/2023,73,,5,2
11/7/2023,75,1,4,1
11/8/2023,71,,4,2
11/8/2023,73,,4,2
11/8/2023,75,1,4,1
11/9/2023,71,,4,2
11/9/2023,73,1,4,1
11/9/2023,75,,4,2
11/10/2023,71,,4,2
11/10/2023,73,,4,2
11/10/2023,75,1,4,1
11/11/2023,71,,4,2
11/11/2023,73,,4,2
11/11/2023,75,1,4,1
11/12/2023,71,,4,2
11/12/2023,73,,4,2
11/12/2023,75,1,4,1
11/13/2023,71,,5,2
11/13/2023,73,1,4,1
11/13/2023,75,,4,2
11/14/2023,71,,4,2
11/14/2023,73,1,4,1
11/14/2023,75,,4,2
11/15/2023,71,,4,2
11/15/2023,73,,6,2
11/15/2023,75,1,4,1
11/16/2023,71,,4,2
11/16/2023,73,,3,2
11/16/2023,75,1,4,1
11/17/2023,71,,4,2
11/17/2023,73,,6,2
11/17/2023,75,1,4,1
11/18/2023,71,1,4,1
