ORIG_SEQ,RASTERVALU,x_coordinate,y_coordinate
1,839.0247192,-79.79076771,36.06763864
2,836.2925415,-79.7890874,36.06812533
3,835.7904053,-79.78738494,36.06856203
4,836.5751343,-79.78565929,36.06893225
5,812.6880493,-79.78391736,36.06925188
6,828.2207642,-79.78216932,36.06954882
7,824.2484131,-79.78043242,36.06988563
8,818.8632202,-79.77868946,36.0702003
9,812.4609985,-79.77694124,36.07049619
10,807.788147,-79.77519923,36.07081507
11,810.1032104,-79.773445,36.07108751
12,812.0220947,-79.77169832,36.07138921
13,813.8933105,-79.76995688,36.07171055
14,816.0164185,-79.76822876,36.0720751
15,803.8636475,-79.76653423,36.07253177
16,814.4404907,-79.76482629,36.07295396
17,815.4099731,-79.76313722,36.07342385
18,810.390686,-79.76144815,36.07389375
19,805.6069336,-79.75975578,36.07435546
20,805.394043,-79.75804094,36.07475956
21,803.7675171,-79.75634972,36.0752212
22,804.2921143,-79.75476663,36.0758863
23,798.7351685,-79.75332628,36.0767373
24,802.345459,-79.75189868,36.07760481
25,806.1416626,-79.7504768,36.07847873
26,807.8696289,-79.74905494,36.07935265
27,807.8950195,-79.74763307,36.08022656
28,805.0698242,-79.74618743,36.08107413
29,809.9569092,-79.74471254,36.08188808
30,809.4759521,-79.7432024,36.0826592
31,808.2126465,-79.7416294,36.0833372
32,809.3995972,-79.73995252,36.08383265
33,808.1734619,-79.73822008,36.08417766
34,803.3860474,-79.73645129,36.08437802
35,802.3812256,-79.73468261,36.08458039
36,801.8966675,-79.73290783,36.08474348
37,802.8275757,-79.73113208,36.08490027
38,803.6968994,-79.72935633,36.08505705
39,800.1116943,-79.72758233,36.08522586
40,796.7439575,-79.72580658,36.0853792
41,791.5251465,-79.72402534,36.08548785
42,789.5248413,-79.7222415,36.08555259
43,787.9266968,-79.72045534,36.08556667
44,786.5378418,-79.71866922,36.08558389
45,783.7267456,-79.71688319,36.08560421
46,779.8765869,-79.71509694,36.08559146
47,774.8206177,-79.71331076,36.08558489
48,770.0657349,-79.71152527,36.0856281
49,765.1846924,-79.70974413,36.08573061
50,760.6766968,-79.70797005,36.0858989
51,758.0892334,-79.70619825,36.08608238
52,756.0998535,-79.70442801,36.08627528
53,750.2178345,-79.70266892,36.08652448
54,745.5151978,-79.70092802,36.08684793
55,740.3587646,-79.69918579,36.08716665
56,736.163269,-79.69744302,36.08748346
57,727.2014771,-79.69571326,36.08784295
58,728.5378418,-79.6940296,36.08831883
59,722.7663574,-79.69245681,36.08899857
60,720.2854614,-79.69105742,36.0898912
61,716.9766235,-79.68980315,36.09091844
62,708.1558228,-79.68849496,36.09189868
63,705.9567871,-79.68702548,36.09271647
64,712.7185059,-79.68542716,36.09335744
65,704.0059204,-79.68380566,36.09396297
66,710.1547241,-79.68217577,36.09455367
67,714.5493164,-79.68053777,36.09512937
68,719.1472778,-79.67889402,36.09569442
69,724.2282104,-79.67725027,36.09625947
70,728.9284058,-79.67560651,36.09682451
71,733.8193359,-79.67396276,36.09738955
72,736.7001953,-79.67231901,36.09795459
73,737.59729,-79.67067676,36.09852243
74,739.5927734,-79.66902875,36.09907874
75,740.8894043,-79.66737828,36.09962968
76,739.5505981,-79.6658021,36.10030476
77,738.1828003,-79.66436301,36.10115901
78,742.1158447,-79.66303546,36.10212133
79,746.1243896,-79.66174372,36.1031181
80,747.1364746,-79.66044116,36.10410574
81,746.7909546,-79.65912033,36.10507722
82,747.5383301,-79.65776457,36.1060168
83,748.588623,-79.65630183,36.10684306
84,749.5991211,-79.65475472,36.10756338
85,749.1589355,-79.65314025,36.10817943
86,745.8850098,-79.6514532,36.10865161
87,745.5823975,-79.64972046,36.1089997
88,745.1176147,-79.64795886,36.10923643
89,743.2227173,-79.64617799,36.1093294
90,743.2388306,-79.64439242,36.1092875
91,745.4569702,-79.64260845,36.10921359
92,748.4934082,-79.64082619,36.10911751
93,752.2232666,-79.63904544,36.10900452
94,754.3834839,-79.63726752,36.10886477
95,752.0233765,-79.63548938,36.10872715
96,746.6572266,-79.63370684,36.10863333
97,741.567749,-79.63192376,36.10854684
98,736.3533936,-79.63014036,36.10856759
99,731.4364624,-79.62839436,36.1088658
100,726.7126465,-79.62675918,36.10944209
101,720.0117798,-79.62517488,36.11010875
102,716.3873901,-79.62357936,36.11075761
103,709.9177856,-79.62198667,36.11141092
104,705.4143066,-79.62040968,36.11208869
105,702.0958252,-79.61884044,36.11277818
106,694.4603882,-79.61722078,36.11338445
107,690.8252563,-79.61550155,36.11375857
108,685.0455322,-79.61372239,36.11380797
109,681.7113647,-79.61195192,36.11362435
110,675.3324585,-79.61019097,36.11338277
111,670.991333,-79.60841844,36.11320472
112,662.5231934,-79.60663462,36.11318263
113,657.446106,-79.60485275,36.11328355
114,657.2159424,-79.60307374,36.11341281
115,661.2531738,-79.60129725,36.11356398
116,667.4257202,-79.59952628,36.1137524
117,671.8028564,-79.59775248,36.11392141
118,676.4031372,-79.59597084,36.11401756
119,681.7125244,-79.59418481,36.11401157
120,683.9274292,-79.59239967,36.11395907
121,689.6135864,-79.59061384,36.11394642
122,695.2614136,-79.58882776,36.11392895
123,699.4256592,-79.58704173,36.11390293
124,705.9952393,-79.58525559,36.11389479
125,711.4153442,-79.58346952,36.11389366
126,715.1517944,-79.58168592,36.11381672
127,718.7421875,-79.57990797,36.11367901
128,725.1165161,-79.57813638,36.11349412
129,730.9768066,-79.57636507,36.11330759
130,735.7460938,-79.57459735,36.1130999
131,736.2161865,-79.57282963,36.1128922
132,733.0563354,-79.57106144,36.11268721
133,734.128479,-79.56929094,36.11249562
134,736.8737183,-79.56752026,36.11230507
135,738.6506958,-79.56574821,36.11212307
136,734.0297852,-79.56398191,36.11190877
137,729.7172241,-79.56222681,36.1116428
138,724.8196411,-79.56048035,36.11133964
139,721.4865723,-79.55873063,36.11104939
140,716.2529297,-79.55697665,36.11077604
141,714.4978638,-79.55524015,36.11044142
142,717.1763306,-79.55359609,36.10988513
143,722.2576294,-79.55200192,36.10923413
144,727.7785645,-79.55038791,36.10861577
145,731.3765869,-79.54878627,36.10797672
146,729.0271606,-79.54718463,36.10733767
147,724.2805176,-79.54558298,36.10669862
148,723.0078125,-79.54398134,36.10605956
149,720.8779297,-79.54237968,36.1054205
150,718.9119873,-79.54077803,36.10478144
151,716.5528564,-79.53918336,36.10413161
152,710.1130981,-79.53760108,36.10346178
153,707.1427002,-79.53596901,36.1028767
154,703.9290161,-79.53426637,36.1024456
155,707.5048218,-79.53250043,36.1022311
156,703.1609497,-79.53071711,36.10225821
157,700.06073,-79.52893993,36.10239138
158,697.7276611,-79.52716264,36.10252975
159,694.6298828,-79.52537905,36.10259457
160,699.7025146,-79.52359505,36.10253646
161,700.6113892,-79.52187346,36.1021617
162,708.3928223,-79.52020958,36.10163798
163,708.9624023,-79.51857044,36.10106427
164,704.6881104,-79.51689292,36.10056884
165,706.6881104,-79.51515346,36.10027223
166,708.6702271,-79.51336876,36.10032022
167,704.8388672,-79.51158389,36.10037834
168,711.9591675,-79.50979829,36.10041444
169,715.671875,-79.50801321,36.10046837
170,715.5176392,-79.50622814,36.1005223
171,713.9456177,-79.50444307,36.10057623
172,711.1550293,-79.502658,36.10063016
173,709.2034912,-79.50087293,36.10068409
174,704.3619385,-79.49908786,36.10073803
175,702.6920776,-79.4973036,36.10080672
176,702.5040283,-79.4955199,36.10088445
177,691.2373657,-79.49373726,36.10097704
178,693.31427,-79.4920072,36.10131397
179,692.8508301,-79.49039219,36.10192651
180,690.3016968,-79.48896335,36.10278224
181,692.7856445,-79.48768713,36.10379167
182,692.9669189,-79.48646088,36.1048409
183,691.8742065,-79.48526503,36.10591301
184,691.4672241,-79.48406917,36.1069851
185,691.541687,-79.48287331,36.10805718
186,691.6061401,-79.48164242,36.10910298
187,696.0079346,-79.48037555,36.11012002
188,694.569458,-79.47890281,36.11093445
189,693.2888184,-79.47730189,36.11157172
190,693.6490479,-79.4756125,36.11203401
191,697.2305298,-79.47385846,36.11229911
192,695.2704468,-79.47207667,36.11237893
193,700.1746216,-79.47029784,36.1122655
194,698.9020386,-79.46855807,36.11194817
195,694.0057983,-79.46689873,36.11142347
196,694.8746948,-79.46532241,36.1107446
197,697.7728882,-79.46376076,36.11004399
198,698.875061,-79.46220586,36.10933365
199,697.2433472,-79.46065677,36.10861501
200,693.5860596,-79.45910767,36.10789636
201,689.6552124,-79.45755857,36.10717771
202,686.1374512,-79.45600948,36.10645906
203,682.4324341,-79.45446005,36.10574087
204,680.2177734,-79.45291912,36.10501096
205,678.0145264,-79.45136945,36.10429402
206,673.5663452,-79.44976233,36.10366538
207,671.6260376,-79.4480735,36.10319634
208,668.756958,-79.44639796,36.10269733
209,673.739563,-79.4447635,36.1021159
210,672.1931763,-79.44320519,36.10141276
211,670.2406616,-79.44173791,36.10059104
212,668.3999634,-79.44037306,36.09966118
213,667.4831543,-79.43913805,36.09861976
214,666.0609741,-79.43801524,36.09749786
215,663.0466919,-79.43697185,36.0963264
216,662.465271,-79.43589796,36.09517309
217,662.7852173,-79.43481404,36.09402577
218,660.3848267,-79.43371515,36.09288782
219,642.260376,-79.43257841,36.09177434
220,644.3353271,-79.43147192,36.09064118
221,650.7318726,-79.43036885,36.08950576
222,645.5229492,-79.42921061,36.08840747
223,644.7276001,-79.42785996,36.08747557
224,649.1654053,-79.42622901,36.08690065
225,654.2195435,-79.42446554,36.08668458
226,656.9953613,-79.42268443,36.08657666
227,657.8935547,-79.42090298,36.08648527
228,660.0739136,-79.4191734,36.08614062
