Node_ID,Elevation_Smoothen_ft,Curve_Current_degrees,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Cumulative_Length_ft
1,838.380875,0.00024,POINT (-79.7908 36.06764),-79.7908,36.06764,0,0,0,50
2,838.27578,0.00024,POINT (-79.7906 36.06767),-79.7906,36.06767,0,1,0,100
3,836.0471333,0.00024,POINT (-79.7905 36.06771),-79.7905,36.06771,0,0,0,150
4,833.8787286,0.00024,POINT (-79.7904 36.06774),-79.7904,36.06774,0,0,0,200
5,833.2150571,0.00024,POINT (-79.7902 36.06778),-79.7902,36.06778,0,0,0,250
6,832.8994143,2.736,POINT (-79.7901 36.06781),-79.7901,36.06781,0,0,0,300
7,832.7594714,7.09984,POINT (-79.79 36.06785),-79.79,36.06785,0,1,0,350
8,832.6276429,0.0004,POINT (-79.7899 36.06789),-79.7899,36.06789,0,0,0,400
9,832.4760286,0.0007,POINT (-79.7897 36.06793),-79.7897,36.06793,0,0,0,450
10,834.1564857,0.58214,POINT (-79.7896 36.06798),-79.7896,36.06798,0,0,0,500
11,836.3624571,8.80152,POINT (-79.7895 36.06802),-79.7895,36.06802,0,0,0,550
12,836.6023286,0.0007,POINT (-79.7894 36.06805),-79.7894,36.06805,0,0,0,600
13,836.4062286,0.0007,POINT (-79.7892 36.06809),-79.7892,36.06809,0,0,0,650
14,836.1307714,0.00048,POINT (-79.7891 36.06812),-79.7891,36.06812,0,0,0,700
15,835.9150571,0.36594,POINT (-79.789 36.06816),-79.789,36.06816,0,0,0,750
16,835.6239429,0.11556,POINT (-79.7888 36.06819),-79.7888,36.06819,0,0,0,800
17,835.2949429,0.00096,POINT (-79.7887 36.06823),-79.7887,36.06823,0,0,0,850
18,835.0414714,0.00072,POINT (-79.7886 36.06826),-79.7886,36.06826,0,0,0,900
19,835.0832714,0.00072,POINT (-79.7884 36.0683),-79.7884,36.0683,0,0,0,950
20,835.1885857,2.77976,POINT (-79.7883 36.06833),-79.7883,36.06833,0,0,0,1000
21,835.3702571,0.662,POINT (-79.7882 36.06837),-79.7882,36.06837,0,0,0,1050
22,835.4982571,0.00072,POINT (-79.7881 36.0684),-79.7881,36.0684,0,0,0,1100
23,835.6736571,0.00072,POINT (-79.7879 36.06843),-79.7879,36.06843,0,0,0,1150
24,835.8627143,0,POINT (-79.7878 36.06846),-79.7878,36.06846,0,0,0,1200
25,836.0545286,0.00022,POINT (-79.7877 36.06849),-79.7877,36.06849,0,0,0,1250
26,836.0007429,0.00022,POINT (-79.7875 36.06853),-79.7875,36.06853,0,0,0,1300
27,835.9806286,0,POINT (-79.7874 36.06856),-79.7874,36.06856,0,0,0,1350
28,835.9686571,0.00072,POINT (-79.7873 36.06859),-79.7873,36.06859,0,0,0,1400
29,836.0030143,0.00072,POINT (-79.7871 36.06862),-79.7871,36.06862,0,0,0,1450
30,836.0679571,0,POINT (-79.787 36.06866),-79.787,36.06866,0,0,0,1500
31,836.1904,0,POINT (-79.7869 36.06869),-79.7869,36.06869,0,0,0,1550
32,836.3007286,0,POINT (-79.7867 36.06872),-79.7867,36.06872,1,0,0,1600
33,836.4601714,5.7597,POINT (-79.7866 36.06875),-79.7866,36.06875,0,0,0,1650
34,836.6131571,1.5979,POINT (-79.7865 36.06878),-79.7865,36.06878,0,0,0,1700
35,836.7782143,0.00072,POINT (-79.7863 36.0688),-79.7863,36.0688,0,0,0,1750
36,836.8793571,0.00072,POINT (-79.7862 36.06883),-79.7862,36.06883,0,0,0,1800
37,836.8871857,0.00056,POINT (-79.7861 36.06885),-79.7861,36.06885,0,0,0,1850
38,836.8457429,0.00056,POINT (-79.7859 36.06888),-79.7859,36.06888,0,0,0,1900
39,836.7886714,0.00072,POINT (-79.7858 36.0689),-79.7858,36.0689,0,0,0,1950
40,836.6443286,0.13482,POINT (-79.7857 36.06893),-79.7857,36.06893,0,0,0,2000
41,836.4481571,1.75178,POINT (-79.7855 36.06895),-79.7855,36.06895,0,0,0,2050
42,836.1814286,0,POINT (-79.7854 36.06898),-79.7854,36.06898,0,0,0,2100
43,835.8503,0.00016,POINT (-79.7853 36.069),-79.7853,36.069,0,0,0,2150
44,835.5709857,0.00056,POINT (-79.7851 36.06902),-79.7851,36.06902,0,0,0,2200
45,835.3310571,0.00072,POINT (-79.785 36.06905),-79.785,36.06905,0,0,0,2250
46,835.0499857,0.85498,POINT (-79.7849 36.06907),-79.7849,36.06907,0,0,0,2300
