OBJECTID,x_coordinate,y_coordinate,Direction,Arc_Angle,Arc_Temp,Arc_straddle,Arc_Angle_All
1,-78.3007,35.54388,304.1033,0,good,360,0
2,-78.3009,35.54395,304.1035,0.0004,good,359.9996,0.0004
3,-78.301,35.54401,304.1033,0.0004,good,359.9996,0.0004
4,-78.3011,35.54407,304.103,0.0006,good,359.9994,0.0006
5,-78.3012,35.54413,304.1033,0.0006,good,359.9994,0.0006
6,-78.3013,35.54419,304.1035,0.0004,good,359.9996,0.0004
7,-78.3014,35.54426,304.1033,0.0004,good,359.9996,0.0004
8,-78.3015,35.54432,304.1033,0,good,360,0
9,-78.3016,35.54438,304.1032,0.0001999999999,good,359.9998,0.0001999999999
10,-78.3018,35.54444,304.1033,0.0001999999999,good,359.9998,0.0001999999999
11,-78.3019,35.54451,304.1033,0,good,360,0
12,-78.302,35.54457,304.1033,0,good,360,0
13,-78.3021,35.54463,304.1035,0.0004,good,359.9996,0.0004
14,-78.3022,35.54469,304.1033,0.0004,good,359.9996,0.0004
15,-78.3023,35.54476,304.1033,0,good,360,0
16,-78.3024,35.54482,304.1032,0.0001999999999,good,359.9998,0.0001999999999
17,-78.3026,35.54488,304.1033,0.0001999999999,good,359.9998,0.0001999999999
18,-78.3027,35.54494,304.1033,0,good,360,0
19,-78.3028,35.54501,304.1033,0,good,360,0
20,-78.3029,35.54507,304.1035,0.0004,good,359.9996,0.0004
21,-78.303,35.54513,304.1033,0.0004,good,359.9996,0.0004
22,-78.3031,35.54519,304.103,0.0006,good,359.9994,0.0006
23,-78.3032,35.54526,304.1033,0.0006,good,359.9994,0.0006
24,-78.3033,35.54532,304.1035,0.0004,good,359.9996,0.0004
25,-78.3035,35.54538,304.1033,0.0004,good,359.9996,0.0004
26,-78.3036,35.54544,304.1033,0,good,360,0
27,-78.3037,35.54551,304.1035,0.0004,good,359.9996,0.0004
28,-78.3038,35.54557,304.103,0.001,good,359.999,0.001
29,-78.2791,35.53194,304.1033,0.0006,good,359.9994,0.0006
30,-78.2792,35.532,304.1033,0,good,360,0
31,-78.2793,35.53207,304.1035,0.0004,good,359.9996,0.0004
32,-78.2794,35.53213,304.1033,0.0004,good,359.9996,0.0004
33,-78.2796,35.53219,304.1033,0,good,360,0
34,-78.2797,35.53225,304.1032,0.0001999999999,good,359.9998,0.0001999999999
35,-78.2798,35.53232,304.1033,0.0001999999999,good,359.9998,0.0001999999999
36,-78.2799,35.53238,304.1033,0,good,360,0
37,-78.28,35.53244,304.1033,0,good,360,0
38,-78.2801,35.5325,304.1035,0.0004,good,359.9996,0.0004
39,-78.2802,35.53257,304.1033,0.0004,good,359.9996,0.0004
40,-78.2803,35.53263,304.103,0.0006,good,359.9994,0.0006
41,-78.2805,35.53269,304.1035,0.001,good,359.999,0.001
42,-78.2806,35.53275,304.1033,0.0004,good,359.9996,0.0004
43,-78.2807,35.53282,304.1033,0,good,360,0
44,-78.2808,35.53288,304.1033,0,good,360,0
