origin_date,last_updated,name,number,longitude,latitude,speed,geometry
2024-03-09,1710062132,Crescent,20,-81.374172,35.217761,57.8,POINT (-81.374172 35.217761)
2024-03-10,1710144042,Crescent,19,-81.37389,35.217853,59.5,POINT (-81.37389 35.217853)
2024-03-08,1709973751,Crescent,19,-81.371715,35.218852,59.08,POINT (-81.371715 35.218852)
2024-03-07,1709890225,Crescent,20,-81.368129,35.220542,59.83,POINT (-81.368129 35.220542)
2024-03-09,1710060522,Crescent,19,-81.448749,35.169463,64.36,POINT (-81.448749 35.169463)
2024-03-06,1709801671,Crescent,20,-81.44601,35.171168,43.17,POINT (-81.44601 35.171168)
2024-03-07,1709889877,Crescent,20,-81.443218,35.172946,46.55,POINT (-81.443218 35.172946)
2024-03-09,1710064654,Crescent,20,-80.994174,35.232799,60.18,POINT (-80.994174 35.232799)
2024-03-10,1710141337,Crescent,19,-81.067806,35.234225,43.96,POINT (-81.067806 35.234225)
2024-03-07,1709891832,Crescent,20,-81.067111,35.23455,42.45,POINT (-81.067111 35.23455)
2024-03-10,1710147641,Crescent,20,-81.071971,35.234744,42.05,POINT (-81.071971 35.234744)
2024-03-02,1709453714,Crescent,19,-81.066143,35.235168,43.89,POINT (-81.066143 35.235168)
2024-03-06,1709799150,Crescent,19,-81.013767,35.235584,56.27,POINT (-81.013767 35.235584)
2024-03-08,1709987983,Crescent,20,-81.017475,35.235702,59.28,POINT (-81.017475 35.235702)
2024-03-07,1709888178,Crescent,19,-81.06538,35.235706,44.38,POINT (-81.06538 35.235706)
2024-03-03,1709544801,Crescent,20,-80.863933,35.22211,49.22,POINT (-80.863933 35.22211)
2024-03-06,1709804376,Crescent,20,-80.866016,35.222167,49.19,POINT (-80.866016 35.222167)
2024-03-09,1710065194,Crescent,20,-80.870197,35.222175,20.52,POINT (-80.870197 35.222175)
2024-03-07,1709886969,Crescent,19,-80.870136,35.222198,49.04,POINT (-80.870136 35.222198)
2024-03-08,1709988525,Crescent,20,-80.872791,35.222244,51.49,POINT (-80.872791 35.222244)
2024-03-09,1710057815,Crescent,19,-80.878459,35.222301,53.79,POINT (-80.878459 35.222301)
2024-03-08,1709971409,Crescent,19,-80.881717,35.22232,45.12,POINT (-80.881717 35.22232)
2024-03-10,1710140599,Crescent,19,-80.883251,35.222331,66.53,POINT (-80.883251 35.222331)
2024-03-10,1710148360,Crescent,20,-80.883983,35.222347,74.34,POINT (-80.883983 35.222347)
2024-03-03,1709535267,Crescent,19,-80.682399,35.313274,78.87,POINT (-80.682399 35.313274)
2024-03-10,1710090127,Piedmont,73,-80.682247,35.313316,78.62,POINT (-80.682247 35.313316)
2024-03-09,1710067356,Crescent,20,-80.681651,35.313373,79.19,POINT (-80.681651 35.313373)
2024-03-10,1710150343,Crescent,20,-80.685687,35.313434,77.38,POINT (-80.685687 35.313434)
2024-03-07,1709859435,Piedmont,78,-80.680606,35.313457,78.46,POINT (-80.680606 35.313457)
2024-03-07,1709853135,Piedmont,77,-80.686633,35.313499,74.97,POINT (-80.686633 35.313499)
2024-03-11,1710155933,Carolinian,80,-80.558849,35.581138,78.86,POINT (-80.558849 35.581138)
2024-03-02,1709449031,Crescent,19,-80.557559,35.582626,74.57,POINT (-80.557559 35.582626)
2024-03-03,1709539398,Crescent,19,-80.885799,35.22235,57.3,POINT (-80.885799 35.22235)
2024-03-02,1709453009,Crescent,19,-80.885463,35.222354,62.12,POINT (-80.885463 35.222354)
2024-03-07,1709892569,Crescent,20,-80.884029,35.222366,70.31,POINT (-80.884029 35.222366)
2024-03-06,1709798610,Crescent,19,-80.890598,35.222427,61.22,POINT (-80.890598 35.222427)
2024-03-09,1710065013,Crescent,20,-80.898403,35.222499,57.29,POINT (-80.898403 35.222499)
2024-03-03,1709544621,Crescent,20,-80.912242,35.224475,56.75,POINT (-80.912242 35.224475)
2024-03-08,1709971588,Crescent,19,-80.925197,35.225028,54.31,POINT (-80.925197 35.225028)
2024-03-08,1709988346,Crescent,20,-80.926052,35.225093,58.72,POINT (-80.926052 35.225093)
