origin_date,last_updated,name,number,longitude,latitude,speed,geometry
2024-01-31,1706734760,Piedmont,74,-79.790095,36.067806,38.69,POINT (-8882192.745746922 4309955.388608897)
2024-01-18,1705612608,Piedmont,74,-79.790034,36.067829,38.08,POINT (-8882185.955257986 4309958.556099574)
2024-01-30,1706620815,Carolinian,80,-79.790073,36.067829,41.69,POINT (-8882190.296718126 4309958.556099574)
2024-01-18,1705622342,Piedmont,76,-79.790095,36.067836,36.57,POINT (-8882192.745746922 4309959.520118659)
2024-01-23,1706062624,Piedmont,78,-79.790073,36.067836,39.07,POINT (-8882190.296718126 4309959.520118659)
2024-01-25,1706235426,Piedmont,78,-79.790141,36.067848,35.02,POINT (-8882197.866443502 4309961.172723004)
2024-01-30,1706634616,Piedmont,72,-79.790004,36.067848,28.05,POINT (-8882182.61567326 4309961.172723004)
2024-03-02,1709423654,Piedmont,76,-79.790027,36.067848,29.42,POINT (-8882185.176021548 4309961.172723004)
2024-01-24,1706142907,Piedmont,74,-79.790111,36.067855,20.48,POINT (-8882194.526858775 4309962.136742323)
2024-01-31,1706721070,Piedmont,72,-79.78995,36.067878,36.79,POINT (-8882176.604420759 4309965.304234971)
2024-01-26,1706357829,Crescent,20,-79.790141,36.067886,19.78,POINT (-8882197.866443502 4309966.405971763)
2024-01-29,1706617035,Crescent,20,-79.790095,36.067897,15.95,POINT (-8882192.745746922 4309967.920860033)
2024-01-26,1706289054,Piedmont,72,-79.790027,36.067897,28.69,POINT (-8882185.176021548 4309967.920860033)
2024-01-19,1705753013,Crescent,20,-79.790095,36.067916,19.39,POINT (-8882192.745746922 4309970.537485725)
2024-01-21,1705925817,Crescent,20,-79.79008,36.067928,19.97,POINT (-8882191.075954562 4309972.1900917515)
2024-01-27,1706374922,Piedmont,72,-79.788852,36.068176,29.79,POINT (-8882054.375619868 4310006.344006072)
2024-02-12,1707826651,Crescent,20,-79.788821,36.068309,21.06,POINT (-8882050.924715653 4310024.660464155)
2024-02-12,1707826651,Crescent,20,-79.788821,36.068309,21.06,POINT (-8882050.924715653 4310024.660464155)
2024-01-19,1705671115,Carolinian,80,-79.788692,36.06834,30.66,POINT (-8882036.564501341 4310028.929718234)
2024-01-28,1706462238,Piedmont,72,-79.787425,36.068527,0.0,POINT (-8881895.522706505 4310054.6829962665)
2024-01-27,1706400452,Piedmont,76,-79.787326,36.068538,0.0,POINT (-8881884.502076916 4310056.19789688)
2024-03-02,1709423836,Piedmont,76,-79.78725,36.068557,0.0,POINT (-8881876.041795617 4310058.814543895)
2023-12-24,1703437223,Piedmont,72,-79.787303,36.068557,0.0,POINT (-8881881.941728627 4310058.814543895)
2024-01-23,1706027696,Carolinian,80,-79.787135,36.06858,0.0,POINT (-8881863.240054175 4310061.982064811)
2024-01-23,1706027519,Carolinian,80,-79.787135,36.068584,0.0,POINT (-8881863.240054175 4310062.532938109)
2024-01-26,1706313705,Piedmont,76,-79.787196,36.068588,0.0,POINT (-8881870.030543113 4310063.083811433)
2024-01-21,1705843734,Carolinian,80,-79.787074,36.068603,0.07,POINT (-8881856.449565237 4310065.149586654)
2024-01-23,1706054892,Piedmont,76,-79.787074,36.068607,0.0,POINT (-8881856.449565237 4310065.700460112)
2023-12-26,1703653380,Piedmont,78,-79.787067,36.068607,0.0,POINT (-8881855.6703288 4310065.700460112)
2024-01-18,1705622522,Piedmont,76,-79.787044,36.068618,0.0,POINT (-8881853.109980514 4310067.215362267)
2024-01-18,1705622705,Piedmont,76,-79.787036,36.068618,1.45,POINT (-8881852.219424587 4310067.215362267)
2024-01-21,1705881363,Piedmont,76,-79.786929,36.068618,0.0,POINT (-8881840.308239073 4310067.215362267)
2024-01-25,1706201768,Piedmont,72,-79.786906,36.068626,0.0,POINT (-8881837.747890783 4310068.317109421)
2024-01-19,1705697581,Piedmont,74,-79.786929,36.068626,0.0,POINT (-8881840.308239073 4310068.317109421)
2024-01-31,1706707405,Carolinian,80,-79.787051,36.068634,0.0,POINT (-8881853.889216948 4310069.418856689)
2024-01-29,1706572559,Piedmont,76,-79.786975,36.068637,0.0,POINT (-8881845.428935649 4310069.832011942)
2024-01-26,1706321650,Piedmont,78,-79.786929,36.068637,0.04,POINT (-8881840.308239073 4310069.832011942)
2024-01-26,1706303456,Piedmont,74,-79.78696,36.068649,0.0,POINT (-8881843.759143287 4310071.484633117)
2024-01-20,1705783984,Piedmont,74,-79.786891,36.068649,0.0,POINT (-8881836.078098422 4310071.484633117)
2023-12-24,1703451439,Piedmont,74,-79.786906,36.068668,0.0,POINT (-8881837.747890783 4310074.101283823)
2024-01-24,1706102582,Carolinian,80,-79.786914,36.068672,0.0,POINT (-8881838.63844671 4310074.652157736)
2024-01-30,1706620999,Carolinian,80,-79.786769,36.068675,0.0,POINT (-8881822.497120546 4310075.065313189)
2024-02-01,1706793609,Carolinian,80,-79.786876,36.068679,0.0,POINT (-8881834.40830606 4310075.616187152)
2024-01-28,1706448008,Carolinian,80,-79.786868,36.068691,0.0,POINT (-8881833.517750135 4310077.26880921)
2024-01-24,1706102754,Carolinian,80,-79.786822,36.068691,3.53,POINT (-8881828.397053557 4310077.26880921)
2024-02-13,1707830428,Carolinian,80,-79.786822,36.06871,0.07,POINT (-8881828.397053557 4310079.885461313)
2024-02-13,1707830428,Carolinian,80,-79.786822,36.06871,0.07,POINT (-8881828.397053557 4310079.885461313)
2024-02-13,1707830611,Carolinian,80,-79.78683,36.06871,0.1,POINT (-8881829.287609482 4310079.885461313)
2024-02-13,1707830611,Carolinian,80,-79.78683,36.06871,0.1,POINT (-8881829.287609482 4310079.885461313)
2024-01-25,1706188989,Carolinian,80,-79.787181,36.068725,0.0,POINT (-8881868.360750753 4310081.951239736)
2024-01-20,1705756799,Carolinian,80,-79.786769,36.068729,0.0,POINT (-8881822.497120546 4310082.502114047)
2024-01-18,1705630624,Piedmont,78,-79.786464,36.068748,10.3,POINT (-8881788.544675853 4310085.118767417)
2024-01-27,1706375291,Piedmont,72,-79.786487,36.068748,10.77,POINT (-8881791.105024142 4310085.118767417)
2024-01-24,1706141457,Piedmont,76,-79.786983,36.068756,0.0,POINT (-8881846.319491575 4310086.220516392)
2024-01-26,1706275389,Carolinian,80,-79.786891,36.068782,0.0,POINT (-8881836.078098422 4310089.801201337)
2024-01-26,1706275573,Carolinian,80,-79.786899,36.068786,0.02,POINT (-8881836.968654348 4310090.352076049)
2024-01-25,1706189163,Carolinian,80,-79.786883,36.068794,8.1,POINT (-8881835.187542496 4310091.453825557)
2024-01-27,1706400317,Piedmont,76,-79.785899,36.068908,0.02,POINT (-8881725.649163555 4310107.15376822)
2024-01-20,1705795326,Piedmont,76,-79.78577,36.068908,0.0,POINT (-8881711.288949244 4310107.15376822)
2024-01-26,1706313555,Piedmont,76,-79.78577,36.068927,0.02,POINT (-8881711.288949244 4310109.770427542)
2024-01-30,1706634858,Piedmont,72,-79.785846,36.068927,0.0,POINT (-8881719.749230543 4310109.770427542)
2024-01-19,1705717018,Piedmont,78,-79.7858,36.068927,0.0,POINT (-8881714.628533965 4310109.770427542)
2024-01-23,1706055245,Piedmont,76,-79.785632,36.068946,1.11,POINT (-8881695.926859513 4310112.387087495)
2024-01-22,1705976396,Piedmont,78,-79.785625,36.068946,0.0,POINT (-8881695.147623077 4310112.387087495)
2024-01-22,1705942744,Piedmont,72,-79.785609,36.068946,0.01,POINT (-8881693.366511224 4310112.387087495)
2024-01-19,1705683891,Piedmont,72,-79.785686,36.068946,0.19,POINT (-8881701.938112017 4310112.387087495)
2024-01-23,1706055072,Piedmont,76,-79.78564,36.068946,0.0,POINT (-8881696.817415439 4310112.387087495)
2024-01-25,1706216157,Piedmont,74,-79.785556,36.068958,0.0,POINT (-8881687.466578212 4310114.039715161)
2024-01-22,1705929965,Carolinian,80,-79.785586,36.068958,0.0,POINT (-8881690.806162937 4310114.039715161)
2024-01-29,1706580858,Piedmont,78,-79.785586,36.068965,0.0,POINT (-8881690.806162937 4310115.0037480835)
2024-01-21,1705895399,Piedmont,78,-79.785564,36.068965,0.0,POINT (-8881688.357134137 4310115.0037480835)
2024-01-26,1706303290,Piedmont,74,-79.785525,36.068977,0.0,POINT (-8881684.015674 4310116.656376147)
