OBJECTID,ORIG_FID,ORIG_LEN,ORIG_SEQ,RASTERVALU,x_coordinate,y_coordinate
1,1,214229.1085,14058,159.377655,-78.30374424,35.54553939
2,1,214244.3485,14059,159.3796997,-78.30363091,35.54547689
3,1,214259.5885,14060,159.3622589,-78.30351758,35.5454144
4,1,214274.8285,14061,159.5114288,-78.30340425,35.54535191
5,1,214290.0686,14062,159.5481262,-78.30329092,35.54528941
6,1,214305.3086,14063,159.5658417,-78.30317759,35.54522692
7,1,214320.5486,14064,159.5608978,-78.30306426,35.54516443
8,1,214335.7887,14065,159.5044708,-78.30295094,35.54510193
9,1,214351.0287,14066,159.4068146,-78.30283761,35.54503944
10,1,214366.2687,14067,159.2339172,-78.30272428,35.54497695
11,1,214381.5088,14068,159.0743103,-78.30261095,35.54491445
12,1,214396.7488,14069,158.8781433,-78.30249762,35.54485196
13,1,214411.9888,14070,158.6010895,-78.30238429,35.54478946
14,1,214427.2289,14071,158.3338165,-78.30227096,35.54472697
15,1,214442.4689,14072,157.9932251,-78.30215763,35.54466448
16,1,214457.7089,14073,157.7329102,-78.3020443,35.54460198
17,1,214472.9489,14074,157.2426605,-78.30193098,35.54453949
18,1,214488.189,14075,156.7560577,-78.30181765,35.54447699
19,1,214503.429,14076,156.4907379,-78.30170432,35.5444145
20,1,214518.669,14077,155.9848175,-78.30159099,35.544352
21,1,214533.9091,14078,155.4358826,-78.30147766,35.54428951
22,1,214549.1491,14079,155.1281738,-78.30136433,35.54422701
23,1,214564.3891,14080,154.7691956,-78.301251,35.54416452
24,1,214579.6292,14081,154.5380402,-78.30113767,35.54410203
25,1,214594.8692,14082,154.2597046,-78.30102435,35.54403953
26,1,214610.1092,14083,153.9331665,-78.30091102,35.54397704
27,1,214625.3493,14084,153.8161621,-78.30079769,35.54391454
28,1,214640.5893,14085,153.5259705,-78.30068436,35.54385205
29,1,214655.8293,14086,153.5205688,-78.30057103,35.54378955
30,1,214671.0693,14087,153.3019409,-78.3004577,35.54372706
31,1,214686.3094,14088,153.2989197,-78.30034437,35.54366456
32,1,214701.5494,14089,149.1752472,-78.30023104,35.54360207
33,1,214716.7894,14090,139.0025177,-78.30011772,35.54353957
34,1,214732.0295,14091,152.1581421,-78.30000439,35.54347708
35,1,214747.2695,14092,153.4501953,-78.29989106,35.54341458
36,1,214762.5095,14093,153.5940857,-78.29977773,35.54335209
37,1,214777.7496,14094,153.7372589,-78.2996644,35.54328959
38,1,214792.9896,14095,153.9894714,-78.29955107,35.5432271
39,1,214808.2296,14096,154.0197296,-78.29943774,35.5431646
40,1,214823.4696,14097,154.3131104,-78.29932441,35.54310211
41,1,214838.7097,14098,154.4944153,-78.29921108,35.54303961
42,1,214853.9497,14099,154.7931824,-78.29909776,35.54297712
43,1,214869.1897,14100,154.9636078,-78.29898443,35.54291462
44,1,214884.4298,14101,155.2957306,-78.2988711,35.54285212
45,1,214899.6698,14102,155.4815979,-78.29875777,35.54278963
46,1,214914.9098,14103,155.7232056,-78.29864444,35.54272713
47,1,214930.1499,14104,156.0068512,-78.29853111,35.54266464
48,1,214945.3899,14105,156.2496796,-78.29841778,35.54260214
49,1,214960.6299,14106,156.388092,-78.29830445,35.54253965
50,1,214975.87,14107,156.9425354,-78.29819112,35.54247715
51,1,214991.11,14108,157.1413269,-78.2980778,35.54241465
52,1,215006.35,14109,157.4987335,-78.29796447,35.54235216
53,1,215021.59,14110,157.7701263,-78.29785114,35.54228966
54,1,215036.8301,14111,157.9176178,-78.29773781,35.54222717
55,1,215052.0701,14112,158.1769714,-78.29762448,35.54216467
56,1,215067.3101,14113,158.4342804,-78.29751115,35.54210217
57,1,215082.5502,14114,158.7395172,-78.29739782,35.54203968
58,1,215097.7902,14115,158.9139709,-78.29728449,35.54197718
59,1,215113.0302,14116,159.1269989,-78.29717117,35.54191469
60,1,215128.2703,14117,159.4487305,-78.29705784,35.54185219
61,1,215143.5103,14118,159.6049042,-78.29694451,35.54178969
62,1,215158.7503,14119,159.803833,-78.29683118,35.5417272
63,1,215173.9903,14120,159.9328918,-78.29671785,35.5416647
64,1,215189.2304,14121,160.1150665,-78.29660452,35.5416022
65,1,215204.4704,14122,160.2328796,-78.29649119,35.54153971
66,1,215219.7104,14123,160.5539398,-78.29637786,35.54147721
67,1,215234.9505,14124,160.745163,-78.29626453,35.54141471
68,1,215250.1905,14125,160.9077759,-78.29615121,35.54135222
69,1,215265.4305,14126,161.0396576,-78.29603788,35.54128972
70,1,215280.6706,14127,161.2973938,-78.29592455,35.54122722
71,1,215295.9106,14128,161.6017303,-78.29581122,35.54116473
72,1,215311.1506,14129,161.7666473,-78.29569789,35.54110223
73,1,215326.3907,14130,162.0070496,-78.29558456,35.54103973
74,1,215341.6307,14131,162.1908112,-78.29547123,35.54097724
75,1,215356.8707,14132,162.3338013,-78.2953579,35.54091474
76,1,215372.1107,14133,162.571228,-78.29524458,35.54085224
77,1,215387.3508,14134,162.8596191,-78.29513125,35.54078975
78,1,215402.5908,14135,163.0544128,-78.29501792,35.54072725
79,1,215417.8308,14136,163.2678986,-78.29490459,35.54066475
80,1,215433.0709,14137,163.4867249,-78.29479126,35.54060225
81,1,215448.3109,14138,163.6350708,-78.29467793,35.54053976
82,1,215463.5509,14139,163.8891144,-78.2945646,35.54047726
83,1,215478.791,14140,164.0132751,-78.29445127,35.54041476
84,1,215494.031,14141,164.1802368,-78.29433794,35.54035226
85,1,215509.271,14142,164.405304,-78.29422462,35.54028977
86,1,215524.511,14143,164.6471558,-78.29411129,35.54022727
87,1,215539.7511,14144,164.8933258,-78.29399796,35.54016477
88,1,215554.9911,14145,165.0249634,-78.29388463,35.54010227
89,1,215570.2311,14146,165.3311768,-78.2937713,35.54003978
90,1,215585.4712,14147,165.4683533,-78.29365797,35.53997728
91,1,215600.7112,14148,165.7003479,-78.29354464,35.53991478
92,1,215615.9512,14149,165.903656,-78.29343131,35.53985228
93,1,215631.1913,14150,166.1305237,-78.29331799,35.53978979
94,1,215646.4313,14151,166.3800201,-78.29320466,35.53972729
95,1,215661.6713,14152,166.6256256,-78.29309133,35.53966479
96,1,215676.9114,14153,166.8379669,-78.292978,35.53960229
97,1,215692.1514,14154,167.0839691,-78.29286467,35.53953979
98,1,215707.3914,14155,167.3296814,-78.29275134,35.53947729
99,1,215722.6314,14156,167.3865356,-78.29263801,35.5394148
100,1,215737.8715,14157,167.6600952,-78.29252468,35.5393523
101,1,215753.1115,14158,167.8704987,-78.29241135,35.5392898
102,1,215768.3515,14159,168.1434021,-78.29229803,35.5392273
103,1,215783.5916,14160,168.380249,-78.2921847,35.5391648
104,1,215798.8316,14161,168.7872009,-78.29207137,35.53910231
105,1,215814.0716,14162,169.0082397,-78.29195804,35.53903981
106,1,215829.3117,14163,169.3139496,-78.29184471,35.53897731
107,1,215844.5517,14164,169.5395966,-78.29173138,35.53891481
