,NEC,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Gross Ticket Revenue,Ridership (in Thousands),Seat Miles (in Millions),Passenger Miles (in Millions),eCSI,Average Load Factor,OTP
0,ela,$361.1,$173.0,$188.1,$350.8,"1,956.9",605.,6 369.5,7,3.9 61,% 83
1,gional,398.8,270.0,128.8,381.4,"4,958.0","1,424.",5 760.3,7,7.1 55,% 82
2,C Special Trains & Adjustments,2.6,7.7,(5.1),1.0,7.1,3.,5 0.9,N,/A N/,A
3,C,$762.5,$450.7,$311.8,$733.2,"6,921.9","2,033.","6 1,130.7",7,6.2 57,% 82
4,ate Supported:,,,,,,,,,,
5,han Allen Express,$2.7,$3.0,$(0.2),$1.7,28.1,13.,7 5.4,8,1.8 38,% 86
6,rmonter,6.6,5.9,0.7,3.8,55.8,30.,3 14.3,7,5.4 47,% 70
7,aple Leaf,16.6,19.6,(3.0),12.8,202.4,132.,1 59.0,8,0.1 40,% 79
8,e Downeaster,10.5,9.6,0.9,5.5,294.8,82.,2 24.0,8,8.7 31,% 69
9,w Haven - Springfield,10.0,12.5,(2.5),5.7,150.6,34.,6 13.0,7,7.6 N/,A
10,ystone Service,30.0,32.7,(2.7),26.8,878.2,172.,7 76.8,8,4.1 38,% 86
11,pire Service,27.2,39.9,(12.7),30.5,667.6,211.,4 80.3,8,0.2 46,% 81
12,icago-St.Louis,18.2,18.9,(0.7),9.0,321.5,139.,7 57.3,8,1.4 42,% 66
13,awathas,12.7,12.7,(0.0),10.5,460.1,101.,5 36.9,8,9.9 36,% 93
14,olverines,16.7,20.0,(3.3),12.5,272.2,108.,5 57.4,7,6.7 54,% 67
15,ini,10.0,10.1,(0.1),4.0,143.5,65.,7 25.3,6,8.6 39,% 21
16,inois Zephyr,9.1,8.6,0.4,3.0,108.9,49.,6 17.9,8,8.3 37,% 89
17,artland Flyer,3.9,4.3,(0.4),1.0,38.3,14.,5 6.7,8,8.3 45,% 53
18,cific Surfliner,61.3,72.8,(11.5),43.9,"1,652.7",456.,7 138.4,7,7.4 28,% 76
19,scades,33.8,36.7,(2.9),17.3,413.4,129.,1 64.0,8,3.4 49,% 57
20,pitols,34.8,40.3,(5.5),19.1,970.2,211.,8 64.7,8,4.7 32,% 89
21,n Joaquins,47.0,54.4,(7.4),19.5,621.6,246.,7 85.4,8,3.0 32,% 81
