,NEC,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Ridership (in Thousands),eCSI,Average Load Factor,OTP
0,Acela,$383.3,$189.7 $,193.5,"2,045.2 83",.8,62% 84.,4%
1,Regional,404.5,269.5,135.0,"5,037.1 85",.6,55% 84.,2%
2,NEC Special Trains & Adjustments,3.5,6.6,(3.1),6.3 N/,A,N/A N,/A
3,NEC,$791.3,$465.9 $,325.4,"7,088.5 85",.1,57% 84.,3%
4,State Supported:,,,,,,,
5,Ethan Allen Express,$3.1,$3.4 $,(0.3),26.7 91,.8,40% 75.,1%
6,Vermonter,6.6,6.2,0.4,56.4 89,.3,47% 87.,2%
7,Maple Leaf,18.5,20.6,(2.0),212.0 92,.8,39% 58.,3%
8,The Downeaster,9.2,10.3,(1.1),300.7 94,.4,30% 53.,6%
9,New Haven - Springfield,12.9,14.9,(2.0),204.3 89,.5,0% 82.,1%
10,Keystone Service,30.9,32.4,(1.5),917.2 92,.0,40% 80.,9%
11,Empire Service,29.2,37.8,(8.6),690.4 89,.2,50% 71.,4%
12,Chicago-St.Louis,18.3,18.6,(0.3),353.4 91,.4,47% 86.,4%
13,Hiawathas,12.3,13.4,(1.1),488.8 91,.9,39% 70.,9%
14,Wolverines,18.0,19.5,(1.5),278.9 88,.2,58% 90.,2%
15,Illini,10.0,9.4,0.5,154.9 89,.8,43% 68.,9%
16,ILLINOIS Zephyr,8.6,8.7,(0.1),109.1 93,.8,37% 55.,0%
17,Heartland Flyer,3.5,3.9,(0.4),37.8 94,.3,42% 93.,6%
18,Pacific Surfliner,65.9,78.3,(12.4),"1,509.8 88",.8,28% 78.,3%
19,Cascades,36.0,40.4,(4.4),432.8 90,.7,53% 61.,8%
20,Capitols,36.0,42.0,(6.0),"1,023.1 91",.6,32% 82.,5%
21,San Joaquins,48.8,56.8,(8.0),613.4 89,.6,29% 29.,9%
22,Adirondack,7.1,7.8,(0.7),60.5 86,.0,48% 69.,4%
23,Blue Water,6.8,7.3,(0.5),100.7 91,.7,42% 92.,3%
24,Washington-Lynchburg,8.5,6.1,2.4,124.1 91,.1,0% 49.,2%
25,Washington - Newport News,13.8,11.3,2.5,187.0 90,.0,0% 54.,8%
26,Washington - Norfolk,7.9,6.8,1.2,106.4 92,.7,0% 72.,2%
27,Washington - Richmond,6.0,5.1,0.9,81.8 92,.3,0% 42.,8%
28,Hoosier State,2.3,3.2,(0.9),15.7 92,.4,27% 80.,3%
29,Kansas City-St.Louis,8.1,8.2,(0.1),88.8 91,.8,48% 67.,6%
30,Pennsylvanian,8.4,10.1,(1.6),119.7 91,.2,51% 70.,0%
31,Pere Marquette,3.4,3.5,(0.1),53.1 93,.7,49% 70.,1%
32,Carolinian,13.2,11.1,2.1,146.9 90,.8,46% 57.,0%
33,Piedmont,5.1,5.4,(0.3),126.8 95,.7,40% 85.,1%
34,Non Nec Special Trains & Adjustments,1.8,3.9,(2.1),18.1 N/,A,N/A N,/A
35,State Supported,$460.2,$506.2 $,(46.0),"8,639.0 90",.9,39% 75.,1%
36,Long Distance:,,,,,,,
37,Silver Star,$20.8,$37.6 $,(16.8),227.7 82,.6,61% 55.,8%
38,Cardinal,4.4,13.7,(9.3),58.0 84,.4,51% 69.,8%
39,Silver Meteor,24.0,45.2,(21.3),198.4 82,.5,65% 47.,4%
40,Empire Builder,25.1,61.0,(35.9),219.3 85,.2,48% 25.,4%
41,Capitol Limited,10.1,25.2,(15.1),106.6 80,.7,65% 49.,8%
42,California Zephyr,26.9,62.1,(35.2),226.7 86,.0,51% 46.,8%
43,Southwest Chief,23.8,57.9,(34.1),175.0 84,.0,64% 70.,1%
44,City of New Orleans,10.4,23.5,(13.1),134.3 85,.3,53% 51.,2%
45,Texas Eagle,14.0,32.2,(18.2),180.8 83,.9,56% 31.,8%
46,Sunset Limited,6.7,25.3,(18.6),51.9 84,.9,47% 42.,1%
47,Coast Starlight,24.2,51.6,(27.5),231.8 83,.9,57% 22.,3%
48,Lake Shore Limited,16.0,36.0,(20.0),192.7 81,.6,52% 28.,1%
49,Palmetto,15.8,20.2,(4.4),192.1 80,.3,42% 0.,0%
50,Crescent,18.1,39.9,(21.8),161.0 77,.6,50% 0.,0%
51,Auto Train,47.1,50.2,(3.0),137.8 87,.6,61% 0.,0%
52,Long Distance Adjustments,(0.0),0.6,(0.6),N/A N/,A,N/A N,/A
53,Long Distance,$287.2,$582.1 $,(294.9),"2,494.1 83",.4,55% 46.,5%
54,Ancillary,200.5,164.5,36.0,,,,
55,Infrastructure,144.0,203.9,(59.9),,,,
56,Amtrak,"$1,883.1","$1,922.5 $",(39.4) 1,"8,221.7 87",.3,50% 74.,9%
