Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Average
Load Factor",OTP
Acela,NEC,29.8,139.4,-109.6,226.1,245.9,46.0,19%,88.7%
Regional,NEC,79.4,234.2,-154.8,"1,218.9",835.5,196.0,24%,90.3%
NEC Special Trains & Adjustments,NEC,5.0,6.0,-1,1.1,3.5,0.2,N/A,N/A
NEC,NEC,114.2,379.6,-265.4,"1,446.1","1,084.9",242.2,23%,90.1%
Ethan Allen Express,State Supported,0.7,0.5,0.2,0.0,0.0,0.0,0%,92.4%
Vermonter,State Supported,0.1,(0.1),0.2,0.0,0.8,0.0,0%,95.3%
Maple Leaf,State Supported,14.7,14.6,0.1,103.2,88.0,29.0,33%,86.2%
The Downeaster,State Supported,8.5,8.5,0.1,52.9,73.5,4.3,6%,78.1%
New Haven - Springfield,State Supported,9.8,15.5,-5.7,80.7,37.0,4.5,12%,92.7%
Keystone Service,State Supported,22.6,37.1,-14.5,158.0,132.5,14.0,11%,95.8%
Empire Service,State Supported,28.4,35.2,-6.8,232.7,161.4,27.2,17%,93.5%
Chicago-St.Louis,State Supported,12.3,16.2,-3.8,108.2,72.9,19.3,27%,82.2%
Hiawathas,State Supported,8.9,10.7,-1.8,67.1,25.3,5.5,22%,94.8%
Wolverines,State Supported,8.7,10.2,-1.5,51.4,44.8,11.7,26%,62.5%
Illini,State Supported,7.6,3.8,3.8,68.0,55.6,10.6,19%,84.9%
Illinois Zephyr,State Supported,5.4,6.0,-0.7,31.8,24.7,5.4,22%,90.2%
Heartland Flyer,State Supported,3.8,4.8,-1,17.1,12.8,3.0,24%,81.7%
Pacific Surfliner,State Supported,42.8,52.0,-9.2,295.6,244.9,27.4,11%,89.2%
Cascades,State Supported,10.1,14.5,-4.4,50.4,26.0,7.8,30%,63.0%
Capitols,State Supported,22.1,25.2,-3,143.3,99.4,10.1,10%,91.8%
San Joaquins,State Supported,32.4,37.8,-5.4,197.7,225.8,28.0,12%,84.3%
Adirondack,State Supported,1.3,0.4,0.8,0.0,0.0,0.0,0%,0.0%
Blue Water,State Supported,8.6,10.5,-1.8,36.3,46.7,6.7,14%,78.9%
Washington-Lynchburg,State Supported,6.2,6.4,-0.2,44.4,41.1,10.8,26%,89.7%
Washington - Newport News,State Supported,5.1,11.1,-6,77.9,54.5,18.0,28%,88.1%
Washington - Norfolk,State Supported,9.9,9.1,0.8,53.9,62.7,13.1,19%,88.1%
Washington - Richmond,State Supported,6.9,0.1,6.8,0.1,0.0,0.0,0%,88.1%
Hoosier State,State Supported,-,0.0,0,0.0,0.0,0.0,0%,0.0%
Kansas City-St.Louis,State Supported,5.6,6.1,-0.5,31.1,38.2,6.1,16%,84.1%
Pennsylvanian,State Supported,9.7,9.9,-0.2,53.0,45.1,11.9,26%,76.5%
Pere Marquette,State Supported,4.1,4.9,-0.8,17.8,16.1,2.7,17%,84.1%
Carolinian,State Supported,11.3,13.0,-1.7,82.6,67.9,24.3,36%,79.1%
Piedmont,State Supported,3.2,3.6,-0.4,35.0,19.9,3.9,20%,80.3%
Non Nec Special Trains & Adjustments,State Supported,0.1,6.7,-6.6,0.0,2.0,0.0,N/A,N/A
State Supported,State Supported,311.0,374.5,-63.5,"2,090.1","1,719.4",305.5,18%,85.4%
"
Silver Star",Long Distance,9.3,28.0,-18.7,82.7,112.5,39.9,35%,45.8%
Cardinal,Long Distance,3.0,14.4,-11.4,31.7,43.3,13.1,30%,61.8%
Silver Meteor,Long Distance,11.0,31.5,-20.4,87.7,136.1,46.1,34%,57.6%
Empire Builder,Long Distance,10.5,41.6,-31,76.8,162.6,51.0,32%,57.5%
Capitol Limited,Long Distance,3.0,12.4,-9.5,28.0,29.2,11.5,40%,47.3%
California Zephyr,Long Distance,10.3,39.8,-29.5,61.8,128.2,44.1,35%,61.6%
Southwest Chief,Long Distance,9.0,38.0,-29.1,49.0,130.3,45.6,35%,46.2%
City of New Orleans,Long Distance,3.5,13.9,-10.4,35.3,43.0,14.5,34%,81.7%
Texas Eagle,Long Distance,5.5,17.8,-12.2,51.8,49.8,28.3,57%,64.5%
Sunset Limited,Long Distance,3.5,27.4,-23.8,25.6,87.8,17.7,20%,34.0%
Coast Starlight,Long Distance,8.4,33.5,-25,69.5,98.7,32.9,34%,65.2%
Lake Shore Limited,Long Distance,5.6,21.6,-15.9,64.9,76.0,26.3,35%,62.3%
Palmetto,Long Distance,3.5,12.3,-8.8,40.6,37.1,11.3,30%,78.2%
Crescent,Long Distance,5.6,21.6,-16,41.3,57.3,19.8,35%,41.0%
Auto Train,Long Distance,41.6,49.9,-8.3,94.6,179.3,80.9,45%,62.1%
Long Distance Adjustments,Long Distance,(0.0),0.9,-0.9,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,133.4,404.5,-271.1,841.1,"1,371.1",482.8,35%,58.1%
Ancillary,Amtrak,187.6,184.9,2.7,,,,,
Infrastructure,Amtrak,145.0,226.3,-81.4,,,,,
Amtrak,Amtrak,891.1,"1,569.8",-678.7,"4,377.3","4,175.4","1,030.5",25%,81.9%
