,NEC,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Ridership (in Thousands),eCSI,Average Load Factor,OTP
0,Acela,$172.5,$79.8,$92.7,919.1,82.7,66%,84.9
1,Regional,187.8,112.5,75.3,"2,323.7",84.9,60%,82.0
2,NEC Special Trains & Adjustments,1.3,2.9,(1.6),2.3,N/A,N/A,N/
3,NEC,$361.5,$195.1,$166.4,"3,245.1",84.3,62%,83.0
4,State Supported:,,,,,,,
5,Ethan Allen Express,$1.5,$1.5,$(0.1),12.9,90.8,44%,91.3
6,Vermonter,3.0,2.4,0.6,28.1,88.7,52%,83.7
7,Maple Leaf,7.9,8.6,(0.7),100.3,92.0,43%,79.3
8,The Downeaster,3.7,4.6,(0.9),126.8,94.3,30%,68.1
9,New Haven - Springfield,5.8,6.8,(1.0),95.6,89.0,N/A,N/
10,Keystone Service,14.3,13.4,0.8,412.5,91.6,43%,84.8
11,Empire Service,13.2,15.2,(2.0),322.6,88.4,54%,83.0
12,Chicago-St.Louis,4.9,8.0,(3.1),167.3,91.3,51%,69.7
13,Hiawathas,5.5,5.9,(0.4),225.5,92.1,41%,90.5
14,Wolverines,8.1,8.1,0.0,131.6,88.2,59%,59.7
15,Illini,2.0,4.0,(2.0),73.1,90.1,46%,37.5
16,ILLINOIS Zephyr,1.4,3.7,(2.2),52.9,93.5,40%,86.3
17,Heartland Flyer,1.2,1.6,(0.4),17.9,94.6,45%,34.4
18,Pacific Surfliner,27.5,32.7,(5.2),673.3,88.4,29%,66.1
19,Cascades,15.7,17.2,(1.4),196.3,90.8,52%,54.5
20,Capitols,15.8,17.4,(1.6),441.8,92.2,32%,87.1
21,San Joaquins,20.9,23.9,(3.0),279.1,89.9,31%,60.1
22,Adirondack,3.0,3.3,(0.3),31.0,85.8,54%,60.9
23,Blue Water,3.1,3.1,(0.0),46.7,92.2,43%,73.9
24,Washington-Lynchburg,4.1,2.5,1.5,60.0,92.4,0%,53.8
25,Washington - Newport News,6.7,4.8,1.9,92.5,89.3,0%,70.6
26,Washington - Norfolk,3.2,2.4,0.8,42.9,92.3,0%,70.6
27,Washington - Richmond,3.1,2.4,0.7,44.2,92.2,0%,70.6
28,Hoosier State,1.0,1.5,(0.4),7.9,91.5,41%,81.9
29,Kansas City-St.Louis,3.6,3.4,0.2,46.0,93.1,48%,84.4
30,Pennsylvanian,3.9,4.2,(0.3),58.6,91.9,56%,66.8
31,Pere Marquette,1.7,1.7,(0.0),25.2,93.5,50%,74.5
32,Carolinian,5.8,4.7,1.1,68.2,89.0,50%,52.2
33,Piedmont,2.2,2.2,0.0,57.1,95.3,41%,45.2
34,Non Nec Special Trains & Adjustments,1.7,1.6,0.1,16.0,N/A,N/A,N/
35,State Supported,$195.3,$212.7,$(17.4),"3,953.8",90.7,42%,74.0
36,Long Distance:,,,,,,,
37,Silver Star,$9.4,$16.0,$(6.6),102.3,81.6,62%,34.2
38,Cardinal,2.0,5.8,(3.8),27.5,84.3,53%,51.3
39,Silver Meteor,11.0,18.9,(7.9),90.2,82.4,66%,57.1
40,Empire Builder,12.6,25.9,(13.3),104.6,85.5,50%,74.5
41,Capitol Limited,5.0,11.4,(6.4),50.7,81.2,66%,21.2
42,California Zephyr,13.5,27.2,(13.8),99.2,87.0,56%,57.1
43,Southwest Chief,11.7,24.8,(13.1),82.8,84.8,62%,44.6
44,City of New Orleans,5.1,10.1,(5.0),61.3,85.4,57%,87.0
45,Texas Eagle,6.7,13.3,(6.6),83.3,84.5,57%,36.4
46,Sunset Limited,3.3,11.4,(8.0),25.6,87.3,48%,30.8
47,Coast Starlight,12.2,23.3,(11.1),111.3,84.4,59%,64.1
48,Lake Shore Limited,8.3,15.9,(7.6),94.3,81.2,51%,47.8
49,Palmetto,8.0,9.0,(1.0),95.8,79.1,47%,63.0
50,Crescent,8.5,16.8,(8.3),72.8,78.8,53%,15.0
51,Auto Train,19.2,21.0,(1.8),56.6,87.0,63%,78.5
52,Long Distance Adjustments,0.0,0.3,(0.3),N/A,N/A,N/A,N/
53,Long Distance,$136.6,$251.2,$(114.6),"1,158.2",83.5,57%,52.9
54,Ancillary,82.8,73.1,9.7,,,,
55,Infrastructure,62.2,84.3,(22.1),,,,
56,Amtrak,$838.5,$816.4,$22.1,"8,357.1",86.9,53%,74.0
