,NEC,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Ridership (in Thousands),eCSI,Average Load Factor,OTP
0,Acela,$266.5,$134.,0 $132.5,"1,427.",8 83,.0 62%,82.
1,Regional,281.4,191.,2 90.2,"3,549.",2 85,.2 56%,86.
2,NEC Special Trains & Adjustments,2.4,4.,1 (1.7),4.,2 N,/A N/,A
3,NEC,$550.3,$329.,3 $221.1,"4,981.",2 84,.6 57%,82.
4,State Supported:,,,,,,,
5,Ethan Allen Express,$2.2,$2.,4 $(0.2),19.,2 91,.9 41%,84.
6,Vermonter,4.7,4.,3 0.4,41.,3 89,.0 48%,82.
7,Maple Leaf,12.6,14.,7 (2.1),150.,9 93,.0 39%,69.
8,The Downeaster,6.5,7.,6 (1.1),205.,2 94,.5 29%,79.
9,New Haven - Springfield,9.7,11.,2 (1.5),145.,0 89,.3 N/,A 89.
10,Keystone Service,21.6,23.,0 (1.4),647.,3 91,.9 40%,90.
11,Empire Service,19.4,26.,8 (7.3),495.,0 88,.9 50%,79.
12,Chicago-St.Louis,12.4,13.,1 (0.7),248.,6 91,.9 47%,62.
13,Hiawathas,8.5,9.,6 (1.1),342.,3 92,.5 39%,92.
14,Wolverines,12.4,13.,9 (1.5),199.,8 88,.4 57%,44.
15,Illini,7.0,6.,5 0.4,109.,0 89,.8 43%,27.
16,ILLINOIS Zephyr,6.0,6.,1 (0.1),77.,0 93,.8 37%,80.
17,Heartland Flyer,2.4,2.,8 (0.4),25.,5 94,.0 43%,55.
18,Pacific Surfliner,44.9,55.,2 (10.3),"1,052.",9 88,.3 28%,65.
19,Cascades,20.2,28.,8 (8.6),301.,9 90,.7 52%,51.
20,Capitols,25.7,29.,2 (3.5),717.,4 92,.0 31%,86.
21,San Joaquins,34.9,39.,9 (5.0),425.,9 89,.5 28%,55.
22,Adirondack,4.9,5.,4 (0.5),44.,0 86,.0 49%,67.
23,Blue Water,4.7,5.,2 (0.6),70.,2 92,.3 41%,57.
24,Washington-Lynchburg,5.8,4.,3 1.5,87.,6 91,.8 0%,73.
25,Washington - Newport News,9.8,8.,2 1.6,133.,9 89,.8 0%,77.
26,Washington - Norfolk,4.7,3.,9 0.8,63.,4 92,.2 0%,77.
27,Washington - Richmond,4.6,4.,1 0.5,65.,0 91,.8 0%,77.
28,Hoosier State,1.6,2.,3 (0.7),11.,1 92,.9 31%,78.
29,Kansas City-St.Louis,5.8,5.,8 (0.0),66.,4 92,.8 47%,81.
30,Pennsylvanian,5.8,7.,2 (1.3),86.,2 91,.4 51%,71.
31,Pere Marquette,2.4,2.,5 (0.1),37.,7 94,.0 48%,70.
32,Carolinian,8.9,8.,0 0.9,100.,3 90,.3 45%,52.
33,Piedmont,3.5,3.,8 (0.2),86.,8 94,.8 39%,65.
34,Non Nec Special Trains & Adjustments,1.7,2.,7 (0.9),18.,1 N,/A N/,A
35,State Supported,$315.3,$358.,4 $(43.1),"6,074.",9 90,.8 39%,73.
36,Long Distance:,,,,,,,
37,Silver Star,$14.4,$27.,2 $(12.9),157.,9 82,.4 61%,29.
38,Cardinal,2.9,9.,6 (6.7),38.,9 84,.9 51%,56.
39,Silver Meteor,16.8,31.,9 (15.1),138.,6 82,.2 65%,50.
40,Empire Builder,18.2,43.,3 (25.1),158.,1 85,.9 48%,54.
41,Capitol Limited,7.2,18.,0 (10.8),74.,0 81,.2 66%,26.
42,California Zephyr,20.0,44.,8 (24.7),165.,3 87,.2 53%,46.
43,Southwest Chief,16.6,40.,6 (24.0),122.,2 84,.5 63%,41.
44,City of New Orleans,7.5,16.,6 (9.1),93.,1 85,.7 54%,70.
45,Texas Eagle,9.7,21.,8 (12.1),125.,3 84,.9 56%,33.
46,Sunset Limited,4.6,17.,8 (13.2),35.,5 85,.5 46%,25.
47,Coast Starlight,17.5,37.,4 (19.9),165.,6 84,.7 57%,48.
48,Lake Shore Limited,11.5,25.,4 (13.9),134.,9 80,.9 53%,40.
49,Palmetto,11.4,14.,6 (3.3),138.,5 79,.3 44%,67.
50,Crescent,12.3,27.,8 (15.5),108.,1 77,.3 51%,26.
51,Auto Train,31.8,33.,5 (1.8),93.,9 87,.1 62%,71.
52,Long Distance Adjustments,(0.0,) 0.,4 (0.4),N/,A N,/A N/,A
53,Long Distance,$202.4,$410.,8 $(208.4),"1,750.",0 83,.6 56%,46.
54,Ancillary,141.8,117.,4 24.4,,,,
55,Infrastructure,103.5,144.,3 (40.8),,,,
56,Amtrak,"$1,313.4","$1,360.",2 $(46.8),"12,806.",1 87,.1 50%,73.
