,NEC,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Ridership (in Thousands),eCSI,Average Load Factor,OTP
0,Acela,$219,.8 $10,7.9 $111.9,"1,17",5.5,82.9 6,2%
1,Regional,235,.2 15,2.7 82.5,"2,95",0.9,85.0 5,7%
2,NEC Special Trains & Adjustments,2,.0,3.7 (1.7),,3.1,N/A N,/A
3,NEC,$456,.9 $26,4.3 $192.6,"4,12",9.5,84.4 5,9%
4,State Supported:,,,,,,,
5,Ethan Allen Express,$1,.8 $,2.0 $(0.2),1,6.1,91.7 4,2%
6,Vermonter,3,.7,3.4 0.4,3,5.0,88.9 4,9%
7,Maple Leaf,9,.8 1,1.7 (2.0),12,7.3,92.9 4,1%
8,The Downeaster,4,.9,6.4 (1.5),16,4.7,94.5 2,9%
9,New Haven - Springfield,7,.8,9.3 (1.5),12,0.7,89.1 N,/A
10,Keystone Service,17,.8 1,8.3 (0.5),53,4.1,91.6 4,1%
11,Empire Service,16,.4 2,0.6 (4.2),40,9.7,88.4 5,1%
12,Chicago-St.Louis,6,.1 1,0.6 (4.5),20,7.9,92.0 4,8%
13,Hiawathas,6,.9,7.8 (0.9),28,1.4,92.2 3,9%
14,Wolverines,9,.6 1,1.0 (1.4),16,6.4,88.6 5,8%
15,Illini,2,.5,5.3 (2.8),9,1.6,89.9 4,4%
16,ILLINOIS Zephyr,1,.8,4.9 (3.1),6,5.1,93.6 3,8%
17,Heartland Flyer,1,.9,2.2 (0.3),2,2.0,94.3 4,4%
18,Pacific Surfliner,35,.6 4,3.9 (8.3),87,2.3,88.0 2,8%
19,Cascades,17,.7 2,3.2 (5.5),25,0.0,90.7 5,1%
20,Capitols,20,.5 2,3.4 (2.9),58,2.2,92.0 3,1%
21,San Joaquins,26,.9 3,2.4 (5.6),35,5.2,89.8 2,9%
22,Adirondack,3,.8,4.4 (0.6),3,8.4,85.8 5,1%
23,Blue Water,3,.6,4.2 (0.5),5,8.8,92.4 4,2%
24,Washington-Lynchburg,4,.8,3.5 1.4,7,4.9,92.1,0%
25,Washington - Newport News,8,.0,6.6 1.4,11,3.9,89.8,0%
26,Washington - Norfolk,3,.8,3.1 0.7,5,3.4,92.3,0%
27,Washington - Richmond,3,.8,3.3 0 .5,5,4.8,92.1,0%
28,Hoosier State,1,.3,1.9 (0.6),,9.6,92.5 2,7%
29,Kansas City-St.Louis,4,.6,4.7 (0.0),5,6.4,92.6 4,7%
30,Pennsylvanian,4,.7,5.8 (1.1),7,3.0,91.7 5,3%
31,Pere Marquette,2,.0,2.1 (0.2),3,1.7,93.7 4,8%
32,Carolinian,7,.1,6.3 0.8,8,4.5,89.6 4,7%
33,Piedmont,2,.8,3.0 (0.1),7,1.7,94.8 3,9%
34,Non Nec Special Trains & Adjustments,1,.7,2.1 (0.3),1,8.0,N/A N,/A
35,State Supported,$243,.7 $28,7.3 $(43.6),"5,04",0.6,90.7 4,0%
36,Long Distance:,,,,,,,
37,Silver Star,$12,.1 $2,2.3 $(10.2),13,2.8,81.9 6,1%
38,Cardinal,2,.4,7.8 (5.3),3,3.2,84.6 5,2%
39,Silver Meteor,14,.1 2,6.0 (11.9),11,6.1,82.3 6,4%
40,Empire Builder,15,.5 3,4.8 (19.3),13,2.8,85.8 4,9%
41,Capitol Limited,6,.3 1,4.9 (8.6),6,3.3,81.2 6,7%
42,California Zephyr,16,.8 3,6.3 (19.5),13,2.7,87.2 5,4%
43,Southwest Chief,14,.3 3,2.6 (18.4),10,4.1,84.8 6,3%
44,City of New Orleans,6,.3 1,3.3 (7.0),7,7.9,85.7 5,5%
45,Texas Eagle,8,.3 1,7.6 (9.3),10,6.1,84.8 5,7%
46,Sunset Limited,4,.1 1,4.8 (10.8),3,1.6,86.3 4,7%
47,Coast Starlight,15,.2 3,0.7 (15.5),14,1.6,84.8 5,8%
48,Lake Shore Limited,10,.0 2,0.8 (10.9),11,5.0,80.6 5,2%
49,Palmetto,9,.8 1,2.2 (2.3),11,9.0,79.1 4,5%
50,Crescent,10,.5 2,2.6 (12.1),9,1.7,78.2 5,2%
51,Auto Train,26,.4 2,7.4 (1.0),7,6.9,86.8 6,2%
52,Long Distance Adjustments,(0,.0),0.5 (0.5),N,/A,N/A N,/A
53,Long Distance,$172,.0 $33,4.5 $(162.5),"1,47",4.6,83.6 5,6%
54,Ancillary,113,.4 9,7.9 15.5,,,,
55,Infrastructure,83,.3 11,6.1 (32.9),,,,
56,Amtrak,"$1,069",".4 $1,10",0.2 $(30.8),"10,64",4.7,87.0 5,1%
