($s in Millions),Type,Operating Revenue,Frequency Variable Costs,Route Variable,System/Fixed,Operating Expense,"Adjusted
Operating",Gross Ticket,Ridership,Seat Miles,Passenger Miles,Train Miles,Frequencies
Acela,NEC,275.3,66.8,155.7,63.3,285.8,(10.5),268.3,"1,688.3",566.0,336.6,1.8,"4,701.0"
Regional,NEC,477.4,140.4,213.7,132.6,486.7,(9.3),452.2,"5,628.8","1,649.8","1,008.5",3.8,"10,339.3"
NEC Special Trains & Adjustments,NEC,5.3,0.6,2.0,6.6,9.2,(3.9),1.4,0.0,4.0,0.0,0.0,335.0
NEC,NEC,758.0,207.8,371.4,202.5,781.7,(23.7),721.9,"7,317.2","2,219.8","1,345.1",5.7,"15,375.3"
Ethan Allen Express,State Supported,3.1,3.2,1.0,1.3,5.5,(2.5),1.0,47.1,19.7,3.2,0.1,258.2
Vermonter,State Supported,7.8,4.8,1.8,2.4,8.9,(1.0),2.3,70.0,43.7,7.9,0.1,239.4
Maple Leaf,State Supported,27.4,16.6,9.4,7.1,33.1,(5.7),13.1,311.9,192.7,59.8,0.6,"1,255.8"
The Downeaster,State Supported,14.9,8.4,4.4,3.9,16.7,(1.8),7.1,347.4,128.6,30.4,0.4,"2,999.0"
Berkshire Flyer,State Supported,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1.3,0.1,0.2,0.0,2.1
New Haven - Springfield,State Supported,17.6,10.9,11.7,6.5,29.1,(11.6),5.1,271.5,79.0,15.5,0.4,"4,663.8"
Keystone Service,State Supported,31.2,11.2,35.8,16.6,63.6,(32.3),15.3,645.0,200.7,43.4,0.6,"3,573.9"
Empire Service,State Supported,48.4,20.6,29.4,16.9,66.9,(18.6),47.9,823.6,241.1,133.6,0.7,"3,742.9"
Great River Hiawatha,State Supported,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
Chicago-St.Louis,State Supported,32.6,16.3,12.6,5.3,34.2,(1.6),12.4,391.4,194.7,76.1,0.7,"2,349.1"
Hiawathas,State Supported,18.1,10.3,7.9,3.0,21.2,(3.2),9.7,395.2,69.7,31.9,0.3,"3,919.0"
Wolverines,State Supported,29.8,12.7,17.7,7.0,37.4,(7.6),15.1,300.7,137.1,66.4,0.5,"1,808.0"
Illini,State Supported,16.5,7.6,2.9,2.7,13.1,3.4,5.5,190.9,110.9,31.5,0.3,820.0
