($s in Millions),Type,"Operating
Revenue","Frequency
Variable Costs","Route Variable
Costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings",Gross Ticket,Ridership,Seat Miles,Passenger Miles,"Train Miles
(in Millions)",Frequencies
Acela.,NEC,231.6,50.1,99.1,35.7,185.0,46.6,231.0,"1,362.0",419.5,264.2,1.4,"3,581.0"
Regional,NEC,369.3,97.9,147.2,77.1,322.2,47.1,361.7,"4,032.1","1,183.8",724.6,2.6,"6,681.6"
NEC Special Trains & Adjustments,NEC,3.5,0.2,1.7,4.8,6.7,(3.2),1.3,0.0,3.5,0.0,0.0,189.0
NEC,NEC,604.3,148.3,248.0,117.6,513.8,90.5,593.9,"5,394.1","1,606.8",988.8,4.0,"10,451.6"
Ethan Allen Express,State Supported,3.4,2.5,1.1,0.7,4.3,(0.9),1.3,42.9,21.0,4.0,0.1,197.2
Vermonter,State Supported,4.6,2.9,1.9,1.2,6.1,(1.5),1.7,51.4,25.3,5.6,0.1,136.3
Maple Leaf,State Supported,18.6,11.1,6.9,2.7,20.6,(2.0),9.1,199.5,121.5,37.4,0.4,757.2
The Downeaster,State Supported,9.1,5.2,3.1,1.9,10.2,(1.1),4.8,238.2,71.4,20.6,0.2,"1,770.0"
Berkshire Flyer,State Supported,0.0,0.0,0.0,0.0,0.0,(0.0),-,0.0,0.0,0.0,0.0,0.0
New Haven - Springfield,State Supported,11.2,6.7,8.2,3.0,18.0,(6.8),3.9,204.4,44.2,11.4,0.2,"2,843.4"
Keystone Service,State Supported,15.4,8.2,30.7,9.4,48.3,(32.9),12.3,515.1,149.2,33.0,0.4,"2,533.3"
Empire Service,State Supported,31.3,14.0,17.3,8.0,39.3,(8.0),37.0,583.7,159.4,92.6,0.5,"2,586.4"
Great River Service,State Supported,0.1,0.0,0.0,0.0,0.1,0.0,-,0.0,0.0,0.0,0.0,0.0
Chicago-St.Louis,State Supported,14.4,10.1,8.5,2.2,20.8,(6.4),8.0,232.8,105.3,45.9,0.4,"1,131.9"
Hiawathas,State Supported,10.0,7.1,6.5,1.5,15.1,(5.1),6.9,280.6,52.1,22.6,0.2,"2,417.0"
Wolverines,State Supported,19.7,8.2,11.0,2.7,21.9,(2.2),9.7,185.2,84.4,40.7,0.3,992.0
