($s in Millions),Type,"Operating
Revenue","Frequency
Variable Costs","Route Variable
Costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings",Gross Ticket,Revenue,Seat Miles,Passenger Miles,Train Miles,Frequencies
Acela.,NEC,88.0,16.7,32.3,12.0,61.0,27.0,88.0,498.3,142.9,96.6,0.5,"1,218.0"
Regional,NEC,142.1,32.5,50.4,26.6,109.5,32.7,139.9,"1,495.0",406.2,270.0,0.9,"2,240.3"
NEC Special Trains & Adjustments,NEC,1.1,0.1,0.4,1.9,2.4,(1.4),0.5,0.0,1.6,0.0,0.0,74.0
NEC,NEC,231.2,49.3,83.1,40.4,172.8,58.3,228.5,"1,993.2",550.6,366.6,1.4,"3,532.3"
Ethan Allen Express,State Supported,1.0,0.7,0.4,0.2,1.3,(0.3),0.5,15.8,7.1,1.5,0.0,66.4
Vermonter,State Supported,1.2,0.9,0.6,0.3,1.9,(0.6),0.7,21.3,8.5,2.3,0.0,45.5
Maple Leaf,State Supported,6.1,3.7,2.3,0.8,6.7,(0.6),3.3,70.9,40.9,13.4,0.1,253.2
The Downeaster,State Supported,3.2,1.8,1.1,0.6,3.6,(0.4),2.3,91.5,25.7,7.8,0.1,600.0
Berkshire Flyer,State Supported,0.0,0.0,0.0,0.0,0.0,(0.0),-,0.0,0.0,0.0,0.0,0.0
New Haven - Springfield,State Supported,3.4,2.2,2.7,1.1,6.1,(2.7),1.5,74.0,15.3,4.2,0.1,990.7
Keystone Service,State Supported,5.8,2.8,9.9,3.1,15.8,(10.0),4.4,188.6,50.0,12.1,0.1,852.9
Empire Service,State Supported,10.5,4.4,5.7,2.2,12.4,(1.9),13.4,205.8,48.9,32.3,0.2,753.9
Great River Service,State Supported,-,0.0,0.0,0.0,0.1,(0.1),-,0.0,0.0,0.0,0.0,0.0
Chicago-St.Louis,State Supported,6.3,2.8,2.3,0.8,6.0,0.3,2.9,81.4,31.4,16.2,0.1,331.3
Hiawathas,State Supported,4.7,2.5,2.0,0.6,5.1,(0.4),2.7,107.0,19.4,8.6,0.1,833.0
Wolverines,State Supported,6.1,2.7,3.2,0.9,6.9,(0.7),3.5,65.8,25.9,14.5,0.1,314.0
Illini,State Supported,2.9,1.4,0.8,0.3,2.5,0.4,1.2,38.2,15.9,6.4,0.0,122.0
ILLINOIS Zephyr,State Supported,3.0,1.4,0.9,0.3,2.6,0.3,0.7,20.3,8.0,3.4,0.1,204.0
Heartland Flyer,State Supported,1.3,0.7,0.6,0.2,1.6,(0.3),0.4,12.5,4.5,2.3,0.0,122.0
Pacific Surfliner,State Supported,17.2,11.5,4.9,3.1,19.5,(2.4),6.8,238.9,70.1,16.0,0.2,"1,469.0"
Cascades,State Supported,7.4,4.5,1.9,1.9,8.3,(0.9),3.8,83.3,19.0,12.6,0.1,491.0
Capitols,State Supported,9.4,6.4,3.0,1.8,11.2,(1.8),3.8,157.4,46.7,11.8,0.2,"1,411.0"
San Joaquins,State Supported,14.7,10.5,4.4,2.3,17.1,(2.5),5.1,151.5,88.9,22.2,0.2,731.0
Adirondack,State Supported,0.3,0.3,(0.3),0.1,0.1,0.3,-,0.0,0.0,0.0,0.0,0.0
Blue Water,State Supported,2.6,1.2,1.2,0.3,2.7,(0.1),1.1,29.1,12.9,5.6,0.0,118.0
Washington-Roanoke,State Supported,2.0,1.7,1.2,0.5,3.4,(1.4),2.5,58.7,22.9,7.9,0.1,94.9
Washington - Newport News,State Supported,2.9,1.8,1.3,0.5,3.7,(0.8),2.5,58.8,18.6,7.0,0.0,85.9
Washington - Norfolk,State Supported,2.7,2.2,2.0,0.9,5.1,(2.3),3.1,78.3,39.6,10.0,0.1,138.6
Washington - Richmond,State Supported,0.7,0.7,0.5,0.2,1.5,(0.8),0.6,21.7,7.4,1.8,0.0,24.4
Hoosier State,State Supported,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
Kansas City-St.Louis,State Supported,2.5,1.0,0.7,0.3,2.0,0.5,0.9,24.8,12.5,4.5,0.1,106.7
Pennsylvanian,State Supported,2.6,1.7,1.4,0.6,3.7,(1.1),2.1,35.3,13.3,7.7,0.0,96.8
Gulf Coast Limited,State Supported,0.0,0.0,(0.0),0.0,0.0,(0.0),-,0.0,0.0,0.0,0.0,0.0
Pere Marquette,State Supported,1.2,0.6,0.4,0.2,1.2,(0.1),0.6,15.3,3.5,2.3,0.0,122.0
Carolinian,State Supported,3.4,2.2,1.1,0.5,3.8,(0.4),2.8,54.6,20.9,11.8,0.1,82.7
Piedmont,State Supported,1.6,1.2,0.4,0.3,1.8,(0.2),1.1,52.6,12.5,6.2,0.1,355.0
Non Nec Special Trains & Adjustments,State Supported,3.9,0.4,0.8,1.8,3.0,0.9,3.9,0.1,0.7,0.0,0.0,149.0
State Supported,State Supported,130.5,76.0,57.6,27.0,160.5,(30.0),78.2,"2,053.4",691.2,252.1,2.2,"10,964.8"
Silver Star,Long Distance,6.4,8.1,5.6,2.0,15.6,(9.3),6.2,55.9,44.1,24.2,0.2,119.0
Cardinal,Long Distance,1.5,2.5,0.7,1.0,4.1,(2.6),1.5,15.1,8.7,5.4,0.1,52.0
Silver Meteor,Long Distance,4.6,4.4,3.7,1.3,9.5,(4.9),4.5,33.4,28.7,17.7,0.1,89.0
Empire Builder,Long Distance,9.0,12.7,3.5,2.7,18.9,(10.0),8.6,55.7,78.4,38.2,0.3,232.0
Capitol Limited,Long Distance,3.6,3.4,2.4,1.5,7.4,(3.7),3.7,29.1,20.3,12.2,0.1,120.0
California Zephyr,Long Distance,8.9,12.5,4.4,3.5,20.4,(11.4),8.6,51.8,59.2,35.8,0.3,122.0
Southwest Chief,Long Distance,7.1,11.3,5.8,2.7,19.8,(12.7),7.0,41.6,53.0,35.6,0.3,122.0
City of New Orleans,Long Distance,3.0,4.1,2.3,1.1,7.6,(4.6),2.9,38.0,29.3,14.3,0.1,118.0
Texas Eagle,Long Distance,4.7,6.4,2.7,1.3,10.5,(5.8),4.1,51.2,31.2,23.4,0.2,122.0
Sunset Limited,Long Distance,2.2,5.5,2.4,1.2,9.1,(6.9),2.0,14.6,26.5,10.9,0.1,52.0
Coast Starlight,Long Distance,8.4,9.4,4.4,2.5,16.3,(7.9),8.0,70.0,48.1,29.2,0.2,122.0
Lake Shore Limited,Long Distance,6.1,6.0,4.5,1.8,12.3,(6.2),5.9,66.2,43.7,25.9,0.1,230.0
Palmetto,Long Distance,4.8,3.0,2.6,1.1,6.8,(2.0),4.6,52.2,29.6,12.8,0.1,122.0
Crescent,Long Distance,6.3,5.8,5.4,2.0,13.1,(6.8),6.2,46.1,40.0,20.0,0.2,122.0
Auto Train,Long Distance,19.4,9.5,6.1,2.2,17.8,1.5,19.9,44.7,60.5,20.9,0.1,116.0
Long Distance Adjustments,Long Distance,(0.0),0.0,0.4,0.3,0.7,(0.7),N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,96.0,104.6,56.9,28.3,189.9,(93.8),93.9,665.7,601.1,326.3,2.4,"1,860.0"
Ancillary,Amtrak,71.7,11.6,39.2,18.2,69.0,2.7,,,,,,
Infrastructure,Amtrak,43.7,11.3,44.6,11.9,67.8,(24.2),,,,,,
Amtrak,Amtrak,573.1,252.8,281.4,125.9,660.1,(87.0),400.6,"4,712.4","1,842.9",945.1,5.9,"16,357.0"
