($s in Millions),Type,"Operating
Revenue","Frequency
Variable Costs","Route Variable
Costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings",Gross Ticket,Ridership,Seat Miles,Passenger Miles,Train Miles,Frequencies
Acela,NEC,43.3,8.3,15.0,5.8,29.2,14.1,43.3,250.5,70.8,48.8,0.2,604.0
Regional,NEC,68.5,16.1,24.4,13.0,53.5,15.0,67.4,781.0,203.2,139.5,0.5,"1,138.3"
NEC Special Trains & Adjustments,NEC,0.4,0.1,0.2,0.9,1.1,(0.7),0.4,0.0,1.1,0.0,0.0,40.0
NEC,NEC,112.2,24.5,39.7,19.7,83.8,28.4,111.0,"1,031.5",275.1,188.3,0.7,"1,782.3"
Ethan Allen Express,State Supported,0.6,0.3,0.2,0.1,0.6,(0.0),0.2,7.8,3.6,0.7,0.0,33.8
Vermonter,State Supported,0.9,0.4,0.3,0.2,0.9,(0.0),0.3,9.6,4.5,1.0,0.0,24.9
Maple Leaf,State Supported,3.4,1.8,1.2,0.4,3.4,(0.0),1.6,36.3,21.4,6.9,0.1,131.9
The Downeaster,State Supported,2.1,1.0,0.5,0.3,1.8,0.4,1.3,47.8,13.3,4.1,0.0,306.0
Berkshire Flyer,State Supported,(0.0),0.0,(0.0),0.0,0.0,(0.0),-,0.0,0.0,0.0,0.0,
New Haven - Springfield,State Supported,2.1,1.0,1.4,0.6,3.0,(0.9),0.7,36.2,7.8,2.1,0.0,504.7
Keystone Service,State Supported,3.5,1.3,4.6,1.6,7.5,(4.1),2.1,92.3,25.4,5.9,0.1,431.7
Empire Service,State Supported,5.0,2.2,2.7,1.1,6.0,(1.0),6.7,106.0,24.7,16.4,0.1,382.4
Great River Service,State Supported,-,0.0,0.0,0.0,0.1,(0.1),-,0.0,0.0,0.0,0.0,
Chicago-St.Louis,State Supported,3.1,1.4,1.3,0.4,3.0,0.0,1.3,39.9,15.5,7.9,0.1,154.0
Hiawathas,State Supported,2.2,1.2,1.2,0.2,2.7,(0.5),1.4,54.3,9.9,4.4,0.0,423.0
Wolverines,State Supported,3.0,1.3,1.5,0.4,3.2,(0.2),1.6,29.9,10.5,6.6,0.0,135.0
Illini,State Supported,1.3,0.7,0.4,0.1,1.2,0.0,0.6,19.3,7.9,3.2,0.0,62.0
ILLINOIS Zephyr,State Supported,1.5,0.7,0.5,0.2,1.5,0.0,0.4,11.4,4.8,1.9,0.0,120.0
Heartland Flyer,State Supported,0.7,0.4,0.3,0.1,0.8,(0.1),0.2,6.2,2.2,1.2,0.0,62.0
Pacific Surfliner,State Supported,8.9,5.3,2.3,1.6,9.3,(0.3),3.1,110.3,33.7,7.4,0.1,689.0
Cascades,State Supported,3.6,2.3,0.9,1.0,4.2,(0.5),1.9,42.1,9.7,6.4,0.1,248.0
Capitols,State Supported,4.5,3.1,1.5,1.0,5.5,(1.0),1.8,78.5,22.0,5.8,0.1,712.0
San Joaquins,State Supported,7.7,5.1,2.4,1.2,8.6,(0.9),2.3,72.5,44.3,10.4,0.1,371.0
Adirondack,State Supported,0.0,0.2,(0.1),0.0,0.1,(0.1),-,0.0,0.0,0.0,0.0,
Blue Water,State Supported,1.2,0.6,0.6,0.2,1.4,(0.1),0.6,15.0,6.9,2.9,0.0,61.0
Washington-Roanoke,State Supported,1.1,0.9,0.5,0.3,1.7,(0.6),1.1,28.9,11.6,3.8,0.0,48.1
Washington - Newport News,State Supported,1.3,0.6,0.5,0.3,1.5,(0.1),1.1,28.2,9.2,3.3,0.0,43.5
Washington - Norfolk,State Supported,1.7,1.1,0.9,0.4,2.5,(0.7),1.4,37.1,20.0,4.7,0.0,70.5
Washington - Richmond,State Supported,0.6,0.3,0.3,0.1,0.7,(0.1),0.3,10.4,3.7,0.9,0.0,12.1
Hoosier State,State Supported,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,
Kansas City-St.Louis,State Supported,1.0,0.6,0.5,0.2,1.3,(0.3),0.5,14.9,7.6,2.5,0.0,77.0
Pennsylvanian,State Supported,1.4,0.8,0.6,0.3,1.8,(0.4),1.0,17.4,6.5,3.7,0.0,49.2
Gulf Coast Limited,State Supported,0.0,0.0,(0.0),0.0,0.0,(0.0),-,0.0,0.0,0.0,0.0,
Pere Marquette,State Supported,0.6,0.3,0.3,0.1,0.6,(0.0),0.3,7.7,1.7,1.2,0.0,62.0
