,NEC,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Ridership (in Thousands),eCSI,Average Load Factor,OTP
0,Acela,$420.2,$198.6,$221.6,"2,276.0",73.6,61%,83.8%
1,Regional,460.9,313.4,147.4,"5,719.4",76.7,55%,81.5%
2,NEC Special Trains & Adjustments,3.2,5.4,(2.2),7.2,N/A,N/A,N/A
3,NEC,$884.2,$517.4,$366.8,"8,002.7",75.9,57%,82.4%
4,State Supported:,,,,,,,
5,Ethan Allen Express,$3.3,$3.5,$(0.2),33.5,82.3,38%,85.6%
6,Vermonter,7.5,6.7,0.8,63.2,75.7,48%,70.7%
7,Maple Leaf,19.6,22.6,(2.9),235.0,79.6,40%,76.7%
8,The Downeaster,11.9,11.1,0.8,337.6,88.8,31%,69.3%
9,New Haven - Springfield,11.8,14.4,(2.7),175.3,77.6,0%,N/A
10,Keystone Service,34.4,37.2,(2.8),"1,009.9",84.3,38%,87.4%
11,Empire Service,32.2,45.3,(13.1),760.4,80.1,46%,79.9%
12,Chicago-St.Louis,21.1,21.2,(0.2),369.5,81.0,43%,66.7%
13,Hiawathas,14.6,13.9,0.7,530.0,89.3,36%,93.9%
14,Wolverines,19.6,21.7,(2.1),309.6,76.4,54%,63.7%
15,Illini,11.5,11.4,0.1,163.4,69.4,39%,23.3%
16,Illinois Zephyr,10.3,9.8,0.6,124.2,87.3,37%,88.7%
17,Heartland Flyer,4.4,4.9,(0.5),43.9,88.6,45%,51.1%
18,Pacific Surfliner,72.5,84.2,(11.7),"1,904.1",78.6,28%,78.1%
19,Cascades,39.3,42.8,(3.5),481.6,82.8,50%,58.1%
20,Capitols,40.8,46.6,(5.9),"1,123.4",84.7,33%,88.6%
21,San Joaquins,54.6,61.9,(7.3),712.9,83.1,33%,81.1%
22,Adirondack,8.4,9.0,(0.6),66.9,75.1,45%,74.4%
23,Blue Water,7.6,8.7,(1.1),118.9,80.8,42%,68.2%
24,Washington-Lynchburg,9.7,6.1,3.6,136.3,83.5,0%,75.4%
25,Washington - Newport News,16.0,12.3,3.6,207.8,74.1,0%,74.7%
26,Washington - Norfolk,7.5,6.2,1.3,98.5,85.4,0%,74.7%
27,Washington - Richmond,7.7,6.3,1.3,108.1,80.9,0%,74.7%
28,Hoosier State,2.5,3.7,(1.2),17.5,80.1,30%,70.9%
29,Kansas City-St.Louis,9.9,9.5,0.4,108.3,87.7,29%,86.1%
30,Pennsylvanian,9.6,11.2,(1.6),138.0,85.1,51%,78.9%
31,Pere Marquette,4.0,4.6,(0.6),60.8,87.8,49%,76.3%
32,Carolinian,15.0,13.2,1.9,171.0,73.3,45%,58.7%
33,Piedmont,4.1,4.5,(0.3),104.9,89.2,49%,64.5%
34,Non Nec Special Trains & Adjustments,4.0,31.3,(27.3),25.1,N/A,N/A,N/A
35,State Supported,$515.0,$585.7,$(70.7),"9,739.6",81.9,38%,78.4%
36,Long Distance:,,,,,,,
37,Silver Star,$22.0,$47.8,$(25.8),242.1,69.2,57%,31.4%
38,Cardinal,5.2,16.3,(11.1),66.1,70.9,46%,54.3%
39,Silver Meteor,26.4,56.4,(30.0),218.6,70.4,63%,45.8%
40,Empire Builder,31.0,72.9,(42.0),261.5,77.7,49%,69.7%
41,Capitol Limited,12.8,32.6,(19.8),133.8,74.3,64%,41.3%
42,California Zephyr,34.7,77.8,(43.1),264.6,77.4,54%,62.8%
43,Southwest Chief,27.7,68.5,(40.8),203.5,75.4,59%,71.8%
44,City of New Orleans,12.2,26.8,(14.6),151.4,71.1,55%,60.9%
45,Texas Eagle,16.2,39.5,(23.3),217.1,73.2,50%,53.9%
46,Sunset Limited,7.8,32.1,(24.3),61.1,78.5,45%,59.1%
47,Coast Starlight,27.6,61.6,(34.0),265.8,74.2,54%,69.5%
48,Lake Shore Limited,19.1,46.0,(26.9),227.9,66.4,54%,46.7%
49,Palmetto,20.3,24.1,(3.8),254.2,71.7,43%,50.4%
50,Crescent,21.5,49.9,(28.3),176.8,58.8,46%,15.6%
51,Auto Train,50.5,62.5,(12.0),150.2,75.6,63%,67.9%
52,Long Distance Adjustments,(6.7),20.2,(26.9),N/A,N/A,N/A,N/A
53,Long Distance,$328.3,$734.9,$(406.6),"2,894.9",72.3,54%,53.8%
54,Ancillary,219.2,204.2,15.0,,,,
55,Infrastructure,154.0,207.6,(53.7),,,,
56,Amtrak,"$2,100.7","$2,249.9",$(149.2),"20,637.1",78.2,49%,76.7%
