Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Average
Load Factor",OTP
Acela,NEC,42.2,165.5,-123.3,317.3,291.8,64.5,22%,86.8%
Regional,NEC,102.9,271.4,-168.5,"1,542.8",965.9,248.8,26%,89.3%
NEC Special Trains & Adjustments,NEC,6.0,7.3,-1.2,1.2,3.8,0.2,N/A,N/A
NEC,NEC,151.2,444.2,-293,"1,861.3","1,261.6",313.5,25%,88.9%
Ethan Allen Express,State Supported,0.7,0.5,0.2,0.0,0.0,0.0,0%,93.6%
Vermonter,State Supported,0.1,(0.0),0.1,0.1,0.8,0.0,0%,95.1%
Maple Leaf,State Supported,16.9,17.1,-0.3,124.5,101.2,35.3,35%,84.6%
The Downeaster,State Supported,9.9,9.9,0,71.5,86.8,6.0,7%,76.1%
New Haven - Springfield,State Supported,13.6,17.9,-4.3,98.0,43.0,5.7,13%,93.3%
Keystone Service,State Supported,27.1,42.1,-15,194.8,147.7,17.4,12%,96.0%
Empire Service,State Supported,32.7,41.6,-8.9,293.1,185.2,34.3,19%,93.0%
Chicago-St.Louis,State Supported,14.5,18.5,-4,130.8,85.0,23.7,28%,81.5%
Hiawathas,State Supported,10.2,12.4,-2.1,87.8,30.6,7.1,23%,94.9%
Wolverines,State Supported,10.0,11.9,-1.8,63.7,51.2,14.5,28%,64.0%
Illini,State Supported,8.8,4.5,4.2,80.2,63.5,12.6,20%,85.5%
Illinois Zephyr,State Supported,6.3,7.0,-0.7,38.4,28.2,6.5,23%,90.9%
Heartland Flyer,State Supported,4.4,5.5,-1.1,21.4,14.9,3.8,26%,76.2%
Pacific Surfliner,State Supported,48.6,60.2,-11.6,379.4,281.3,35.8,13%,88.7%
Cascades,State Supported,12.3,17.3,-4.9,62.3,31.4,9.7,31%,62.5%
Capitols,State Supported,24.8,29.0,-4.1,174.7,114.0,12.3,11%,91.9%
San Joaquins,State Supported,37.0,44.1,-7.1,239.3,257.8,34.0,13%,84.1%
Adirondack,State Supported,1.5,0.6,0.8,0.0,0.0,0.0,0%,0.0%
Blue Water,State Supported,10.0,12.0,-2,45.8,53.9,8.4,16%,79.2%
Washington-Lynchburg,State Supported,7.4,7.4,0,55.9,47.3,13.6,29%,87.5%
Washington - Newport News,State Supported,6.5,12.9,-6.4,97.0,63.4,22.3,30%,87.1%
Washington - Norfolk,State Supported,11.6,10.7,1,66.9,72.2,16.2,21%,87.1%
Washington - Richmond,State Supported,7.6,0.1,7.5,0.1,0.0,0.0,0%,87.1%
Hoosier State,State Supported,-,0.0,0,0.0,0.0,0.0,0%,0.0%
Kansas City-St.Louis,State Supported,6.6,7.0,-0.4,38.1,43.3,7.5,17%,83.7%
Pennsylvanian,State Supported,10.6,11.5,-0.8,65.1,51.6,14.7,28%,75.2%
Pere Marquette,State Supported,4.7,5.6,-0.9,22.7,18.4,3.4,19%,85.8%
Carolinian,State Supported,12.8,14.9,-2.2,101.6,78.0,30.1,38%,77.3%
Piedmont,State Supported,4.1,4.5,-0.4,46.0,24.7,5.2,21%,77.9%
Non Nec Special Trains & Adjustments,State Supported,0.1,7.9,-7.9,0.0,2.4,0.0,N/A,N/A
State Supported,State Supported,361.3,434.5,-73.2,"2,599.2","1,977.8",380.0,19%,85.2%
"
Silver Star",Long Distance,11.3,32.4,-21.1,101.5,132.4,48.6,37%,40.8%
Cardinal,Long Distance,3.6,16.5,-12.8,38.8,49.5,15.9,32%,60.1%
Silver Meteor,Long Distance,13.4,36.8,-23.4,107.8,159.7,56.5,35%,51.7%
Empire Builder,Long Distance,13.2,48.5,-35.2,93.2,189.3,63.1,34%,55.7%
Capitol Limited,Long Distance,3.7,14.5,-10.8,34.4,34.0,14.2,42%,45.0%
California Zephyr,Long Distance,13.2,46.4,-33.2,77.7,153.1,56.5,37%,57.7%
Southwest Chief,Long Distance,11.4,44.2,-32.7,59.8,150.8,55.8,37%,42.9%
City of New Orleans,Long Distance,4.4,16.3,-11.9,43.4,49.7,18.0,36%,82.8%
Texas Eagle,Long Distance,6.9,21.1,-14.2,64.8,60.0,35.1,59%,60.7%
Sunset Limited,Long Distance,4.3,31.6,-27.3,31.5,100.4,21.8,22%,31.6%
Coast Starlight,Long Distance,10.8,39.4,-28.6,87.6,115.7,41.1,36%,61.1%
Lake Shore Limited,Long Distance,6.9,25.0,-18.1,78.8,86.7,32.2,37%,60.5%
Palmetto,Long Distance,4.4,14.1,-9.7,49.7,42.5,13.7,32%,73.8%
Crescent,Long Distance,6.8,25.2,-18.4,50.4,65.8,24.2,37%,39.7%
Auto Train,Long Distance,51.0,58.1,-7.1,115.4,209.0,98.7,48%,56.4%
Long Distance Adjustments,Long Distance,(0.0),1.1,-1.1,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,165.5,471.2,-305.7,"1,034.7","1,598.5",595.5,37%,54.5%
Ancillary,Amtrak,221.1,217.8,3.3,,,,,
Infrastructure,Amtrak,166.3,259.0,-92.7,,,,,
Amtrak,Amtrak,"1,065.3","1,826.7",-761.3,"5,495.1","4,837.9","1,289.0",27%,80.9%
