Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Average
Load Factor",
Acela,NEC,309.1,231.4,77.7,"1,628.4",582.9,310.2,54%,1
Regional,NEC,351.4,383.9,(32.6),"4,331.0","1,617.2",667.1,41%,1
NEC Special Trains & Adjustments,NEC,6.0,9.1,(3.1),3.6,5.0,0.6,N/A,
NEC,NEC,666.5,624.5,42.1,"5,962.9","2,205.1",977.8,45%,1
Ethan Allen Express,State Supported,2.9,2.7,0.3,23.3,11.4,4.4,36%,1
Vermonter,State Supported,5.2,5.9,(0.7),47.3,25.3,12.2,42%,1
Maple Leaf,State Supported,27.1,28.3,(1.2),217.6,158.7,63.0,35%,1
The Downeaster,State Supported,11.4,11.9,(0.5),260.9,92.0,21.1,25%,1
New Haven - Springfield,State Supported,18.9,21.6,(2.7),259.5,37.3,15.4,0%,1
Keystone Service,State Supported,38.4,47.2,(8.9),762.0,195.8,66.6,33%,1
Empire Service,State Supported,42.0,52.6,(10.6),623.2,248.8,74.6,38%,1
Chicago-St.Louis,State Supported,20.7,27.4,(6.8),321.3,173.9,59.3,35%,1
Hiawathas,State Supported,13.7,16.0,(2.4),393.5,94.0,31.6,34%,1
Wolverines,State Supported,23.8,23.1,0.6,237.0,128.4,52.2,42%,0
Illini,State Supported,14.5,14.0,0.5,152.5,99.9,25.5,26%,1
Illinois Zephyr,State Supported,10.8,11.4,(0.6),96.1,56.1,15.8,30%,1
Heartland Flyer,State Supported,6.0,6.2,(0.2),39.5,21.9,7.0,32%,1
Pacific Surfliner,State Supported,88.7,106.6,(17.9),"1,354.7",555.4,118.0,20%,1
Cascades,State Supported,41.0,41.3,(0.3),337.0,125.9,52.2,43%,1
Capitols,State Supported,45.4,51.5,(6.1),878.2,283.6,58.7,22%,1
San Joaquins,State Supported,70.3,77.7,(7.5),579.3,382.9,78.3,19%,1
Adirondack,State Supported,6.6,6.8,(0.2),44.2,20.1,12.7,47%,1
Blue Water,State Supported,12.6,12.4,0.1,92.7,74.0,17.9,25%,1
Washington-Lynchburg,State Supported,11.1,9.4,1.6,119.3,71.8,27.7,0%,1
Washington - Newport News,State Supported,12.1,15.6,(3.6),173.4,89.2,34.0,0%,1
Washington - Norfolk,State Supported,15.1,14.2,0.9,144.9,102.5,35.3,0%,1
Washington - Richmond,State Supported,7.9,3.5,4.4,50.3,24.0,7.8,0%,1
Hoosier State,State Supported,-,0.0,(0.0),0.0,0.0,0.0,0%,0
Kansas City-St.Louis,State Supported,10.8,10.9,(0.1),82.3,52.3,15.9,30%,1
Pennsylvanian,State Supported,19.6,13.3,6.3,119.1,59.2,27.0,40%,1
Pere Marquette,State Supported,4.2,4.2,(0.1),44.5,18.0,6.7,37%,1
Carolinian,State Supported,16.2,15.0,1.3,139.4,88.3,37.4,35%,1
Piedmont,State Supported,5.4,5.7,(0.2),110.8,40.0,12.7,35%,1
Non Nec Special Trains & Adjustments,State Supported,1.4,6.1,(4.7),15.8,2.3,0.5,N/A,
State Supported,State Supported,603.7,662.7,(59.0),"7,719.6","3,332.8",991.6,29%,1
"
Silver Star",Long Distance,21.4,61.5,(40.2),208.3,223.1,93.8,46%,1
Cardinal,Long Distance,5.2,25.3,(20.1),59.0,61.5,21.0,40%,1
Silver Meteor,Long Distance,24.5,62.6,(38.1),189.6,242.0,103.6,48%,1
Empire Builder,Long Distance,29.9,95.9,(66.0),236.6,498.3,149.0,34%,1
Capitol Limited,Long Distance,10.9,38.9,(28.0),117.5,118.5,50.2,46%,0
California Zephyr,Long Distance,30.2,98.0,(67.8),232.5,392.7,143.5,39%,1
Southwest Chief,Long Distance,25.6,89.4,(63.9),175.3,365.9,142.2,43%,1
City of New Orleans,Long Distance,10.8,36.0,(25.2),124.6,151.7,50.6,35%,1
Texas Eagle,Long Distance,15.7,47.1,(31.4),182.3,198.5,84.1,33%,0
Sunset Limited,Long Distance,7.1,39.1,(32.0),51.8,139.7,38.4,32%,0
Coast Starlight,Long Distance,26.1,74.6,(48.6),240.1,267.3,108.9,45%,1
Lake Shore Limited,Long Distance,18.1,56.1,(38.0),205.8,230.4,85.0,43%,1
Palmetto,Long Distance,16.3,34.1,(17.8),186.3,146.9,47.2,32%,1
Crescent,Long Distance,19.4,59.8,(40.4),157.3,206.4,69.3,37%,0
Auto Train,Long Distance,56.9,74.3,(17.4),154.7,294.4,132.2,50%,1
Long Distance Adjustments,Long Distance,0.0,1.0,(1.0),N/A,N/A,N/A,N/A,
Long Distance,Long Distance,318.1,893.8,(575.7),"2,521.7","3,537.3","1,318.8",40%,1
Ancillary,Amtrak,316.1,289.5,26.5,,,,,
Infrastructure,Amtrak,229.0,306.2,(77.1),,,,,
Amtrak,Amtrak,"2,133.4","2,776.6",(643.3),"16,204.3","9,075.2","3,288.2",38%,1
