Route,Type,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Gross Ticket Revenue,Ridership (in Thousands),Seat Miles (in Millions),Passenger Miles (in Millions),eCSI,Average Load Factor,OTP
Acela,NEC,255.6,129.0,126.6,249.5,"1,390",435.4,262.0,73.8,60%,83.4%
Regional,NEC,280.2,198.3,81.9,269.7,"3,546","1,033.9",542.8,77.0,54%,82.6%
NEC Special Trains & Adjustments,NEC,1.1,3.9,(2.8),0.6,5,1.7,0.5,N/A,N/A,N/A
NEC,NEC,536.9,331.2,205.7,519.9,"4,941","1,471.0",805.3,76.1,56%,82.9%
Ethan Allen Express,State Supported,2.0,2.2,(0.1),1.2,21,9.7,4.0,83.4,39%,85.1%
Vermonter,State Supported,4.7,4.4,0.4,2.8,41,21.9,10.4,72.2,48%,64.9%
Maple Leaf,State Supported,12.5,14.6,(2.2),9.2,144,94.5,42.1,77.8,40%,79.1%
The Downeaster,State Supported,8.1,7.2,0.8,3.8,205,58.2,16.6,87.4,30%,66.9%
New Haven - Springfield,State Supported,7.2,9.2,(2.1),4.0,105,23.9,9.1,76.3,N/A,N/A
Keystone Service,State Supported,21.1,24.8,(3.8),19.3,630,124.1,55.4,84.5,38%,86.5%
Empire Service,State Supported,19.6,30.3,(10.7),21.9,479,151.7,57.7,80.9,46%,79.9%
Chicago-St.Louis,State Supported,10.9,14.6,(3.7),6.5,224,101.6,40.5,81.0,41%,64.9%
Hiawathas,State Supported,8.9,9.5,(0.6),7.4,324,72.4,26.0,89.8,35%,93.1%
Wolverines,State Supported,12.4,15.3,(2.9),8.9,194,78.3,40.8,74.8,54%,67.9%
Illini,State Supported,7.2,7.8,(0.5),2.8,102,48.8,17.9,64.7,37%,17.3%
Illinois Zephyr,State Supported,6.5,6.6,(0.0),2.2,76,35.6,12.4,87.9,36%,89.1%
Heartland Flyer,State Supported,2.7,3.1,(0.5),0.7,26,10.1,4.6,90.5,44%,66.3%
