Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Average
Load Factor",
Acela,NEC,16.3,86.5,-70.2,127.4,166.2,25.9,16%,1
Regional,NEC,48.6,161.6,-113,772.7,587.0,125.0,21%,1
NEC Special Trains & Adjustments,NEC,3.1,3.9,-0.9,0.7,2.2,0.1,N/A,
NEC,NEC,68.0,252.1,-184.1,900.9,755.5,151.0,20%,1
Ethan Allen Express,State Supported,0.5,0.4,0.1,0.0,0.0,0.0,0%,1
Vermonter,State Supported,(0.1),(0.2),0,0.0,0.8,0.0,0%,1
Maple Leaf,State Supported,10.5,10.5,0,68.7,63.6,19.4,30%,1
The Downeaster,State Supported,6.1,5.9,0.2,31.2,52.4,2.6,5%,1
New Haven - Springfield,State Supported,8.6,10.5,-1.9,52.2,25.6,2.9,11%,1
Keystone Service,State Supported,17.4,26.1,-8.7,101.7,102.2,8.8,9%,1
Empire Service,State Supported,20.3,23.6,-3.3,150.7,115.2,17.6,15%,1
Chicago-St.Louis,State Supported,8.7,10.9,-2.2,70.0,50.6,12.4,24%,1
Hiawathas,State Supported,6.6,7.3,-0.7,40.1,18.0,3.3,18%,1
Wolverines,State Supported,6.0,7.0,-0.9,32.5,31.9,7.4,23%,1
Illini,State Supported,4.8,2.3,2.5,43.6,39.5,6.8,17%,1
Illinois Zephyr,State Supported,3.4,4.0,-0.6,20.4,17.8,3.4,19%,1
Heartland Flyer,State Supported,2.7,3.3,-0.6,10.9,9.3,1.9,21%,1
Pacific Surfliner,State Supported,31.7,36.3,-4.7,180.1,176.6,17.2,10%,1
Cascades,State Supported,7.0,9.6,-2.6,33.1,19.3,5.1,27%,1
Capitols,State Supported,15.5,17.2,-1.6,93.3,70.0,6.6,9%,1
San Joaquins,State Supported,23.6,26.5,-2.9,128.9,161.5,18.2,11%,1
Adirondack,State Supported,0.9,0.2,0.7,0.0,0.0,0.0,0%,0
Blue Water,State Supported,6.1,7.2,-1.1,22.0,32.8,4.0,12%,1
Washington-Lynchburg,State Supported,4.5,4.6,-0.1,27.8,29.5,6.8,25%,1
Washington - Newport News,State Supported,3.2,7.6,-4.5,49.8,38.0,11.5,26%,1
Washington - Norfolk,State Supported,7.0,6.2,0.8,34.3,43.6,8.4,18%,1
Washington - Richmond,State Supported,5.2,0.1,5.1,0.1,0.0,0.0,0%,1
Hoosier State,State Supported,-,0.0,0,0.0,0.0,0.0,0%,0
Kansas City-St.Louis,State Supported,3.8,4.2,-0.4,19.6,27.8,3.8,14%,1
Pennsylvanian,State Supported,7.1,6.8,0.4,35.0,31.7,7.9,25%,1
Pere Marquette,State Supported,2.8,3.5,-0.6,10.7,11.6,1.6,14%,1
Carolinian,State Supported,7.9,9.2,-1.3,54.7,48.9,16.0,32%,1
Piedmont,State Supported,2.5,2.3,0.2,18.9,12.3,2.1,17%,1
Non Nec Special Trains & Adjustments,State Supported,0.0,4.4,-4.4,0.0,1.3,0.0,N/A,
State Supported,State Supported,224.2,257.2,-33,"1,330.3","1,231.7",195.8,16%,1
"
Silver Star",Long Distance,5.8,19.6,-13.8,52.9,78.4,25.5,33%,0
Cardinal,Long Distance,1.9,9.9,-8,20.4,30.9,8.6,28%,1
Silver Meteor,Long Distance,6.9,21.5,-14.7,55.7,92.5,28.9,31%,1
Empire Builder,Long Distance,7.0,29.3,-22.3,53.8,120.0,35.2,30%,1
Capitol Limited,Long Distance,1.9,8.6,-6.7,19.4,20.7,8.0,39%,0
California Zephyr,Long Distance,6.4,26.9,-20.5,40.8,86.5,28.8,34%,1
Southwest Chief,Long Distance,5.8,26.8,-21,33.2,94.1,31.0,33%,1
City of New Orleans,Long Distance,2.1,9.6,-7.5,22.4,30.6,9.2,30%,1
Texas Eagle,Long Distance,3.6,12.3,-8.7,35.7,35.1,19.4,56%,1
Sunset Limited,Long Distance,2.2,18.8,-16.6,16.1,61.8,11.2,18%,0
Coast Starlight,Long Distance,5.4,23.5,-18.1,46.5,70.1,21.9,31%,1
Lake Shore Limited,Long Distance,3.8,15.4,-11.6,44.2,55.2,18.1,33%,1
Palmetto,Long Distance,2.5,9.2,-6.7,29.1,29.0,8.3,28%,1
Crescent,Long Distance,3.6,15.0,-11.3,27.5,40.3,13.2,33%,0
Auto Train,Long Distance,25.4,34.2,-8.8,58.3,123.4,49.9,40%,1
Long Distance Adjustments,Long Distance,(0.0),0.6,-0.6,N/A,N/A,N/A,N/A,
Long Distance,Long Distance,84.3,281.1,-196.8,556.1,968.5,317.2,33%,1
Ancillary,Amtrak,129.0,123.8,5.2,,,,,
Infrastructure,Amtrak,101.8,160.6,-58.7,,,,,
Amtrak,Amtrak,607.4,"1,074.8",-467.5,"2,787.3","2,955.6",664.0,22%,1
