Route,Type,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Gross Ticket Revenue,Ridership (in Thousands),Seat Miles (in Millions),Passenger Miles (in Millions),eCSI,Average Load Factor,OTP
Acela,NEC,211.7,105.8,105.9,207.0,"1,150",353.1,217.7,73.2,61%,81.4%
Regional,NEC,234.7,161.3,73.4,226.0,"2,941",846.9,452.6,76.6,56%,81.0%
NEC Special Trains & Adjustments,NEC,1.0,3.1,(2.1),0.6,5,1.4,0.5,N/A,N/A,N/A
NEC,NEC,447.5,270.2,177.2,433.6,"4,095","1,201.3",670.8,75.7,57%,81.1%
Ethan Allen Express,State Supported,1.7,1.8,(0.1),1.1,17,8.0,3.3,82.0,39%,82.5%
Vermonter,State Supported,3.8,3.5,0.3,2.4,35,17.9,8.9,72.7,49%,61.8%
Maple Leaf,State Supported,10.2,12.0,(1.8),7.9,123,77.4,36.1,76.6,42%,76.4%
The Downeaster,State Supported,6.5,5.8,0.7,3.1,167,47.0,13.6,86.7,30%,64.7%
New Haven - Springfield,State Supported,5.6,7.4,(1.9),3.3,86,18.5,7.4,75.1,N/A,N/A
Keystone Service,State Supported,17.0,20.4,(3.5),16.1,515,100.8,45.9,84.6,39%,85.5%
Empire Service,State Supported,15.2,24.8,,,,,,,,
Capitols,State Supported,20.5,24.0,(3.5),11.1,555,122.7,37.5,84.6,31%,90.3%
San Joaquins,State Supported,26.9,32.0,(5.1),12.0,364,147.7,50.9,82.7,32%,81.9%
Adirondack,State Supported,4.2,4.8,(0.6),2.2,37,15.5,10.7,74.0,49%,70.3%
Blue Water,State Supported,3.9,4.9,(1.0),2.2,61,28.0,11.7,79.3,42%,68.2%
Washington-Lynchburg,State Supported,4.8,3.3,1.5,,,,,,,
Washington - Norfolk,State Supported,3.6,3.2,0.4,3.2,51,24.2,9.7,86.7,N/A,78.6%
Washington - Richmond,State Supported,3.9,3.4,0.5,3.3,57,23.0,8.8,79.9,N/A,78.6%
Hoosier State,State Supported,1.2,2.1,(0.9),0.3,9,4.2,1.5,76.0,28%,62.7%
Kansas City-St.Louis,State Supported,4.8,5.2,(0.4),1.8,55,36.5,10.2,87.5,29%,84.3%
Pennsylvanian,State Supported,4.8,6.0,(1.2),4.2,73,27.3,17.1,84.3,52%,80.5%
Pere Marquette,State Supported,2.0,2.6,(0.6),1.1,31,9.5,4.7,88.8,49%,74.8%
Carolinian,State Supported,7.3,6.9,0.4,5.9,91,40.6,24.5,73.8,46%,65.6%
Piedmont,State Supported,2.0,2.5,(0.5),1.3,56,13.1,6.3,88.8,50%,68.5%
Non Nec Special Trains & Adjustments,State Supported,1.9,26.6,(24.7),1.5,23,1.4,1.5,N/A,N/A,N/A
State Supported,State Supported,244.3,323.9,(79.6),174.7,"4,985","1,575.6",634.9,81.4,38%,77.6%
Silver Star,Long Distance,11.4,25.0,(13.6),10.4,125,100.3,55.1,69.0,58%,29.3%
Cardinal,Long Distance,3.2,9.3,(6.1),2.8,38,27.7,13.3,67.4,46%,49.5%
Silver Meteor,Long Distance,13.6,29.0,(15.4),12.7,111,109.6,62.4,69.2,61%,39.3%
Empire Builder,Long Distance,16.6,40.1,(23.6),15.2,141,182.5,90.2,77.8,52%,74.8%
Capitol Limited,Long Distance,6.7,17.6,(10.9),6.3,70,50.5,30.6,74.3,65%,45.9%
California Zephyr,Long Distance,17.7,40.0,(22.3),15.9,131,167.6,87.8,74.9,54%,60.6%
Southwest Chief,Long Distance,14.6,37.2,(22.6),13.2,106,148.5,86.1,75.6,61%,75.2%
City of New Orleans,Long Distance,6.2,13.8,(7.5),5.9,79,59.4,32.2,69.8,55%,56.5%
Texas Eagle,Long Distance,8.7,20.5,(11.8),7.9,112,86.0,51.9,71.9,53%,54.5%
Sunset Limited,Long Distance,3.9,16.5,(12.5),3.4,30,51.7,22.0,79.1,45%,58.5%
Coast Starlight,Long Distance,14.8,32.0,(17.2),13.3,138,116.8,64.5,71.6,57%,57.7%
Lake Shore Limited,Long Distance,10.3,24.4,(14.1),9.6,121,108.6,52.4,63.4,52%,40.3%
Palmetto,Long Distance,10.1,12.6,(2.5),9.6,127,73.4,31.4,73.9,43%,52.3%
Crescent,Long Distance,11.3,24.9,(13.6),10.6,94,96.5,42.5,62.0,47%,24.0%
Auto Train,Long Distance,24.7,30.8,(6.1),24.6,75,114.5,64.2,78.0,61%,73.6%
Long Distance Adjustments,Long Distance,(3.3),0.6,(3.9),N/A,N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,170.6,374.4,(203.8),161.4,"1,497","1,493.8",786.6,71.7,55%,53.4%
Ancillary,Amtrak,107.4,104.7,2.8,,,,,,,
Infrastructure,Amtrak,71.0,106.0,(35.0),,,,,,,
Amtrak,Amtrak,"1,040.8","1,179.1",(138.4),769.7,"10,578","4,270.7","2,092.3",77.8,49%,75.8%
