Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Average
Load Factor",
Acela,NEC,13.4,68.4,-55,103.6,136.8,21.1,15%,1
Regional,NEC,39.8,129.8,-90,627.4,481.2,102.0,21%,1
NEC Special Trains & Adjustments,NEC,2.1,2.7,-0.6,0.6,1.6,0.1,N/A,
NEC,NEC,55.3,200.9,-145.5,731.6,619.6,123.2,20%,1
Ethan Allen Express,State Supported,0.4,0.3,0.1,0.0,0.0,0.0,0%,1
Vermonter,State Supported,0.1,(0.1),0.2,0.0,0.8,0.0,0%,1
Maple Leaf,State Supported,8.5,8.1,0.4,55.5,52.0,15.7,30%,1
The Downeaster,State Supported,4.7,4.6,0.1,25.5,42.6,2.1,5%,1
New Haven - Springfield,State Supported,6.5,8.3,-1.8,42.6,20.4,2.4,11%,1
Keystone Service,State Supported,14.8,21.4,-6.6,83.8,89.4,7.1,8%,1
Empire Service,State Supported,16.4,18.2,-1.8,123.1,94.3,14.4,15%,1
Chicago-St.Louis,State Supported,6.8,8.6,-1.8,56.7,41.9,10.0,24%,1
Hiawathas,State Supported,5.2,5.7,-0.5,31.9,15.6,2.6,17%,1
Wolverines,State Supported,4.7,5.2,-0.4,26.0,26.1,5.9,23%,1
Illini,State Supported,3.8,1.6,2.3,34.7,32.6,5.4,17%,1
Illinois Zephyr,State Supported,2.7,3.1,-0.5,16.3,14.7,2.8,19%,1
Heartland Flyer,State Supported,2.2,2.6,-0.5,9.4,8.1,1.7,21%,1
Pacific Surfliner,State Supported,24.9,29.1,-4.2,145.5,144.2,14.0,10%,1
Cascades,State Supported,5.8,7.6,-1.8,26.9,16.5,4.2,25%,1
Capitols,State Supported,12.7,13.8,-1.2,75.5,57.2,5.3,9%,1
San Joaquins,State Supported,19.1,21.8,-2.6,105.2,131.6,14.9,11%,1
Adirondack,State Supported,0.7,0.1,0.7,0.0,0.0,0.0,0%,0
Blue Water,State Supported,4.9,5.6,-0.7,17.7,27.2,3.2,12%,1
Washington-Lynchburg,State Supported,3.7,3.8,0,23.5,24.9,5.8,25%,1
Washington - Newport News,State Supported,2.6,6.0,-3.3,41.2,31.5,9.5,25%,1
Washington - Norfolk,State Supported,5.7,4.9,0.8,28.7,35.8,7.0,18%,1
Washington - Richmond,State Supported,4.1,0.0,4.1,0.1,0.0,0.0,0%,1
Hoosier State,State Supported,-,0.0,0,0.0,0.0,0.0,0%,0
Kansas City-St.Louis,State Supported,3.1,3.2,-0.1,16.2,23.2,3.1,13%,1
Pennsylvanian,State Supported,6.0,5.4,0.7,28.7,26.1,6.5,25%,1
Pere Marquette,State Supported,2.4,2.7,-0.3,8.6,9.5,1.3,14%,1
Carolinian,State Supported,6.9,7.4,-0.5,44.9,39.9,13.3,33%,1
Piedmont,State Supported,1.5,1.8,-0.3,14.2,10.2,1.6,16%,1
Non Nec Special Trains & Adjustments,State Supported,0.0,3.3,-3.3,0.0,0.9,0.0,N/A,
State Supported,State Supported,181.0,204.1,-23,"1,082.5","1,017.1",160.0,16%,1
"
Silver Star",Long Distance,4.7,15.0,-10.3,42.7,62.4,20.5,33%,1
Cardinal,Long Distance,1.6,7.8,-6.2,17.1,25.2,7.2,28%,1
Silver Meteor,Long Distance,5.6,16.8,-11.3,45.2,72.9,23.2,32%,1
Empire Builder,Long Distance,5.9,23.5,-17.6,44.8,101.2,29.8,30%,1
Capitol Limited,Long Distance,1.6,6.8,-5.2,16.2,17.4,6.7,39%,1
California Zephyr,Long Distance,5.3,21.1,-15.8,33.0,68.0,24.1,36%,1
Southwest Chief,Long Distance,5.0,22.2,-17.2,28.2,80.5,26.3,33%,1
City of New Orleans,Long Distance,1.7,7.7,-5.9,18.3,25.3,7.6,30%,1
Texas Eagle,Long Distance,3.2,10.2,-7,30.7,30.3,16.9,56%,1
Sunset Limited,Long Distance,1.9,15.4,-13.5,13.8,53.0,9.7,18%,0
Coast Starlight,Long Distance,4.6,18.9,-14.3,39.6,59.2,18.7,32%,1
Lake Shore Limited,Long Distance,3.2,12.4,-9.2,36.9,45.6,15.2,33%,1
Palmetto,Long Distance,2.2,7.6,-5.4,25.3,25.2,7.2,28%,1
Crescent,Long Distance,3.0,11.9,-9,22.6,32.8,10.8,33%,0
Auto Train,Long Distance,21.4,26.7,-5.2,48.3,101.9,41.3,41%,1
Long Distance Adjustments,Long Distance,(0.0),0.3,-0.3,N/A,N/A,N/A,N/A,
Long Distance,Long Distance,70.7,224.2,-153.5,462.8,801.1,265.3,33%,1
Ancillary,Amtrak,108.4,108.5,-0.2,,,,,
Infrastructure,Amtrak,81.3,125.3,-44,,,,,
Amtrak,Amtrak,496.7,862.9,-366.2,"2,276.8","2,437.7",548.4,22%,1
