Route,Type,"Operating
Revenue","Frequency
Variable Costs","Route
Variable costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
Acela,NEC,415.4,87.1,169.2,66.8,323.1,92.2,412.4,"2,420.10",741.5,474.8,2.4,"6,222.00"
Regional,NEC,657.6,167.2,245.8,137.8,550.9,106.7,641.3,"7,318.40","2,038.20","1,306.70",4.3,"11,200.50"
NEC Special Trains & Adjustments,NEC,6.2,0.4,2.5,9,11.9,-5.6,1.8,0,5,0,0,361
NEC,NEC,"1,079.20",254.7,417.5,213.6,885.9,193.3,"1,055.60","9,738.50","2,784.70","1,781.60",6.8,"17,783.50"
Ethan Allen Express,State Supported,6.1,4,1.9,1.1,7,-0.9,2.1,71.1,34.6,6.4,0.1,325.6
Vermonter,State Supported,7.9,4.9,3.1,2,10,-2.1,2.7,85.6,41,9.1,0.1,218.2
Maple Leaf,State Supported,32.3,18.8,11.7,5,35.5,-3.2,16.3,361.8,200.4,69.9,0.6,"1,276.30"
The Downeaster,State Supported,15.3,8.6,5.2,3.4,17.2,-1.9,8.6,425.2,120.3,36.4,0.4,"2,985.00"
Berkshire Flyer,State Supported,0.1,0,0.1,0.1,0.2,-0.1,0,0.7,0.6,0,0,25.3
New Haven - Springfield,State Supported,18.6,11.4,13.7,5.5,30.6,-12,6.9,351,73.9,19.9,0.4,"4,701.70"
Keystone Service,State Supported,29.5,13.7,51.5,17.7,82.9,-53.4,21.6,912.1,248.7,57.9,0.7,"4,232.30"
Empire Service,State Supported,53.9,23,33,14.7,70.8,-16.9,64.6,"1,015.90",269.8,164.7,0.9,"4,375.10"
Great River Service,State Supported,0.1,0,0,0,0.1,0,-,0,0,0,0,0
Chicago-St.Louis,State Supported,21.9,17.1,14.8,4.3,36.1,-14.2,14.9,422.6,185.8,84.9,0.7,"1,982.70"
Hiawathas,State Supported,16.1,11.6,11,2.7,25.3,-9.2,12.7,514.2,84.7,41.4,0.3,"4,064.00"
Wolverines,State Supported,34.8,13.8,19,5.6,38.4,-3.5,17.6,347.5,148.9,76.2,0.5,"1,719.00"
Illini,State Supported,10.4,10.2,7.8,2.5,20.5,-10.1,6.5,220.1,132.8,36.1,0.3,"1,058.00"
ILLINOIS Zephyr,State Supported,6.5,7.4,5.5,1.7,14.6,-8.1,3.2,92.2,39,15.2,0.3,"1,063.00"
Heartland Flyer,State Supported,5.8,3.1,2.8,1.6,7.5,-1.7,1.7,60.7,23.4,10.9,0.1,606
Pacific Surfliner,State Supported,91.2,54.9,31.6,18.7,105.2,-14.1,34.6,"1,177.00",383,86.7,0.8,"7,101.00"
Cascades,State Supported,45.5,25.3,14.8,9.6,49.6,-4.1,23.6,519.8,124.9,79.4,0.7,"2,668.20"
Capitols,State Supported,49.6,30.5,15.4,9.8,55.7,-6.1,17.9,744.8,223.2,56.1,0.8,"7,073.00"
San Joaquins,State Supported,73.4,49.7,21.9,12.3,84,-10.5,22.8,704,421,102.9,1.1,"3,638.00"
Adirondack,State Supported,4.9,3.8,0.1,0.7,4.6,0.3,1,16.7,8.4,2.9,0,107.8
Blue Water,State Supported,13.9,5.8,7.2,1.8,14.9,-0.9,5.2,136.4,64.6,26.3,0.2,585
Washington-Roanoke,State Supported,12.4,8.1,5.6,2.7,16.4,-4,10.4,263.4,107.3,36.1,0.3,494.6
Washington - Newport News,State Supported,12.7,9,7.2,2.8,18.9,-6.3,11.3,285.1,91.3,33.7,0.2,445.9
Washington - Norfolk,State Supported,17.2,11.6,9.4,4.8,25.9,-8.7,14.7,384.4,183.1,50.6,0.4,689.8
Washington - Richmond,State Supported,5.5,3.2,2.5,1.1,6.8,-1.4,2.8,108.6,33.9,9.1,0.1,121.8
Hoosier State,State Supported,0.9,0,0,0,0,0.9,-,0,0,0,0,0
Kansas City-St.Louis,State Supported,14.8,7.5,5.1,1.6,14.3,0.5,4.5,123.2,77,23,0.3,784.3
Pennsylvanian,State Supported,13.8,7.3,7,3.4,17.7,-3.9,9.5,160.8,64.4,34.5,0.2,482.6
Gulf Coast Limited,State Supported,0.4,0.6,0.5,5.3,6.4,-5.9,0.4,0,0.5,0,0,172
Pere Marquette,State Supported,6.7,3.1,3,1,7.2,-0.5,2.8,70.6,16.5,10.7,0.1,598
Carolinian,State Supported,17.1,11.3,5.2,2.7,19.2,-2.1,13.6,261.6,100.7,58.5,0.3,411.5
Piedmont,State Supported,8.4,6.3,1.7,1.6,9.6,-1.2,4.6,236.3,58.1,27.1,0.3,"1,853.00"
Non Nec Special Trains & Adjustments,State Supported,0.5,1.6,4,5.7,11.4,-10.9,0.4,0.1,5.5,0,0.1,782
State Supported,State Supported,648.2,387.3,323.5,153.6,864.4,-216.2,359.4,"10,073.40","3,567.20","1,266.70",11.4,"56,640.80"
Silver Star,Long Distance,33.7,39.8,26.3,11.3,77.5,-43.8,32.5,295.3,215.8,127.9,0.9,603
Cardinal,Long Distance,7.4,12.4,5.7,5.2,23.2,-15.8,7.1,69.3,46.6,26.8,0.3,254
Silver Meteor,Long Distance,33.7,29.7,22.8,10.3,62.9,-29.1,33.3,233.5,212.3,125.6,0.8,570
Empire Builder,Long Distance,46.2,60.6,17.9,16.3,94.8,-48.6,44.8,280.3,404,199,1.4,"1,088.00"
Capitol Limited,Long Distance,14.6,16.8,11.3,8,36.1,-21.4,14.9,107.8,72.3,45.7,0.5,584
California Zephyr,Long Distance,47.9,63.1,23.6,22.5,109.1,-61.3,45.7,275.5,325.2,182.2,1.4,664
Southwest Chief,Long Distance,35.8,56.4,29.5,16.1,102,-66.2,34.9,211.3,304.3,186,1.3,595
City of New Orleans,Long Distance,17.1,21.1,11,7,39.2,-22.1,16.5,193.6,150.3,80,0.6,600
Texas Eagle,Long Distance,22,31.4,13.9,7.7,53,-31,20.9,244,150.6,116.2,0.8,603
Sunset Limited,Long Distance,10.4,26.4,12.1,8.4,46.9,-36.5,9.5,67.1,116,51,0.5,258
Coast Starlight,Long Distance,36.4,43.3,19.1,13.1,75.4,-39.1,34.5,279.2,187,121.7,0.8,592
Lake Shore Limited,Long Distance,29.8,30.3,22.5,10.4,63.2,-33.4,29.5,287.6,199.9,119.7,0.7,"1,133.00"
Palmetto,Long Distance,23.3,16.4,12.9,6.5,35.9,-12.5,22.3,261.4,140.3,67.8,0.5,608
Crescent,Long Distance,31.1,29.6,25.7,10.8,66,-34.9,30.3,228.1,201.3,96.9,0.8,606
Auto Train,Long Distance,105.4,45.5,30.7,11.7,88,17.4,107.9,243,309,134,0.5,592
Long Distance Adjustments,Long Distance,0,0.1,1.8,1.4,3.2,-3.2,N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,494.8,522.9,287,166.6,976.4,-481.7,484.5,"3,277.00","3,034.80","1,680.50",11.7,"9,350.00"
Ancillary,Amtrak,339.5,55.9,184.8,83,323.7,15.8,,,,,,
Infrastructure,Amtrak,226.2,57,211.7,70.7,339.4,-113.1,,,,,,
Amtrak,Amtrak,"2,788.00","1,277.90","1,424.40",687.5,"3,389.80",-601.8,"1,899.50","23,088.90","9,386.60","4,728.80",29.9,"83,774.30"
