Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)",Average Load Factor,OTP,"Train Miles
(in Millions)",Frequencies
Acela,NEC,243,255.7,-12.7,"1,480.30",499.9,295.3,52%,80.30%,1.6,"4,133.00"
Regional,NEC,419.8,432.3,-12.5,"4,904.50","1,465.00",875.2,57%,81.70%,3.4,"9,229.30"
NEC Special Trains & Adjustments,NEC,5,8.6,-3.6,0,3.9,0,N/A,N/A,0,316
NEC,NEC,667.8,696.5,-28.8,"6,384.80","1,968.80","1,170.60",55%,81.40%,5,"13,678.30"
Ethan Allen Express,State Supported,2.4,4.9,-2.4,35.7,16.8,1.9,11%,92.10%,0.1,226
Vermonter,State Supported,6.9,7.8,-0.9,60.2,39.2,6.7,17%,91.30%,0.1,214.6
Maple Leaf,State Supported,25,29.7,-4.7,275,175.3,52.2,29%,90.10%,0.5,"1,131.10"
The Downeaster,State Supported,13,14.9,-1.9,295.3,115.4,25.9,22%,76.50%,0.4,"2,696.00"
New Haven - Springfield,State Supported,15.5,26.2,-10.7,240.2,72.4,13.6,21%,90.70%,0.3,"4,262.70"
Keystone Service,State Supported,23.1,57.9,-34.7,567.5,176.9,38.2,21%,91.40%,0.5,"3,159.50"
Empire Service,State Supported,41.4,60.2,-18.8,731.6,217.2,118.7,52%,92.40%,0.7,"3,347.90"
Chicago-St.Louis,State Supported,28.6,30.7,-2,339.4,173.8,64.9,39%,79.00%,0.6,"2,122.80"
Hiawathas,State Supported,15.8,18.8,-3,337.6,62.4,27.2,37%,91.90%,0.3,"3,499.00"
Wolverines,State Supported,25.7,33.3,-7.6,258.3,121.5,56.9,42%,62.40%,0.5,"1,624.00"
Illini,State Supported,14.8,11.9,3,172.5,103.7,28.2,28%,72.70%,0.2,758
ILLINOIS Zephyr,State Supported,13.7,12.8,0.8,100.1,54.7,16.4,29%,84.60%,0.3,"1,086.00"
Heartland Flyer,State Supported,5.4,6.2,-0.8,44.9,20.9,8.2,37%,65.10%,0.1,539
Pacific Surfliner,State Supported,71.6,86.5,-14.9,"1,110.10",483.2,110,21%,81.50%,1.2,"5,571.00"
Cascades,State Supported,27.7,32.5,-4.8,269.3,89.4,41.9,41%,57.80%,0.4,"1,621.70"
Capitols,State Supported,37.4,42.7,-5.4,474.9,185,35.6,17%,83.00%,0.7,"5,666.00"
San Joaquins,State Supported,59.3,67.7,-8.3,508.1,389.2,74.2,18%,76.80%,1,"3,237.00"
Adirondack,State Supported,1.4,1.5,0,0,0,0,0%,0.00%,0,0
Blue Water,State Supported,10.2,12.1,-1.9,98.7,56.8,19.2,32%,63.80%,0.2,544
Washington-Lynchburg,State Supported,7.2,8.7,-1.5,145.7,58.3,20.4,34%,61.20%,0.1,200.7
Washington - Newport News,State Supported,8.6,12,-3.5,158.1,58.9,19.7,28%,71.00%,0.1,237.7
Washington - Norfolk,State Supported,11,15.4,-4.5,187.1,100.7,25.3,22%,71.00%,0.2,360.1
