Route,Type,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Gross Ticket Revenue,Ridership (in Thousands),Seat Miles (in Millions),Passenger Miles (in Millions),eCSI,Average Load Factor,OTP
Acela,NEC,303.9,149.1,154.8,295.5,"1,647.1",514.6,310.8,73.5,60%,83.1%
Regional,NEC,339.4,233.0,106.5,324.4,"4,232.4","1,222.6",648.5,76.9,55%,82.0%
NEC Special Trains & Adjustments,NEC,2.2,6.9,(4.7),0.8,6.5,3.2,0.8,N/A,N/A,N/A
NEC,NEC,645.6,389.0,256.6,620.7,"5,886.1","1,740.4",960.1,76.0,56%,82.4%
Ethan Allen Express,State Supported,2.1,2.5,(0.4),1.5,24.5,11.7,4.7,83.7,38%,86.3%
Vermonter,State Supported,5.7,5.1,0.6,3.3,48.7,26.1,12.5,74.3,48%,67.7%
Maple Leaf,State Supported,14.8,16.8,(2.1),11.1,174.4,113.6,50.9,79.7,40%,80.8%
The Downeaster,State Supported,9.3,8.3,1.0,4.6,246.3,70.2,20.0,87.9,30%,68.7%
New Haven - Springfield,State Supported,8.6,10.7,(2.1),4.8,127.2,29.2,11.0,76.8,N/A,N/A
Keystone Service,State Supported,25.7,28.4,(2.7),23.0,752.6,148.0,66.2,84.4,38%,86.6%
Empire Service,State Supported,23.8,34.5,(10.7),26.2,572.6,181.4,68.9,80.6,46%,81.3%
Chicago-St.Louis,State Supported,15.7,16.8,(1.1),7.8,274.3,121.8,49.7,81.5,42%,66.0%
Hiawathas,State Supported,10.8,11.0,(0.1),9.0,395.2,87.3,31.7,89.5,36%,93.7%
Wolverines,State Supported,14.8,17.5,(2.6),10.7,234.9,93.5,49.4,75.3,54%,67.8%
Illini,State Supported,8.6,8.9,(0.2),3.5,124.4,57.5,21.9,66.2,38%,19.1%
Illinois Zephyr,State Supported,7.8,7.5,0.3,2.6,92.7,42.8,15.3,88.1,37%,89.3%
Heartland Flyer,State Supported,3.4,3.6,(0.2),0.9,33.3,12.4,5.9,88.8,46%,59.7%
Pacific Surfliner,State Supported,52.7,63.1,(10.4),37.6,"1,415.7",391.8,118.7,76.9,28%,75.5%
Cascades,State Supported,29.4,32.0,(2.7),14.8,354.0,110.5,54.8,83.4,49%,56.5%
Capitols,State Supported,30.0,34.4,(4.5),16.4,827.9,181.8,55.4,84.8,32%,89.4%
San Joaquins,State Supported,40.1,46.9,(6.7),17.0,532.0,212.8,73.4,82.3,32%,81.1%
Adirondack,State Supported,6.3,6.9,(0.6),3.1,51.0,22.9,14.7,74.8,47%,76.1%
Blue Water,State Supported,5.6,6.8,(1.2),3.1,88.7,41.3,17.1,80.3,42%,67.8%
Washington-Lynchburg,State Supported,7.2,4.5,2.7,7.0,100.7,30.3,23.0,84.6,N/A,80.7%
Washington - Newport News,State Supported,12.0,9.4,2.6,10.6,156.0,57.0,32.7,74.3,N/A,78.2%
Washington - Norfolk,State Supported,5.6,4.6,1.1,4.4,72.6,36.5,13.7,86.3,N/A,78.2%
Washington - Richmond,State Supported,5.8,4.7,1.1,4.5,80.8,33.1,12.1,81.6,N/A,78.2%
Hoosier State,State Supported,1.8,2.9,(1.1),0.5,13.6,6.1,2.1,77.5,37%,63.9%
Kansas City-St.Louis,State Supported,7.3,7.3,(0.1),2.6,80.1,54.5,15.1,88.3,29%,85.6%
Pennsylvanian,State Supported,7.3,8.4,(1.0),5.9,103.8,39.9,24.0,84.4,51%,80.1%
Pere Marquette,State Supported,2.8,3.6,(0.8),1.5,44.9,13.8,6.8,88.4,48%,76.1%
