Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Average
Load Factor",OTP
Acela,NEC,21.4,116.6,-95.2,166.0,200.9,33.7,17%,88.9%
Regional,NEC,62.3,197.8,-135.5,979.2,710.9,157.5,22%,90.6%
NEC Special Trains & Adjustments,NEC,3.8,5.1,-1.4,0.7,3.2,0.1,N/A,N/A
NEC,NEC,87.4,319.5,-232.1,"1,145.9",915.1,191.3,21%,90.4%
Ethan Allen Express,State Supported,0.6,0.4,0.2,0.0,0.0,0.0,0%,92.5%
Vermonter,State Supported,0.1,(0.2),0.2,0.0,0.8,0.0,0%,95.4%
Maple Leaf,State Supported,12.5,12.3,0.2,85.4,75.6,24.1,32%,85.8%
The Downeaster,State Supported,7.3,7.1,0.3,39.8,63.2,3.2,5%,76.4%
New Haven - Springfield,State Supported,9.9,13.4,-3.5,65.1,31.3,3.6,11%,94.0%
Keystone Service,State Supported,20.0,31.7,-11.7,127.6,117.6,11.1,9%,96.2%
Empire Service,State Supported,24.0,29.2,-5.2,188.0,138.4,22.0,16%,92.9%
Chicago-St.Louis,State Supported,10.2,13.7,-3.5,88.7,60.9,15.8,26%,82.1%
Hiawathas,State Supported,7.6,9.1,-1.5,52.3,21.3,4.3,20%,94.7%
Wolverines,State Supported,7.2,8.7,-1.5,41.8,38.4,9.5,25%,60.7%
Illini,State Supported,6.2,3.3,2.9,55.7,47.6,8.7,18%,83.4%
Illinois Zephyr,State Supported,4.4,5.1,-0.7,26.0,21.3,4.4,21%,90.7%
Heartland Flyer,State Supported,3.2,4.1,-0.9,14.0,11.1,2.5,22%,83.5%
Pacific Surfliner,State Supported,36.8,44.0,-7.2,230.8,211.5,21.8,10%,88.3%
Cascades,State Supported,8.7,12.1,-3.4,41.4,22.8,6.4,28%,61.6%
Capitols,State Supported,18.7,21.2,-2.5,116.2,84.7,8.2,10%,90.9%
San Joaquins,State Supported,28.5,32.3,-3.8,161.3,193.6,22.8,12%,84.7%
Adirondack,State Supported,1.1,0.3,0.7,0.0,0.0,0.0,0%,0.0%
Blue Water,State Supported,7.3,9.1,-1.8,28.8,39.9,5.3,13%,77.5%
Washington-Lynchburg,State Supported,5.3,5.5,-0.2,35.0,35.4,8.5,24%,89.8%
Washington - Newport News,State Supported,4.0,9.4,-5.3,62.2,46.1,14.4,25%,89.2%
Washington - Norfolk,State Supported,8.3,7.8,0.5,42.9,53.4,10.5,18%,89.2%
Washington - Richmond,State Supported,6.1,0.1,6.1,0.1,0.0,0.0,0%,89.2%
Hoosier State,State Supported,-,0.0,0,0.0,0.0,0.0,0%,0.0%
Kansas City-St.Louis,State Supported,4.7,5.3,-0.6,25.1,33.3,4.9,15%,83.4%
Pennsylvanian,State Supported,8.4,8.4,0,43.7,38.5,9.8,25%,76.3%
Pere Marquette,State Supported,3.5,4.2,-0.7,13.8,13.9,2.1,15%,85.6%
Carolinian,State Supported,9.9,11.1,-1.3,67.4,58.2,19.7,34%,82.7%
Piedmont,State Supported,2.5,2.9,-0.3,25.4,14.8,2.8,19%,79.0%
Non Nec Special Trains & Adjustments,State Supported,0.0,5.6,-5.5,0.0,1.9,0.0,N/A,N/A
State Supported,State Supported,267.2,317.1,-49.9,"1,678.9","1,475.6",246.6,17%,85.1%
"
Silver Star",Long Distance,7.4,23.8,-16.4,66.2,94.4,31.9,34%,46.6%
Cardinal,Long Distance,2.4,12.2,-9.8,25.7,37.1,10.7,29%,57.6%
Silver Meteor,Long Distance,9.0,26.8,-17.8,72.4,115.7,37.8,33%,60.7%
Empire Builder,Long Distance,8.8,35.4,-26.6,65.1,141.2,42.9,31%,61.6%
Capitol Limited,Long Distance,2.5,10.6,-8.1,23.3,24.7,9.6,39%,47.6%
California Zephyr,Long Distance,8.4,33.7,-25.3,51.1,108.1,36.1,34%,62.3%
Southwest Chief,Long Distance,7.4,32.6,-25.2,40.7,111.3,37.7,34%,47.9%
City of New Orleans,Long Distance,2.8,11.8,-9,28.7,36.8,11.8,32%,80.9%
Texas Eagle,Long Distance,4.6,15.2,-10.6,43.4,42.0,23.6,56%,63.1%
Sunset Limited,Long Distance,2.8,23.3,-20.4,20.7,75.0,14.3,19%,35.6%
Coast Starlight,Long Distance,6.9,28.6,-21.7,57.7,85.0,27.2,32%,65.9%
Lake Shore Limited,Long Distance,4.6,18.4,-13.8,53.6,65.6,21.7,33%,60.4%
Palmetto,Long Distance,2.9,10.7,-7.8,33.7,32.1,9.4,29%,83.7%
Crescent,Long Distance,4.5,18.3,-13.7,34.1,48.8,16.3,33%,41.9%
Auto Train,Long Distance,33.2,42.4,-9.2,74.8,151.3,63.9,43%,65.0%
Long Distance Adjustments,Long Distance,(0.0),0.7,-0.7,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,108.3,344.3,-236,691.1,"1,169.1",394.8,34%,59.4%
Ancillary,Amtrak,155.7,152.9,2.7,,,,,
Infrastructure,Amtrak,121.7,194.7,-73,,,,,
Amtrak,Amtrak,740.3,"1,328.6",-588.3,"3,515.9","3,559.8",832.7,23%,82.0%
