Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Average
Load Factor",
Acela,NEC,302.5,192.9,109.6,"1,576.3",509.9,299.6,59%,1
Regional,NEC,328.6,293.7,34.8,"4,002.2","1,335.4",613.8,46%,1
NEC Special Trains & Adjustments,NEC,4.2,6.0,(1.8),3.2,6.7,0.5,N/A,
NEC,NEC,635.3,492.6,142.7,"5,581.6","1,852.0",913.9,49%,1
Ethan Allen Express,State Supported,3.1,2.9,0.2,23.3,11.4,4.4,39%,1
Vermonter,State Supported,6.2,5.7,0.4,46.9,25.3,12.1,46%,1
Maple Leaf,State Supported,21.9,21.4,0.5,182.0,123.0,53.0,38%,1
The Downeaster,State Supported,9.7,9.5,0.2,248.0,74.9,20.0,29%,1
New Haven - Springfield,State Supported,13.3,15.8,(2.5),231.4,29.5,14.0,0%,1
Keystone Service,State Supported,32.3,35.9,(3.7),717.2,140.0,63.2,40%,1
Empire Service,State Supported,37.1,39.5,(2.4),555.2,193.7,66.6,43%,1
Chicago-St.Louis,State Supported,19.7,21.5,(1.8),288.4,143.7,53.4,39%,1
Hiawathas,State Supported,12.3,13.0,(0.7),373.1,84.3,30.0,35%,1
Wolverines,State Supported,20.1,19.4,0.8,215.4,109.4,47.3,45%,0
Illini,State Supported,11.6,11.0,0.5,133.8,79.3,22.5,29%,1
Illinois Zephyr,State Supported,8.9,9.3,(0.4),87.4,48.7,14.4,31%,1
Heartland Flyer,State Supported,4.2,4.3,(0.1),32.8,16.7,5.8,35%,1
Pacific Surfliner,State Supported,77.5,84.2,(6.7),"1,251.6",448.6,108.1,23%,1
Cascades,State Supported,35.8,35.0,0.9,318.6,113.1,49.3,45%,1
Capitols,State Supported,36.9,40.8,(3.8),824.9,226.6,55.0,25%,1
San Joaquins,State Supported,53.9,60.3,(6.5),500.0,305.9,67.3,21%,1
Adirondack,State Supported,6.9,6.5,0.4,44.2,20.1,12.7,47%,1
Blue Water,State Supported,8.0,8.4,(0.5),77.1,53.8,15.1,28%,1
Washington-Lynchburg,State Supported,8.7,6.7,2.0,106.0,58.5,24.3,0%,1
Washington - Newport News,State Supported,11.5,12.1,(0.6),154.9,75.2,29.4,0%,1
Washington - Norfolk,State Supported,12.6,11.2,1.4,126.7,90.1,30.3,0%,1
Washington - Richmond,State Supported,6.3,3.7,2.6,50.3,24.0,7.8,0%,1
Hoosier State,State Supported,(6.5),0.0,(6.5),0.0,0.0,0.0,0%,0
Kansas City-St.Louis,State Supported,8.6,8.5,0.1,70.3,38.1,13.5,34%,1
Pennsylvanian,State Supported,10.6,8.3,2.2,94.3,38.9,21.5,49%,1
Pere Marquette,State Supported,3.7,3.2,0.5,38.8,13.4,5.9,44%,1
Carolinian,State Supported,12.1,10.0,2.2,108.9,60.5,28.4,39%,1
Piedmont,State Supported,5.4,5.5,(0.1),109.1,38.9,12.5,36%,1
Non Nec Special Trains & Adjustments,State Supported,1.4,5.1,(3.8),15.8,2.0,0.5,N/A,
State Supported,State Supported,493.6,518.8,(25.2),"7,026.5","2,687.6",888.5,33%,1
"
Silver Star",Long Distance,17.4,44.5,(27.1),174.8,166.3,77.0,51%,1
Cardinal,Long Distance,4.2,17.5,(13.4),48.0,48.2,16.6,41%,1
Silver Meteor,Long Distance,20.1,46.4,(26.3),157.3,184.8,85.9,53%,1
Empire Builder,Long Distance,21.5,68.7,(47.2),181.5,335.1,109.3,37%,1
Capitol Limited,Long Distance,8.2,27.8,(19.7),89.9,77.4,38.5,53%,0
California Zephyr,Long Distance,23.3,70.1,(46.8),190.9,291.8,110.5,41%,1
Southwest Chief,Long Distance,20.0,65.3,(45.3),142.1,247.5,112.0,49%,1
City of New Orleans,Long Distance,8.9,26.7,(17.9),103.4,113.1,42.0,39%,1
Texas Eagle,Long Distance,12.2,33.8,(21.6),144.3,137.8,65.4,36%,0
Sunset Limited,Long Distance,5.7,28.2,(22.5),42.2,101.9,31.1,36%,0
Coast Starlight,Long Distance,20.5,53.3,(32.9),190.3,198.4,87.0,48%,1
Lake Shore Limited,Long Distance,14.2,39.0,(24.8),165.1,168.9,68.8,48%,1
Palmetto,Long Distance,13.1,23.2,(10.1),152.1,105.3,37.3,35%,1
Crescent,Long Distance,15.2,41.8,(26.6),126.2,148.6,54.8,40%,0
Auto Train,Long Distance,44.3,56.8,(12.5),121.4,226.6,103.8,51%,1
Long Distance Adjustments,Long Distance,0.0,0.8,(0.8),N/A,N/A,N/A,N/A,
Long Distance,Long Distance,248.6,644.0,(395.4),"2,029.5","2,551.7","1,040.1",44%,1
Ancillary,Amtrak,227.8,204.8,23.0,,,,,
Infrastructure,Amtrak,162.9,222.1,(59.2),,,,,
Amtrak,Amtrak,"1,768.2","2,082.3",(314.1),"14,637.6","7,091.4","2,842.5",41%,1
