Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
Acela,NEC,199.5,219.6,-20.1,"1,250.20",431.7,249.4,1.4,"3,547.00"
Regional,NEC,355.7,375,-19.4,"4,212.80","1,294.70",751.8,3,"8,138.30"
NEC Special Trains & Adjustments,NEC,4.3,7.3,-3,0,3.1,0,0,266
NEC,NEC,559.5,602,-42.5,"5,463.10","1,729.50","1,001.20",4.4,"11,951.30"
Ethan Allen Express,State Supported,1.9,4.1,-2.2,30.6,14.9,1.7,0,200.9
Vermonter,State Supported,6,6.5,-0.5,52.1,34.8,5.8,0.1,190.5
Maple Leaf,State Supported,22,25.9,-3.9,240.4,156.1,45.4,0.5,"1,006.00"
The Downeaster,State Supported,11.6,12.8,-1.2,252.8,102.5,22.2,0.3,"2,396.00"
New Haven - Springfield,State Supported,13.6,22.5,-8.9,207.2,65.1,11.8,0.3,"3,762.80"
Keystone Service,State Supported,20.4,49.9,-29.5,487.7,153,33,0.4,"2,740.90"
Empire Service,State Supported,35.9,49.5,-13.6,635.8,192.7,103.3,0.6,"2,967.20"
Chicago-St.Louis,State Supported,25.1,26.9,-1.8,293,154.5,55.1,0.5,"1,912.00"
Hiawathas,State Supported,13.7,16.3,-2.6,286.2,55.1,23.1,0.3,"3,087.00"
Wolverines,State Supported,22.2,27.8,-5.6,221.7,106.3,48.8,0.4,"1,444.00"
Illini,State Supported,13.5,10.6,3,155.4,96.2,25.2,0.2,698
ILLINOIS Zephyr,State Supported,12.1,11.2,0.9,87.5,49.9,14.4,0.2,967
Heartland Flyer,State Supported,4.9,5.4,-0.6,37.8,18.2,6.9,0.1,479
Pacific Surfliner,State Supported,63.2,76.8,-13.6,955.8,431.9,94.6,1,"4,944.00"
Cascades,State Supported,24.8,28.6,-3.8,230.4,79.5,35.8,0.4,"1,441.70"
Capitols,State Supported,33.4,37.7,-4.3,410.8,164.7,30.9,0.6,"5,040.00"
San Joaquins,State Supported,52.8,59.5,-6.7,439.5,346.4,64,0.9,"2,878.00"
Adirondack,State Supported,1.3,1.3,-0.1,0,0,0,0,0
Blue Water,State Supported,9,10.4,-1.4,85.2,51.3,16.5,0.2,484
Washington-Lynchburg,State Supported,6.1,7.6,-1.5,124.1,51.4,17.5,0.1,178.6
Washington - Newport News,State Supported,7.7,10.7,-3,139.1,53.5,17.4,0.1,217.1
Washington - Norfolk,State Supported,10,13.1,-3.1,154,88.4,20.8,0.2,320.2
Washington - Richmond,State Supported,6.3,4.6,1.7,45.8,25.7,3.9,0.1,114
Hoosier State,State Supported,-,-,-,0,0,0,0,0
Kansas City-St.Louis,State Supported,8.4,7.4,1,69.8,38.6,13.5,0.2,641
Pennsylvanian,State Supported,9.6,13.6,-4,109.1,50.7,23,0.2,384.2
Gulf Coast Limited,State Supported,-,0,0,0,0,0,0,0
Pere Marquette,State Supported,4.8,6.9,-2.1,49.2,17.5,7.5,0.1,481
Carolinian,State Supported,13,14,-1.1,161.9,82.6,34.3,0.2,327
Piedmont,State Supported,5.9,5.9,0.1,131.4,40.7,15.5,0.2,"1,426.00"
Non Nec Special Trains & Adjustments,State Supported,0.9,12,-11.1,0,3.3,0,0.1,604
State Supported,State Supported,459.9,579.4,-119.5,"6,094.30","2,725.60",791.9,8.6,"41,331.90"
Silver Star,Long Distance,31.3,70.1,-38.9,262.9,237.2,127.4,0.7,483
Cardinal,Long Distance,4.9,17.3,-12.4,51.9,35.4,17.9,0.2,202
Silver Meteor,Long Distance,11.1,22.7,-11.6,79.2,76,41.8,0.3,214
Empire Builder,Long Distance,24.1,69,-44.9,169.6,256.3,111.6,1,784
Capitol Limited,Long Distance,10,25.4,-15.3,99.8,74.5,42.6,0.3,444
California Zephyr,Long Distance,31.8,75.6,-43.8,187.9,230.6,124.1,1,492
Southwest Chief,Long Distance,23.3,62.5,-39.2,127.7,204.1,110.9,0.9,412
City of New Orleans,Long Distance,9.2,26,-16.8,101.1,93.6,40.1,0.4,406
Texas Eagle,Long Distance,14,35.1,-21.1,154.2,118.9,74.7,0.6,448
Sunset Limited,Long Distance,6.9,34.6,-27.7,46.3,103,34.4,0.4,204
Coast Starlight,Long Distance,25.6,57.6,-32,209.6,175,92.1,0.6,446
Lake Shore Limited,Long Distance,16.5,41.8,-25.3,176.7,133.9,71,0.5,800
Palmetto,Long Distance,15.4,26.9,-11.5,178.9,102.4,41.4,0.4,457
Crescent,Long Distance,17.7,42.6,-24.9,136.1,129.2,55.7,0.5,418
Auto Train,Long Distance,79.2,63.9,15.3,188.3,243.9,99,0.4,476
Long Distance Adjustments,Long Distance,0,17.2,-17.1,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,321,688.3,-367.3,"2,170.20","2,214.10","1,084.50",8.3,"6,686.00"
Ancillary,Amtrak,243.3,234.1,9.2,,,,0,3
Infrastructure,Amtrak,167.7,263.4,-95.7,,,,5.3,"423,453.40"
Amtrak,Amtrak,"1,751.40","2,367.20",-615.8,"13,727.60","6,669.10","2,877.70",21.3,"59,969.30"
NTS,Amtrak,"1,340.40","1,869.70",-529.3,"13,727.60","6,669.10","2,877.70",21.3,"59,969.30"
