Route,Type,"Operating
Revenue","Frequency
Variable Costs","Route
Variable costs","System/Fixed
Cost","Operating
Expense","Adjusted
Operating
Earnings","Gross Ticket
Revenue","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Train Miles
(in Millions)",Frequencies
Acela.,NEC,88,16.7,32.3,12,61,27,88,498.3,142.9,96.6,0.5,"1,218.00"
Regional,NEC,142.1,32.5,50.4,26.6,109.5,32.7,139.9,"1,495.00",406.2,270,0.9,"2,240.30"
NEC Special Trains & Adjustments,NEC,1.1,0.1,0.4,1.9,2.4,-1.4,0.5,0,1.6,0,0,74
NEC,NEC,231.2,49.3,83.1,40.4,172.8,58.3,228.5,"1,993.20",550.6,366.6,1.4,"3,532.30"
Ethan Allen Express,State Supported,1,0.7,0.4,0.2,1.3,-0.3,0.5,15.8,7.1,1.5,0,66.4
Vermonter,State Supported,1.2,0.9,0.6,0.3,1.9,-0.6,0.7,21.3,8.5,2.3,0,45.5
Maple Leaf,State Supported,6.1,3.7,2.3,0.8,6.7,-0.6,3.3,70.9,40.9,13.4,0.1,253.2
The Downeaster,State Supported,3.2,1.8,1.1,0.6,3.6,-0.4,2.3,91.5,25.7,7.8,0.1,600
Berkshire Flyer,State Supported,0,0,0,0,0,0,-,0,0,0,0,0
New Haven - Springfield,State Supported,3.4,2.2,2.7,1.1,6.1,-2.7,1.5,74,15.3,4.2,0.1,990.7
Keystone Service,State Supported,5.8,2.8,9.9,3.1,15.8,-10,4.4,188.6,50,12.1,0.1,852.9
Empire Service,State Supported,10.5,4.4,5.7,2.2,12.4,-1.9,13.4,205.8,48.9,32.3,0.2,753.9
Great River Service,State Supported,-,0,0,0,0.1,-0.1,-,0,0,0,0,0
Chicago-St.Louis,State Supported,6.3,2.8,2.3,0.8,6,0.3,2.9,81.4,31.4,16.2,0.1,331.3
Hiawathas,State Supported,4.7,2.5,2,0.6,5.1,-0.4,2.7,107,19.4,8.6,0.1,833
Wolverines,State Supported,6.1,2.7,3.2,0.9,6.9,-0.7,3.5,65.8,25.9,14.5,0.1,314
Illini,State Supported,2.9,1.4,0.8,0.3,2.5,0.4,1.2,38.2,15.9,6.4,0,122
ILLINOIS Zephyr,State Supported,3,1.4,0.9,0.3,2.6,0.3,0.7,20.3,8,3.4,0.1,204
Heartland Flyer,State Supported,1.3,0.7,0.6,0.2,1.6,-0.3,0.4,12.5,4.5,2.3,0,122
Pacific Surfliner,State Supported,17.2,11.5,4.9,3.1,19.5,-2.4,6.8,238.9,70.1,16,0.2,"1,469.00"
Cascades,State Supported,7.4,4.5,1.9,1.9,8.3,-0.9,3.8,83.3,19,12.6,0.1,491
Capitols,State Supported,9.4,6.4,3,1.8,11.2,-1.8,3.8,157.4,46.7,11.8,0.2,"1,411.00"
San Joaquins,State Supported,14.7,10.5,4.4,2.3,17.1,-2.5,5.1,151.5,88.9,22.2,0.2,731
Adirondack,State Supported,0.3,0.3,-0.3,0.1,0.1,0.3,-,0,0,0,0,0
Blue Water,State Supported,2.6,1.2,1.2,0.3,2.7,-0.1,1.1,29.1,12.9,5.6,0,118
Washington-Roanoke,State Supported,2,1.7,1.2,0.5,3.4,-1.4,2.5,58.7,22.9,7.9,0.1,94.9
Washington - Newport News,State Supported,2.9,1.8,1.3,0.5,3.7,-0.8,2.5,58.8,18.6,7,0,85.9
Washington - Norfolk,State Supported,2.7,2.2,2,0.9,5.1,-2.3,3.1,78.3,39.6,10,0.1,138.6
Washington - Richmond,State Supported,0.7,0.7,0.5,0.2,1.5,-0.8,0.6,21.7,7.4,1.8,0,24.4
Hoosier State,State Supported,-,-,-,-,-,-,-,0,0,0,0,0
Kansas City-St.Louis,State Supported,2.5,1,0.7,0.3,2,0.5,0.9,24.8,12.5,4.5,0.1,106.7
Pennsylvanian,State Supported,2.6,1.7,1.4,0.6,3.7,-1.1,2.1,35.3,13.3,7.7,0,96.8
Gulf Coast Limited,State Supported,0,0,0,0,0,0,-,0,0,0,0,0
Pere Marquette,State Supported,1.2,0.6,0.4,0.2,1.2,-0.1,0.6,15.3,3.5,2.3,0,122
Carolinian,State Supported,3.4,2.2,1.1,0.5,3.8,-0.4,2.8,54.6,20.9,11.8,0.1,82.7
Piedmont,State Supported,1.6,1.2,0.4,0.3,1.8,-0.2,1.1,52.6,12.5,6.2,0.1,355
Non Nec Special Trains & Adjustments,State Supported,3.9,0.4,0.8,1.8,3,0.9,3.9,0.1,0.7,0,0,149
State Supported,State Supported,130.5,76,57.6,27,160.5,-30,78.2,"2,053.40",691.2,252.1,2.2,"10,964.80"
Silver Star,Long Distance,6.4,8.1,5.6,2,15.6,-9.3,6.2,55.9,44.1,24.2,0.2,119
