Route,Type,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Gross Ticket Revenue,Ridership (in Thousands),Seat Miles (in Millions),Passenger Miles (in Millions),eCSI,Average Load Factor,OTP
Acela,NEC,61.5,25.3,36.2,60.1,334,94.5,63.2,72.7,67%,80.4%
Regional,NEC,62.4,36.8,25.6,60.5,792,213.3,120.9,75.8,58%,79.3%
NEC Special Trains & Adjustments,NEC,0.4,0.7,(0.4),0.3,2,0.6,0.2,N/A,N/A,N/A
NEC,NEC,124.3,62.9,61.4,120.9,"1,128",308.4,184.3,74.9,61%,79.7%
Ethan Allen Express,State Supported,0.5,0.4,0.1,0.2,4,2.0,0.8,90.4,37%,82.3%
Vermonter,State Supported,1.1,0.8,0.3,0.6,9,4.5,2.3,72.8,52%,51.6%
Maple Leaf,State Supported,2.9,2.9,(0.0),2.0,31,19.5,9.1,79.2,45%,79.0%
The Downeaster,State Supported,0.9,1.3,(0.4),0.9,47,11.6,3.8,83.9,35%,58.4%
New Haven - Springfield,State Supported,1.4,1.6,(0.2),0.8,22,4.4,1.8,75.2,N/A,N/A
Keystone Service,State Supported,4.5,4.6,(0.1),3.9,137,25.7,11.9,87.2,41%,87.9%
Empire Service,State Supported,4.2,5.8,(1.6),4.8,107,31.9,12.7,81.4,47%,73.9%
Chicago-St.Louis,State Supported,1.4,2.9,(1.4),1.3,45,20.8,8.0,83.3,40%,65.9%
Hiawathas,State Supported,1.8,2.0,(0.2),1.6,70,15.0,5.6,93.1,37%,91.5%
Wolverines,State Supported,2.9,3.2,(0.3),1.7,39,16.7,8.1,85.4,51%,84.4%
Illini,State Supported,0.7,1.7,(1.0),0.6,21,10.0,3.7,67.6,37%,24.2%
Illinois Zephyr,State Supported,0.5,1.4,(0.9),0.5,16,7.2,2.6,88.3,38%,89.5%
Heartland Flyer,State Supported,0.6,0.7,(0.2),0.2,6,2.3,1.1,85.9,49%,66.1%
Pacific Surfliner,State Supported,8.7,10.7,(2.0),6.1,244,65.9,20.0,76.7,28%,75.1%
Cascades,State Supported,4.9,5.1,(0.2),2.7,65,18.9,10.2,84.6,54%,70.5%
Capitols,State Supported,5.6,5.3,0.4,2.8,148,31.7,9.9,84.9,33%,90.6%
San Joaquins,State Supported,6.7,7.3,(0.7),2.8,87,32.8,11.7,82.7,34%,70.3%
Adirondack,State Supported,1.3,1.2,0.1,0.7,13,4.0,3.6,83.0,62%,67.7%
Blue Water,State Supported,1.1,1.2,(0.2),0.5,15,7.1,2.9,87.1,41%,66.1%
Washington-Lynchburg,State Supported,1.0,0.8,0.2,1.0,16,5.3,3.4,80.4,N/A,72.6%
Washington - Newport News,State Supported,2.0,1.6,0.4,1.8,28,9.7,5.8,81.4,N/A,77.1%
Washington - Norfolk,State Supported,0.9,0.7,0.2,0.7,12,6.0,2.2,87.2,N/A,77.1%
Washington - Richmond,State Supported,1.0,0.8,0.2,0.8,14,5.9,2.0,74.8,N/A,77.1%
Hoosier State,State Supported,0.3,0.5,(0.2),0.1,2,1.0,0.4,80.9,36%,72.2%
Kansas City-St.Louis,State Supported,1.3,1.3,0.0,0.5,16,10.2,2.7,89.6,27%,83.1%
Pennsylvanian,State Supported,1.2,1.4,(0.3),1.0,19,6.8,4.3,86.8,52%,67.7%
Pere Marquette,State Supported,0.5,0.7,(0.2),0.2,7,2.3,1.1,95.1,46%,77.4%
Carolinian,State Supported,1.8,1.7,0.1,1.4,24,9.9,5.9,76.5,46%,51.7%
Piedmont,State Supported,0.5,0.7,(0.1),0.3,15,3.3,1.6,85.4,53%,52.5%
Non Nec Special Trains & Adjustments,State Supported,0.3,0.9,(0.6),0.2,3,0.1,0.5,N/A,N/A,N/A
State Supported,State Supported,62.3,71.3,(8.9),42.8,"1,285",392.3,159.8,82.7,40%,77.0%
"
Silver Star",Long Distance,2.6,6.2,(3.6),2.4,30,26.6,12.7,74.4,51%,24.2%
Cardinal,Long Distance,0.9,2.4,(1.5),0.8,10,7.4,3.6,64.7,39%,53.8%
Silver Meteor,Long Distance,3.0,6.9,(3.9),2.8,27,28.0,14.5,74.4,57%,41.9%
Empire Builder,Long Distance,4.6,9.7,(5.1),4.3,34,46.0,25.3,82.7,58%,75.8%
Capitol Limited,Long Distance,1.8,4.5,(2.7),1.7,19,14.3,8.3,77.6,59%,50.0%
California Zephyr,Long Distance,4.8,10.1,(5.3),4.4,31,44.9,24.4,68.6,54%,43.5%
Southwest Chief,Long Distance,4.1,9.7,(5.5),3.8,26,32.3,22.3,73.2,69%,64.5%
City of New Orleans,Long Distance,1.6,3.5,(1.9),1.5,20,14.9,8.1,73.1,55%,64.5%
Texas Eagle,Long Distance,2.1,5.1,(3.0),1.9,29,22.3,13.1,72.1,51%,43.5%
Sunset Limited,Long Distance,0.9,4.1,(3.2),0.8,7,13.5,5.4,76.4,42%,51.9%
Coast Starlight,Long Distance,3.7,7.5,(3.8),3.4,33,29.2,16.3,71.9,59%,62.9%
Lake Shore Limited,Long Distance,2.7,5.9,(3.2),2.5,31,27.3,13.1,72.6,45%,44.7%
Palmetto,Long Distance,2.6,3.0,(0.4),2.5,34,18.2,7.8,77.8,43%,58.1%
Crescent,Long Distance,2.8,6.0,(3.3),2.6,22,25.0,10.4,60.1,45%,12.9%
Auto Train,Long Distance,5.7,7.6,(1.9),5.7,18,28.4,15.2,74.6,60%,69.4%
Long Distance Adjustments,Long Distance,0.1,0.7,(0.6),N/A,N/A,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,44.0,93.0,(49.0),41.0,372,378.2,200.4,73.4,54%,52.1%
Ancillary,Amtrak,26.0,23.1,3.0,,,,,,,
Infrastructure,Amtrak,17.4,24.1,(6.7),,,,,,,
Amtrak,Amtrak,274.1,274.4,(0.3),204.7,"2,785","1,078.9",544.4,78.3,51%,75.0%
