,NEC,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Ridership (in Thousands),eCSI,Average Load Factor,OTP
0,NEC:,,,,,,,
1,Acela,$124,.8 $54,.7 $70.0,659,.7 8,3.2 67,% 82
2,Regional,130,.2 74,.2 56.0,"1,625",.8 8,5.2 62,% 80
3,NEC Special Trains & Adjustments,0,.6 1,.1 (0.5),0,.7 N,/A N/,A
4,NEC,$255,.6 $130,.0 $125.5,"2,286",.2 8,4.6 63,% 81
5,State Supported:,,,,,,,
6,Ethan Allen Express,$1,.0 $1,.0 $(0.0),8,.1 9,0.8 43,% 86
7,Vermonter,2,.0 1,.6 0.4,18,.6 8,9.1 52,% 78
8,Maple Leaf,5,.2 5,.5 (0.3),65,.3 9,2.6 43,% 75
9,The Downeaster,2,.3 2,.9 (0.6),86,.5 9,4.5 31,% 60
10,New Haven - Springfield,3,.9 4,.4 (0.5),64,.4 8,9.2 N/,A
11,Keystone Service,9,.7 8,.9 0.8,281,.8 9,1.9 43,% 81
12,Empire Service,9,.1 9,.8 (0.7),217,.6 8,8.2 53,% 79
13,Chicago-St.Louis,3,.2 5,.4 (2.2),110,.0 9,1.0 50,% 66
14,Hiawathas,4,.1 3,.9 0.2,152,.1 9,2.5 41,% 88
15,Wolverines,5,.8 5,.4 0.4,86,.5 8,8.0 58,% 59
16,Illini,1,.3 2,.7 (1.4),47,.7 9,0.5 45,% 37
17,ILLINOIS Zephyr,0,.9 2,.5 (1.6),34,.4 9,4.4 39,% 83
18,Heartland Flyer,0,.7 0,.9 (0.2),11,.7 9,5.4 44,% 24
19,Pacific Surfliner,19,.3 22,.2 (2.9),462,.2 8,8.7 30,% 66
20,Cascades,10,.7 12,.1 (1.4),128,.1 9,1.2 50,% 55
21,Capitols,10,.6 11,.6 (1.0),310,.2 9,2.4 34,% 87
22,San Joaquins,14,.1 16,.0 (1.9),185,.9 8,9.6 33,% 57
23,Adirondack,1,.9 2,.2 (0.3),21,.4 8,5.8 55,% 58
24,Blue Water,2,.2 2,.0 0.1,30,.1 9,2.4 42,% 73
25,Washington-Lynchburg,2,.8 1,.7 1.1,40,.1 9,2.8 0,% 47
26,Washington - Newport News,4,.6 3,.1 1.4,61,.2 8,9.1 0,% 68
27,Washington - Norfolk,2,.1 1,.6 0.5,28,.2 9,2.8 0,% 68
28,Washington - Richmond,2,.1 1,.6 0.5,29,.8 9,2.1 0,% 68
29,Hoosier State,0,.7 1,.0 (0.3),5,.1 9,1.5 38,% 78
30,Kansas City-St.Louis,2,.7 2,.3 0.4,31,.4 9,3.1 44,% 82
31,Pennsylvanian,2,.6 2,.8 (0.2),38,.6 9,2.2 56,% 58
32,Pere Marquette,1,.1 1,.1 0.0,15,.7 9,3.6 49,% 73
33,Carolinian,3,.7 3,.0 0.7,45,.8 8,8.7 49,% 54
34,Piedmont,1,.6 1,.5 0.1,40,.0 9,5.0 43,% 41
35,Non Nec Special Trains & Adjustments,0,.5 0,.9 (0.4),3,.5 N,/A N/,A
36,State Supported,$132,.5 $142,.0 $(9.4),"2,662",.1 9,0.8 42,% 72
37,Long Distance:,,,,,,,
38,Silver Star,$5,.6 $10,.4 $(4.9),62,.1 8,1.7 61,% 41
39,Cardinal,1,.2 3,.9 (2.7),16,.8 8,4.3 51,% 48
40,Silver Meteor,6,.7 12,.8 (6.0),56,.2 8,2.3 65,% 66
41,Empire Builder,8,.1 16,.8 (8.7),64,.1 8,5.7 49,% 71
42,Capitol Limited,3,.4 7,.7 (4.3),33,.6 8,1.9 68,% 16
43,California Zephyr,8,.7 18,.4 (9.7),61,.4 8,6.8 59,% 42
44,Southwest Chief,7,.8 16,.5 (8.7),53,.5 8,5.1 63,% 36
45,City of New Orleans,3,.3 6,.8 (3.4),40,.5 8,4.8 57,% 91
46,Texas Eagle,4,.4 8,.9 (4.5),53,.8 8,4.7 56,% 29
47,Sunset Limited,2,.2 7,.7 (5.5),16,.4 8,7.3 46,% 30
48,Coast Starlight,7,.7 15,.5 (7.8),71,.0 8,4.2 59,% 65
49,Lake Shore Limited,5,.5 10,.8 (5.3),61,.1 8,1.5 51,% 47
50,Palmetto,5,.2 6,.1 (0.9),64,.2 7,9.3 45,% 65
51,Crescent,5,.5 11,.4 (5.9),47,.1 7,9.1 53,% 18
52,Auto Train,12,.1 13,.9 (1.8),36,.2 8,7.0 62,% 81
53,Long Distance Adjustments,0,.0 0,.3 (0.3),N,/A N,/A N/,A
54,Long Distance,$87,.4 $168,.0 $(80.6),737,.9 8,3.6 57,% 52
55,Ancillary,55,.8 52,.2 3.6,,,,
56,Infrastructure,41,.4 55,.1 (13.7),,,,
57,Amtrak,$572,.7 $547,.3 $25.4,"5,686",.3 8,7.2 53,% 72
