Route,Type,"Operating
Revenue","Operating
Expense","Adjusted
Operating
Earnings","Ridership
(in Thousands)","Seat Miles
(in Millions)","Passenger Miles
(in Millions)","Average
Load Factor",OTP
Acela,NEC,8.0,35.7,-27.7,61.3,69.3,12.4,18%,90.3%
Regional,NEC,22.6,65.2,-42.5,349.8,243.2,57.0,24%,92.2%
NEC Special Trains & Adjustments,NEC,0.6,1.1,-0.5,0.3,0.6,0.1,N/A,N/A
NEC,NEC,31.3,102.0,-70.8,411.4,313.1,69.5,22%,91.9%
Ethan Allen Express,State Supported,0.2,0.2,0,0.0,0.0,0.0,0%,90.1%
Vermonter,State Supported,0.1,0.3,-0.2,0.0,0.0,0.0,0%,95.9%
Maple Leaf,State Supported,4.5,4.3,0.3,30.4,25.9,8.6,33%,84.1%
The Downeaster,State Supported,2.0,2.2,-0.2,16.6,21.3,1.4,6%,68.8%
New Haven - Springfield,State Supported,2.8,3.8,-1,22.9,8.9,1.2,12%,96.2%
Keystone Service,State Supported,6.9,11.5,-4.6,48.4,49.5,4.0,8%,97.2%
Empire Service,State Supported,7.0,9.1,-2.1,70.4,47.2,8.2,17%,90.0%
Chicago-St.Louis,State Supported,0.9,4.4,-3.5,30.4,21.3,5.3,25%,88.3%
Hiawathas,State Supported,2.7,2.8,0,17.0,8.3,1.4,17%,96.8%
Wolverines,State Supported,3.2,2.6,0.6,14.5,13.1,3.3,25%,56.5%
Illini,State Supported,2.2,1.1,1.1,18.8,16.2,2.9,18%,82.2%
Illinois Zephyr,State Supported,1.5,1.6,-0.1,8.9,7.4,1.5,21%,92.8%
Heartland Flyer,State Supported,1.0,1.3,-0.3,4.9,3.8,0.9,23%,85.3%
Pacific Surfliner,State Supported,13.7,14.7,-1,88.7,69.9,8.4,12%,89.0%
Cascades,State Supported,5.1,4.6,0.5,14.7,9.0,2.3,26%,57.1%
Capitols,State Supported,6.9,7.0,-0.1,43.0,29.0,3.0,10%,91.9%
San Joaquins,State Supported,9.8,11.2,-1.4,59.4,67.1,8.5,13%,83.4%
Adirondack,State Supported,0.4,0.1,0.3,0.0,0.0,0.0,0%,0.0%
Blue Water,State Supported,2.2,2.8,-0.6,9.9,13.4,1.8,13%,86.5%
Washington-Lynchburg,State Supported,1.8,1.7,0.1,13.3,11.6,3.2,27%,91.4%
Washington - Newport News,State Supported,1.3,3.0,-1.6,22.2,16.0,5.0,26%,90.0%
Washington - Norfolk,State Supported,2.6,2.5,0.1,15.6,18.6,3.7,18%,90.0%
Washington - Richmond,State Supported,1.5,0.0,1.5,0.1,0.0,0.0,0%,90.0%
Hoosier State,State Supported,-,-,,0.0,0.0,0.0,0%,0.0%
Kansas City-St.Louis,State Supported,1.6,1.6,0,9.5,10.4,1.8,17%,80.7%
Pennsylvanian,State Supported,5.6,2.6,3,16.1,13.6,3.7,27%,83.1%
Pere Marquette,State Supported,1.1,1.4,-0.2,4.8,5.1,0.7,14%,82.7%
Carolinian,State Supported,3.9,3.8,0.1,24.6,20.1,7.0,34%,82.2%
Piedmont,State Supported,0.7,0.8,-0.1,6.7,4.4,0.8,18%,78.2%
Non Nec Special Trains & Adjustments,State Supported,0.0,1.7,-1.7,0.0,0.4,0.0,N/A,N/A
State Supported,State Supported,93.4,104.8,-11.3,611.8,511.5,88.6,17%,84.4%
"
Silver Star",Long Distance,2.3,7.7,-5.4,22.6,29.1,10.5,36%,50.4%
Cardinal,Long Distance,0.8,4.3,-3.5,9.4,12.3,3.8,31%,61.1%
Silver Meteor,Long Distance,2.6,8.5,-5.8,22.6,33.4,11.3,34%,69.6%
Empire Builder,Long Distance,3.1,12.4,-9.3,23.4,58.9,16.1,28%,61.7%
Capitol Limited,Long Distance,0.8,3.6,-2.7,9.0,9.1,3.6,40%,60.5%
California Zephyr,Long Distance,2.7,11.0,-8.2,16.9,31.2,12.9,41%,67.3%
Southwest Chief,Long Distance,2.7,11.6,-8.9,15.9,43.0,14.6,34%,52.2%
City of New Orleans,Long Distance,0.9,4.2,-3.3,9.7,12.7,3.9,31%,85.2%
Texas Eagle,Long Distance,1.6,5.2,-3.6,16.8,16.2,8.7,54%,64.7%
Sunset Limited,Long Distance,1.0,7.3,-6.3,7.3,25.8,5.1,20%,42.3%
Coast Starlight,Long Distance,2.7,9.9,-7.2,24.2,32.6,11.1,34%,67.8%
Lake Shore Limited,Long Distance,1.7,6.8,-5.1,20.9,24.5,8.2,33%,65.8%
Palmetto,Long Distance,1.2,4.3,-3.1,15.3,14.7,4.2,28%,80.1%
Crescent,Long Distance,1.5,6.1,-4.7,12.2,16.0,5.5,35%,47.6%
Auto Train,Long Distance,10.2,13.5,-3.3,23.8,50.0,20.3,41%,64.9%
Long Distance Adjustments,Long Distance,(0.0),0.1,-0.1,N/A,N/A,N/A,N/A,N/A
Long Distance,Long Distance,35.9,116.5,-80.5,249.9,409.4,140.0,34%,63.2%
Ancillary,Amtrak,54.6,53.6,1,,,,,
Infrastructure,Amtrak,38.6,58.8,-20.1,,,,,
Amtrak,Amtrak,253.9,435.7,-181.8,"1,273.1","1,234.1",298.1,24%,83.0%
