,NEC,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Ridership (in Thousands),eCSI,Average Load Factor,OTP
0,Acela,$62.9,$28.6,$34.4,338.2,83.6,66%,84.1%
1,Regional,62.6,37.1,25.5,809.4,86.9,61%,84.4%
2,NEC Special Trains & Adjustments,0.6,0.6,0.0,0.0,N/A,N/A,N/
3,NEC,$126.1,$66.3,$59.9,"1,147.5",86.0,63%,84.3
4,State Supported:,,,,,,,
5,Ethan Allen Express,$0.5,$0.5,$(0.0),4.1,87.7,43%,73.1%
6,Vermonter,1.1,0.8,0.3,9.5,90.6,50%,69.7%
7,Maple Leaf,2.5,2.7,(0.3),31.3,94.8,45%,71.3%
8,The Downeaster,1.0,1.4,(0.4),43.8,89.5,32%,58.0%
9,New Haven - Springfield,1.8,2.2,(0.4),31.2,88.4,0%,N/
10,Keystone Service,5.0,4.5,0.5,143.6,92.5,41%,88.8%
11,Empire Service,5.0,5.0,0.0,109.7,90.5,51%,75.6%
12,Chicago-St.Louis,1.5,2.7,(1.2),52.0,91.0,48%,59.3%
13,Hiawathas,2.1,1.9,0.1,77.2,85.9,42%,91.0%
14,Wolverines,2.7,2.6,0.1,41.1,88.2,55%,53.4%
15,Illini,0.6,1.3,(0.7),22.7,88.4,46%,22.4%
16,ILLINOIS Zephyr,0.4,1.2,(0.7),15.8,94.2,39%,82.7%
17,Heartland Flyer,0.6,0.6,0.0,5.5,91.6,44%,37.1%
18,Pacific Surfliner,8.9,10.8,(1.9),222.8,88.7,28%,68.3%
19,Cascades,5.1,6.3,(1.1),62.7,91.1,47%,56.6%
20,Capitols,5.9,5.9,0.0,162.5,93.4,36%,90.7%
21,San Joaquins,6.6,7.7,(1.1),84.8,92.5,31%,48.8%
22,Adirondack,1.1,1.1,0.0,13.1,83.6,65%,56.8%
23,Blue Water,1.0,1.0,0.0,14.2,96.2,39%,67.4%
24,Washington-Lynchburg,1.3,0.8,0.4,19.6,91.2,0%,70.8%
25,Washington - Newport News,2.1,1.5,0.5,28.7,86.0,0%,80.2%
26,Washington - Norfolk,0.9,0.8,0.1,13.3,95.9,0%,80.2%
27,Washington - Richmond,0.9,0.8,0.1,14.3,88.9,0%,80.2%
28,Hoosier State,0.3,0.5,(0.2),2.6,96.0,22%,78.7%
29,Kansas City-St.Louis,1.4,1.1,0.3,15.9,91.3,37%,82.6%
30,Pennsylvanian,1.1,1.4,(0.2),18.8,92.4,54%,64.6%
31,Pere Marquette,0.6,0.6,(0.0),7.0,93.6,46%,60.8%
32,Carolinian,1.8,1.5,0.3,22.7,91.8,46%,60.0%
33,Piedmont,0.9,0.8,0.1,20.5,95.9,40%,55.6%
34,Non Nec Special Trains & Adjustments,(0.4),0.4,(0.8),0.0,N/A,N/A,N/
35,State Supported,$64.3,$70.5,$(6.1),"1,311.0",90.9,41%,73.2
36,Long Distance:,,,,,,,
37,Silver Star,$2.3,$4.9,$(2.5),26.8,86.0,59%,43.3%
38,Cardinal,0.5,1.8,(1.3),8.2,87.6,51%,58.3%
39,Silver Meteor,3.0,6.2,(3.3),25.2,83.7,65%,68.6%
40,Empire Builder,4.3,8.8,(4.4),31.6,89.8,53%,53.3%
41,Capitol Limited,1.7,3.9,(2.1),16.6,75.1,72%,19.4%
42,California Zephyr,4.7,8.9,(4.2),30.9,88.9,65%,43.1%
43,Southwest Chief,4.1,8.4,(4.2),26.0,85.8,67%,36.3%
44,City of New Orleans,1.6,3.4,(1.7),20.1,85.9,56%,76.2%
45,Texas Eagle,2.1,4.4,(2.3),25.4,81.4,55%,18.5%
46,Sunset Limited,1.1,3.8,(2.7),7.8,85.9,44%,25.5%
47,Coast Starlight,3.7,7.6,(3.9),32.9,86.3,58%,57.8%
48,Lake Shore Limited,2.8,5.4,(2.6),29.5,78.5,50%,40.5%
49,Palmetto,2.4,2.8,(0.5),30.4,86.1,41%,77.9%
50,Crescent,2.6,5.7,(3.1),22.3,86.7,52%,36.3%
51,Auto Train,6.1,7.1,(1.1),17.5,86.4,59%,70.3%
52,Long Distance Adjustments,0.0,0.1,(0.1),N/A,N/A,N/A,N/
53,Long Distance,$43.0,$83.2,$(40.2),351.3,85.2,57%,50.5
54,Ancillary,27.3,25.1,2.2,,,,
55,Infrastructure,19.0,26.8,(7.8),,,,
56,Amtrak,$279.8,$271.9,$7.9,"2,809.8",87.9,53%,75.0
