,NEC,Operating Revenue,Operating Expense,Adjusted Operating Earnings,Ridership (in Thousands),eCSI,Average Load Factor,OTP
0,Acela,$624,.6 $305,.2 $319.4,"3,428",.3 7,3.7 6,1% 8
1,Regional,687,.3 475,.1 212.2,"8,686",.9 7,6.5 5,7% 7
2,NEC Special Trains & Adjustments,4,.8 10,.2 (5.4),8,.4,N/A N,/A
3,NEC,"$1,316.",7 $790,.5 $526.1,"12,123",.6 7,5.7 5,8% 8
4,State Supported:,,,,,,,
5,Ethan Allen Express,$4,.7 $5,.2 $(0.6),49,.7 8,2.4 4,0% 8
6,Vermonter,11,.5 10,.7 0.8,97,.9 7,4.6 4,9% 7
7,Maple Leaf,29,.5 33,.5 (4.0),366,.7 8,0.7 4,0% 7
8,The Downeaster,17,.5 17,.3 0.2,540,.0 8,8.0 3,3% 6
9,New Haven - Springfield,19,.0 23,.4 (4.3),286,.5 7,8.0,0%
10,Keystone Service,51,.4 55,.9 (4.5),"1,519",.9 8,4.5 3,9% 8
11,Empire Service,48,.2 65,.2 (17.0),"1,150",.5 7,9.2 4,4% 7
12,Chicago-St.Louis,33,.9 32,.3 1.7,586,.2 8,1.7 4,6% 6
13,Hiawathas,23,.5 21,.7 1.8,844,.4 8,8.5 3,8% 9
14,Wolverines,30,.7 32,.6 (1.9),483,.7 7,5.7 5,8% 5
15,Illini,17,.6 17,.1 0.4,245,.9 7,0.7 4,1% 2
16,ILLINOIS Zephyr,15,.5 14,.6 0.9,191,.6 8,8.5 3,8% 8
17,Heartland Flyer,6,.1 6,.9 (0.8),68,.1 8,7.0 4,5% 4
18,Pacific Surfliner,111,.2 128,.9 (17.7),"2,946",.0 7,8.3 3,0% 7
19,Cascades,61,.3 68,.5 (7.2),806,.1 8,0.0 5,5% 5
20,Capitols,61,.7 70,.4 (8.7),"1,706",.8 8,5.6 3,3% 9
21,San Joaquins,84,.1 95,.1 (11.0),"1,078",.9 8,1.9 3,4% 7
22,Adirondack,12,.9 13,.4 (0.5),111,.7 7,1.9 4,6% 7
23,Blue Water,11,.8 12,.8 (1.0),185,.0 8,0.9 4,4% 6
24,Washington-Lynchburg,14,.8 9,.6 5.2,206,.3 8,3.0,0% 6
25,Washington - Newport News,24,.4 18,.6 5.8,322,.3 7,4.9,0% 6
26,Washington - Norfolk,10,.9 9,.4 1.5,152,.6 8,5.0,0% 6
27,Washington - Richmond,11,.6 9,.4 2.2,158,.3 8,1.1,0% 6
28,Hoosier State,3,.7 5,.6 (1.9),27,.9 8,1.0 3,2% 7
29,Kansas City-St.Louis,15,.5 14,.3 1.1,169,.5 8,6.9 3,1% 8
30,Pennsylvanian,14,.7 17,.3 (2.6),214,.8 8,4.1 5,5% 7
31,Pere Marquette,6,.3 7,.0 (0.7),95,.5 8,7.4 5,2% 7
32,Carolinian,23,.0 19,.2 3.8,256,.9 7,2.8 4,8% 5
33,Piedmont,6,.4 7,.4 (1.0),167,.2 8,8.2 4,4% 5
34,Non Nec Special Trains & Adjustments,3,.4 36,.9 (33.5),42,.2,N/A N,/A
35,State Supported,$786.,6 $880,.1 $(93.5),"15,079",.1 8,1.6 4,0% 7
36,Long Distance:,,,,,,,
37,Silver Star,$34,.9 $69,.8 $(34.9),368,.5 6,8.7 5,9% 3
38,Cardinal,7,.1 22,.7 (15.5),96,.7 7,0.3 5,0% 5
39,Silver Meteor,40,.2 79,.9 (39.7),337,.0 6,9.4 6,4% 4
40,Empire Builder,57,.8 107,.7 (50.0),428,.9 6,9.7 5,4% 5
41,Capitol Limited,21,.4 49,.0 (27.6),219,.0 6,8.1 6,8% 3
42,California Zephyr,59,.2 116,.4 (57.2),418,.2 7,4.2 5,8% 5
43,Southwest Chief,45,.6 102,.7 (57.1),331,.2 7,2.2 6,1% 5
44,City of New Orleans,19,.4 40,.5 (21.0),237,.8 7,2.9 5,8% 6
45,Texas Eagle,25,.8 57,.6 (31.8),335,.8 7,1.4 5,3% 4
46,Sunset Limited,12,.4 47,.6 (35.1),97,.1 7,3.3 4,9% 4
47,Coast Starlight,44,.6 90,.6 (46.0),417,.8 7,2.0 5,5% 6
48,Lake Shore Limited,28,.5 64,.1 (35.6),337,.9 6,5.3 5,7% 4
49,Palmetto,30,.9 36,.2 (5.3),387,.9 6,9.6 4,4% 4
50,Crescent,33,.2 72,.6 (39.4),274,.8 5,7.8 4,9% 1
51,Auto Train,72,.1 87,.6 (15.6),224,.8 7,6.1 6,5% 6
52,Long Distance Adjustments,(7,.7) 20,.9 (28.6),N,/A,N/A N,/A
53,Long Distance,$525.,"4 $1,065",.8 $(540.5),"4,513",.5 7,0.0 5,7% 4
54,Ancillary,344,.7 317,.4 27.3,,,,
55,Infrastructure,234,.7 322,.2 (87.5),,,,
56,Amtrak,"$3,208.","0 $3,376",.1 $(168.0),"31,716",.2 7,7.7 5,1% 7
