Speed_mph,Elevation_Smoothen_ft,Curve_Current_degrees,Curve_Max_Preceding_250ft_degrees,Curve_Max_Following_250ft_degrees,Elev_Delta_CUR_ft,Elev_Delta_PRE_ft,Elev_Delta_FOL_ft,Distance_to_Key_Nodes_FOL,Distance_to_Key_Nodes_PRE,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Intersection_dist,Station_dist,Node_ID,Cumulative_Length_ft
0.0,836.3007286,0.0,5.7597,0.00072,-0.2697714000000815,-0.10897140000008676,0.03208580000000438,1250.0,1050.0,0,1,0,POINT (-79.78666199999999 36.068706),-79.7867,36.06872,1,0,0,1250.0,0.0,32,715400
0.02,836.6131571,1.5979,0.00072,5.7597,-0.3180428999999094,0.09851430000003347,-0.09929999999997108,100.0,950.0,1,0,0,POINT (-79.78654 36.06874),-79.7865,36.06878,0,0,0,1350.0,100.0,34,715300
0.0,836.7782143,0.00072,0.13482,5.7597,-0.2662000000000262,0.20141430000001037,-0.18738569999993615,150.0,900.0,1,0,0,POINT (-79.78635699999998 36.06875599999999),-79.7863,36.0688,0,0,0,1400.0,150.0,35,715250
0.0,836.6131571,1.5979,0.00072,5.7597,-0.3180428999999094,0.09851430000003347,-0.09929999999997108,100.0,950.0,1,0,0,POINT (-79.78641 36.06875899999999),-79.7865,36.06878,0,0,0,1350.0,100.0,34,715300
0.01,836.7782143,0.00072,0.13482,5.7597,-0.2662000000000262,0.20141430000001037,-0.18738569999993615,150.0,900.0,1,0,0,POINT (-79.78634899999999 36.06875899999999),-79.7863,36.0688,0,0,0,1400.0,150.0,35,715250
0.01,836.8871857,0.00056,1.75178,5.7597,0.03361419999998816,0.46289999999999054,-0.10897140000008676,250.0,800.0,1,0,0,POINT (-79.786136 36.068809),-79.7861,36.06885,0,0,0,1500.0,250.0,37,715150
0.02,836.8871857,0.00056,1.75178,5.7597,0.03361419999998816,0.46289999999999054,-0.10897140000008676,250.0,800.0,1,0,0,POINT (-79.786128 36.068809),-79.7861,36.06885,0,0,0,1500.0,250.0,37,715150
0.01,836.8793571,0.00072,1.75178,5.7597,-0.10897140000008676,0.3405142999999953,-0.23277150000001257,200.0,850.0,1,0,0,POINT (-79.786243 36.068813),-79.7862,36.06883,0,0,0,1450.0,200.0,36,715200
0.01,836.8793571,0.00072,1.75178,5.7597,-0.10897140000008676,0.3405142999999953,-0.23277150000001257,200.0,850.0,1,0,0,POINT (-79.78620399999998 36.068817),-79.7862,36.06883,0,0,0,1450.0,200.0,36,715200
0.0,836.8793571,0.00072,1.75178,5.7597,-0.10897140000008676,0.3405142999999953,-0.23277150000001257,200.0,850.0,1,0,0,POINT (-79.78625 36.068817),-79.7862,36.06883,0,0,0,1450.0,200.0,36,715200
