Node_ID,Cumulative_Length_ft,Elevation_Smoothen_ft,x_coordinate,y_coordinate,Curve_degree,Station,Intersection,Switch,Switch_if
1,50,838.380875,-79.7908,36.06764,0.00024,,,,0
2,100,838.27578,-79.7906,36.06767,0.00024,,,,0
3,150,836.0471333,-79.7905,36.06771,0.00024,,,,0
4,200,833.8787286,-79.7904,36.06774,0.00024,,,,0
5,250,833.2150571,-79.7902,36.06778,0.00024,,,,0
6,300,832.8994143,-79.7901,36.06781,2.736,,,,0
7,350,832.7594714,-79.79,36.06785,7.09984,,,,0
8,400,832.6276429,-79.7899,36.06789,0.0004,,,,0
9,450,832.4760286,-79.7897,36.06793,0.0007,,,,0
10,500,834.1564857,-79.7896,36.06798,0.58214,,,,0
11,550,836.3624571,-79.7895,36.06802,8.80152,,,,0
12,600,836.6023286,-79.7894,36.06805,0.0007,,,,0
13,650,836.4062286,-79.7892,36.06809,0.0007,,,,0
14,700,836.1307714,-79.7891,36.06812,0.00048,,,,0
15,750,835.9150571,-79.789,36.06816,0.36594,,,,0
16,800,835.6239429,-79.7888,36.06819,0.11556,,,,0
17,850,835.2949429,-79.7887,36.06823,0.00096,,,,0
18,900,835.0414714,-79.7886,36.06826,0.00072,,,,0
19,950,835.0832714,-79.7884,36.0683,0.00072,,,,0
20,1000,835.1885857,-79.7883,36.06833,2.77976,,,,0
21,1050,835.3702571,-79.7882,36.06837,0.662,,,,0
22,1100,835.4982571,-79.7881,36.0684,0.00072,,,,0
23,1150,835.6736571,-79.7879,36.06843,0.00072,,,,0
24,1200,835.8627143,-79.7878,36.06846,0,,,,0
25,1250,836.0545286,-79.7877,36.06849,0.00022,,,,0
26,1300,836.0007429,-79.7875,36.06853,0.00022,,,,0
27,1350,835.9806286,-79.7874,36.06856,0,,,,0
28,1400,835.9686571,-79.7873,36.06859,0.00072,,,,0
29,1450,836.0030143,-79.7871,36.06862,0.00072,,,,0
30,1500,836.0679571,-79.787,36.06866,0,,,,0
31,1550,836.1904,-79.7869,36.06869,0,,,,0
32,1600,836.3007286,-79.7867,36.06872,0,,,,0
33,1650,836.4601714,-79.7866,36.06875,5.7597,,,,0
34,1700,836.6131571,-79.7865,36.06878,1.5979,,,,0
35,1750,836.7782143,-79.7863,36.0688,0.00072,,,,0
36,1800,836.8793571,-79.7862,36.06883,0.00072,,,,0
37,1850,836.8871857,-79.7861,36.06885,0.00056,,,,0
38,1900,836.8457429,-79.7859,36.06888,0.00056,,,,0
39,1950,836.7886714,-79.7858,36.0689,0.00072,,,,0
40,2000,836.6443286,-79.7857,36.06893,0.13482,,,,0
41,2050,836.4481571,-79.7855,36.06895,1.75178,,,,0
42,2100,836.1814286,-79.7854,36.06898,0,,,,0
43,2150,835.8503,-79.7853,36.069,0.00016,,,,0
44,2200,835.5709857,-79.7851,36.06902,0.00056,,,,0
45,2250,835.3310571,-79.785,36.06905,0.00072,,,,0
46,2300,835.0499857,-79.7849,36.06907,0.85498,,,,0
47,2350,834.8091143,-79.7847,36.06909,1.274,,,,0
48,2400,834.6118143,-79.7846,36.06912,0.00018,,,,0
49,2450,834.2511286,-79.7845,36.06915,0.00074,,,,0
50,2500,831.1143429,-79.7843,36.06917,0.00056,,,,0
51,2550,827.9559714,-79.7842,36.0692,0.00056,,,,0
