"Curve_CUR_degree","Curve_Max_FOL_2500ft_degree","Curve_Max_FOL_2k5_5kft_degree","Curve_Max_FOL_5k_7k5ft_degree","Curve_Max_FOL_7k5_10kft_degree","Curve_Max_PRE_2500ft_degree","Curve_Max_PRE_2k5_5kft_degree","Curve_Max_PRE_5k_7k5ft_degree","Curve_Max_PRE_7k5_10kft_degree","Elev_Delta_CUR_ft","Elev_Delta_FOL_2500ft_ft","Elev_Delta_FOL_2k5_5kft_ft","Elev_Delta_FOL_5k_7k5ft_ft","Elev_Delta_FOL_7k5_10kft_ft","Elev_Delta_PRE_2500ft_ft","Elev_Delta_PRE_2k5_5kft_ft","Elev_Delta_PRE_5k_7k5ft_ft","Elev_Delta_PRE_7k5_10kft_ft","Distance_to_FOL_Intersection","Distance_to_FOL_Station","Distance_to_FOL_Switch","Distance_to_PRE_Intersection","Distance_to_PRE_Station","Distance_to_PRE_Switch","Carolinian","Crescent","Piedmont","Speed_mph"
6e-04,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.541071499999987,7.34682860000004,1.01078569999999,10.4225286,5.41032860000001,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1800,7500,28950,1700,195400,23200,0,0,0,52.1695557683982
6e-04,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.527999999999963,7.34682860000004,1.01078569999999,10.4225286,1.62399999999997,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1750,7450,28900,1750,195450,23250,0,0,0,52.2457038138528
6e-04,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.539985699999988,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1700,7400,28850,1800,195500,23300,0,0,0,52.0687638138528
6e-04,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.56325720000001,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1650,7350,28800,1850,195550,23350,0,0,0,51.9766548138528
6e-04,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.572957099999996,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1600,7300,28750,1900,195600,23400,0,0,0,51.9360373896103
6e-04,11.2558,5.8212,13.277,9.3018,13.9544,14.6794,16.09134,14.8648,-0.512628500000005,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1550,7250,28700,1950,195650,23450,0,0,0,52.108760056277
6e-04,11.2558,5.2626,13.277,5.05,13.9544,14.6794,16.09134,14.8648,-0.439128600000004,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1500,7200,28650,2000,195700,23500,0,0,0,52.1038432683983
0.2664,11.2558,5.2626,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.415628599999991,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1450,7150,28600,2050,195750,23550,0,0,0,52.6243567229437
0.6372,11.2558,5.2626,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.404614299999992,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1400,7100,28550,2100,195800,23600,0,0,0,52.4384137229437
0.001,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.361100000000022,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1350,7050,28500,2150,195850,23650,0,0,0,52.4796216926407
6e-04,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.311228599999993,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1300,7000,28450,2200,195900,23700,0,0,0,52.3551376826156
4e-04,11.2558,2.4026,13.277,12.2306,13.9544,14.6794,16.09134,14.8648,-0.306685700000003,7.34682860000004,1.01078569999999,10.4225286,0.480028500000003,2.50172860000004,0.257799999999975,1.28597139999999,0.729471399999966,1250,6950,28400,2250,195950,23750,0,0,0,52.2614583492823
