"Curve_CUR_degree","Curve_Max_FOL_2500ft_degree","Curve_Max_FOL_2k5_5kft_degree","Curve_Max_FOL_5k_7k5ft_degree","Curve_Max_FOL_7k5_10kft_degree","Curve_Max_PRE_2500ft_degree","Curve_Max_PRE_2k5_5kft_degree","Curve_Max_PRE_5k_7k5ft_degree","Curve_Max_PRE_7k5_10kft_degree","Elev_Delta_CUR_ft","Elev_Delta_FOL_2500ft_ft","Elev_Delta_FOL_2k5_5kft_ft","Elev_Delta_FOL_5k_7k5ft_ft","Elev_Delta_FOL_7k5_10kft_ft","Elev_Delta_PRE_2500ft_ft","Elev_Delta_PRE_2k5_5kft_ft","Elev_Delta_PRE_5k_7k5ft_ft","Elev_Delta_PRE_7k5_10kft_ft","Distance_to_FOL_Intersection","Distance_to_FOL_Station","Distance_to_FOL_Switch","Distance_to_PRE_Intersection","Distance_to_PRE_Station","Distance_to_PRE_Switch","Carolinian","Crescent","Piedmont","Speed_mph"
0,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,8.98221430000001,5.41032860000001,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3800,0,21450,250,0,30700,0,0,0,9.95732654193388
4.4686,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,5.41032860000001,1.62399999999997,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3750,13650,21400,300,50,30750,0,0,0,14.2459140186205
5.9104,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,1.62399999999997,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3700,13600,21350,350,100,30800,0,0,0,15.6125403819822
0.0012,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.374428500000022,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3650,13550,21300,400,150,30850,0,0,0,15.4441899445997
0.0018,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.420685700000035,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3600,13500,21250,450,200,30900,0,0,0,15.1289512952491
6e-04,9.3018,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.347314299999994,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3550,13450,21200,500,250,30950,0,0,0,15.1287248300476
9.3018,5.05,17.824,15.469,18.6866,13.277,5.8212,11.2558,13.9544,0.20744289999999,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3500,13400,21150,550,300,31000,0,0,0,15.7707308361296
5.05,12.2306,17.824,15.469,18.6866,13.277,5.2626,11.2558,13.9544,0.158900000000017,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3450,13350,21100,600,350,31050,0,0,0,15.9626700672985
2e-04,12.2306,17.824,15.469,18.6866,13.277,5.2626,11.2558,13.9544,0.146871400000009,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3400,13300,21050,650,400,31100,0,0,0,16.2732951379566
4e-04,12.2306,17.824,15.469,18.6866,13.277,5.2626,11.2558,13.9544,0.088914299999999,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3350,13250,21000,700,450,31150,0,0,0,20.7375869145498
0,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.0802856999999904,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3300,13200,20950,750,500,31200,0,0,0,21.9593653086139
4e-04,12.2306,17.824,15.469,18.6866,13.277,2.4026,11.2558,13.9544,0.0656570999999531,0.480028500000003,1.84820000000002,2.63344289999998,4.11164279999997,10.4225286,1.01078569999999,7.34682860000004,2.50172860000004,3250,13150,20900,800,550,31250,0,0,0,22.1127173670935
