Speed_mph,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_FOL_2500ft_ft,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Carolinian,Crescent,Piedmont
15.87,586.8395857,0.009914429000000382,0.011664856999999529,0.012992858000000069,0.014601286000000754,0.00957942800000069,0.026821856999999907,0.017492284999999583,0.17435828500000014,0.00832071400000018,0.0,0.0009,11.59782,13.1112,0.001,20.75936,15.60202,11.41596,17.03672,0.011664856999999529,11.59782,13.1112,0.001,20.75936,15.60202,11.41596,17.03672,,,,POINT (-79.38650799999999 36.082496),-79.3865,36.08253,0,0,0,3215,556250,8450,19800,11300,6550,196800,46400,1,0,0
57.34,691.1786,0.010913572000000614,0.009840714000000616,0.0025578570000004673,0.0061260000000004314,0.008231713999999784,0.013790000000000191,0.01698599999999942,0.007924428000000034,0.008502142999999478,1.81282,2.54236,0.00138,0.43906,0.26574,7.0132,12.11498,12.7264,13.48258,0.009840714000000616,0.00138,0.43906,0.26574,7.0132,12.11498,12.7264,13.48258,,,,POINT (-79.195064 36.08109199999999),-79.1951,36.08105,0,0,0,4682,482900,2750,93150,26950,5900,123450,79050,1,0,0
53.34,692.9399286,0.006519857000000684,0.009439856999999847,0.0033202849999997854,0.0061260000000004314,0.008231713999999784,0.013790000000000191,0.01698599999999942,0.007924428000000034,0.008502142999999478,0.00064,1.50332,0.00138,0.43906,0.26574,7.0132,11.8364,12.7264,13.48258,0.009439856999999847,0.00138,0.43906,0.26574,7.0132,11.8364,12.7264,13.48258,,,,POINT (-79.19563599999998 36.08109599999999),-79.1957,36.08111,0,0,0,4678,483100,2550,92950,26750,6100,123650,79250,0,0,1
54.21,672.2772286,0.005879286000000547,0.013790000000000191,0.009439856999999847,0.00295714299999986,0.0061260000000004314,0.01698599999999942,0.007924428000000034,0.008502142999999478,0.019584429000000226,0.0004,7.0132,1.50332,0.00138,0.43906,11.8364,12.7264,13.48258,3.04356,0.013790000000000191,1.50332,0.00138,0.43906,11.8364,12.7264,13.48258,3.04356,,,,POINT (-79.188991 36.079696),-79.1889,36.07967,0,0,0,4729,480550,5100,95500,29300,3550,121100,76700,0,0,1
54.8,674.5667286,0.006637000000000626,0.013790000000000191,0.009439856999999847,0.0033202849999997854,0.0061260000000004314,0.01698599999999942,0.007924428000000034,0.008502142999999478,0.01196628500000088,0.0,7.0132,1.50332,0.00138,0.43906,8.9202,12.7264,13.48258,1.37004,0.013790000000000191,1.50332,0.00138,0.43906,8.9202,12.7264,13.48258,1.37004,,,,POINT (-79.18986 36.07999),-79.1898,36.07997,0,0,0,4722,480900,4750,95150,28950,3900,121450,77050,1,0,0
54.62,675.2045714,0.006410999999999376,0.013790000000000191,0.009439856999999847,0.0033202849999997854,0.0061260000000004314,0.01698599999999942,0.007924428000000034,0.008502142999999478,0.010997142999999597,0.0,7.0132,1.50332,0.00138,0.43906,8.9202,12.7264,13.48258,1.37004,0.013790000000000191,1.50332,0.00138,0.43906,8.9202,12.7264,13.48258,1.37004,,,,POINT (-79.190104 36.080116000000004),-79.1901,36.08005,0,0,0,4720,481000,4650,95050,28850,4000,121550,77150,0,0,1
55.71,681.3561857,0.006210714999999709,0.013790000000000191,0.007416713999999729,0.0033202849999997854,0.0061260000000004314,0.01698599999999942,0.00557785699999954,0.008502142999999478,0.0010678570000004584,0.0002,3.4022,0.92932,0.00138,0.43906,7.0132,12.7264,13.48258,2.66086,0.013790000000000191,0.92932,0.00138,0.43906,7.0132,12.7264,13.48258,2.66086,,,,POINT (-79.19156199999999 36.080509),-79.1916,36.08049,0,0,0,4708,481600,4050,94450,28250,4600,122150,77750,0,0,1
54.39,682.6220857,0.00655014299999948,0.013790000000000191,0.005779999999999745,0.0033202849999997854,0.007633999999999332,0.01698599999999942,0.015016572000000679,0.008502142999999478,0.0010678570000004584,0.0008,3.4022,0.92932,0.43906,0.26574,7.0132,12.7264,13.48258,2.66086,0.013790000000000191,0.92932,0.43906,0.26574,7.0132,12.7264,13.48258,2.66086,,,,POINT (-79.192202 36.080646),-79.1922,36.0806,0,0,0,4704,481800,3850,94250,28050,4800,122350,77950,0,0,1
54.67,683.4059143,0.00381657099999984,0.013790000000000191,0.003994714000000386,0.0033202849999997854,0.008089143000000831,0.013070428999999422,0.01698599999999942,0.008502142999999478,0.0010678570000004584,3.3678,3.4022,0.00138,0.43906,0.26574,7.0132,12.7264,13.48258,2.66086,0.013790000000000191,0.00138,0.43906,0.26574,7.0132,12.7264,13.48258,2.66086,,,,POINT (-79.1925 36.080688),-79.1926,36.08068,0,0,0,4701,481950,3700,94100,27900,4950,122500,78100,0,0,1
67.98,625.9468,0.004171714000000293,0.014601286000000754,0.0099775719999991,0.005115714999999454,0.0015285720000008495,0.009793856999999661,0.026821856999999907,0.02288114299999961,0.017492284999999583,6.09194,13.1112,0.0008,1.5988,8.27262,3.77986,2.43756,20.75936,15.60202,0.014601286000000754,0.0008,1.5988,8.27262,3.77986,2.43756,20.75936,15.60202,,,,POINT (-79.398768 36.080207),-79.3987,36.08013,0,0,0,3123,560850,3850,15200,6700,11150,201400,51000,1,0,0
