Speed_mph,Elevation_Smoothen_ft,Elev_Delta_CUR_ft,Elev_Delta_FOL_500ft_ft,Elev_Delta_FOL_500_1kft_ft,Elev_Delta_FOL_1k_1k5ft_ft,Elev_Delta_FOL_1k5_2kft_ft,Elev_Delta_FOL_2k_2k5ft_ft,Elev_Delta_PRE_500ft_ft,Elev_Delta_PRE_500_1kft_ft,Elev_Delta_PRE_1k_1k5ft_ft,Elev_Delta_PRE_1k5_2kft_ft,Elev_Delta_PRE_2k_2k5ft_ft,Curve_CUR_degree,Curve_Max_FOL_500ft_degree,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Elev_Delta_FOL_500ft_ft,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Node_ID,Cumulative_Length_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch
15.87,586.8395857,0.9914429000000382,1.1664856999999529,0.895728599999984,0.9629143000000795,0.9515572000000247,0.8584713999999849,2.682185699999991,2.056214299999965,1.9348856999999953,0.8056000000000267,1.2108570999999984,0.0,0.0009,0.0009,0.0009,0.0009,0.0009,2.43756,2.06362,0.00072,20.75936,6.01546,1.1664856999999529,0.0009,0.0009,0.0009,0.0009,2.43756,2.06362,0.00072,20.75936,6.01546,0,1,0,POINT (-79.38650799999999 36.082496),-79.3865,36.08253,0,0,0,3215,556250,8450,19800,11300,6550,196800,46400
57.34,691.1786,1.0913572000000613,0.9840714000000617,0.934028499999954,0.9439856999999847,0.4642286000000695,0.2057999999999538,1.379000000000019,0.7643429000000879,1.1526428999999325,1.3070428999999422,0.6879142999999885,1.81282,2.54236,1.50332,0.92932,0.00012,0.00012,1.00672,3.4022,7.0132,1.3586,4.7418,0.9840714000000617,1.50332,0.92932,0.00012,0.00012,1.00672,3.4022,7.0132,1.3586,4.7418,0,1,0,POINT (-79.195064 36.08109199999999),-79.1951,36.08105,0,0,0,4682,482900,2750,93150,26950,5900,123450,79050
53.34,692.9399286,0.6519857000000684,0.5738570999999411,0.9439856999999847,0.7416713999999729,0.2730285999999751,0.06768569999996998,1.379000000000019,1.2243429000000106,0.6701856999999336,1.3070428999999422,0.7618429000000333,0.00064,0.00084,1.50332,0.92932,0.00012,0.00012,2.54236,1.00672,3.4022,7.0132,4.7418,0.5738570999999411,1.50332,0.92932,0.00012,0.00012,2.54236,1.00672,3.4022,7.0132,4.7418,0,1,0,POINT (-79.19563599999998 36.08109599999999),-79.1957,36.08111,0,0,0,4678,483100,2550,92950,26750,6100,123650,79250
54.21,672.2772286,0.5879286000000548,0.7618429000000333,1.3070428999999422,0.6701856999999336,1.2243429000000106,1.379000000000019,0.5384856999999101,0.8893143000000236,1.6985999999999422,0.04917139999997744,0.2932285999999067,0.0004,4.7418,7.0132,3.4022,1.00672,2.54236,4.1756,2.3248,5.077,8.9202,11.8364,0.7618429000000333,7.0132,3.4022,1.00672,2.54236,4.1756,2.3248,5.077,8.9202,11.8364,0,1,0,POINT (-79.188991 36.079696),-79.1889,36.07967,0,0,0,4729,480550,5100,95500,29300,3550,121100,76700
54.8,674.5667286,0.6637000000000626,1.3070428999999422,1.0083429000000024,0.9439571999999998,1.379000000000019,0.9840714000000617,0.6879142999999885,0.4303714000000127,1.5623571999999513,1.6985999999999422,-0.13652860000001965,0.0,1.3586,7.0132,3.4022,1.81282,2.54236,4.7418,3.8408,2.3248,8.6222,8.9202,1.3070428999999422,7.0132,3.4022,1.81282,2.54236,4.7418,3.8408,2.3248,8.6222,8.9202,0,1,0,POINT (-79.18986 36.07999),-79.1898,36.07997,0,0,0,4722,480900,4750,95150,28950,3900,121450,77050
54.62,675.2045714,0.6410999999999376,1.3070428999999422,0.7265570999999227,1.160528500000055,1.379000000000019,0.7772572000000082,0.6879142999999885,0.5292143000000351,1.0161714000000757,1.6985999999999422,-0.08621430000005148,0.0,7.0132,3.4022,1.00672,2.54236,0.00084,4.7418,3.8408,2.3248,8.6222,8.9202,1.3070428999999422,3.4022,1.00672,2.54236,0.00084,4.7418,3.8408,2.3248,8.6222,8.9202,0,1,0,POINT (-79.190104 36.080116000000004),-79.1901,36.08005,0,0,0,4720,481000,4650,95050,28850,4000,121550,77150
55.71,681.3561857,0.6210714999999709,0.6701856999999336,1.2925715000000082,1.379000000000019,0.5738570999999411,0.9439856999999847,1.3070428999999422,0.7618429000000333,0.5879286000000548,0.7655285999999251,1.6985999999999422,0.0002,3.4022,1.00672,2.54236,0.00084,1.50332,7.0132,4.7418,4.1756,2.3248,5.077,0.6701856999999336,1.00672,2.54236,0.00084,1.50332,7.0132,4.7418,4.1756,2.3248,5.077,0,1,0,POINT (-79.19156199999999 36.080509),-79.1916,36.08049,0,0,0,4708,481600,4050,94450,28250,4600,122150,77750
54.39,682.6220857,0.655014299999948,0.5673143000000209,1.379000000000019,1.2212713999999778,0.934028499999954,0.9439856999999847,1.282485700000052,1.3070428999999422,0.6528286000000207,0.31392859999994016,1.6985999999999422,0.0008,3.4022,1.00672,2.54236,1.50332,0.2182,7.0132,4.7418,4.1756,3.8408,5.077,0.5673143000000209,1.00672,2.54236,1.50332,0.2182,7.0132,4.7418,4.1756,3.8408,5.077,0,1,0,POINT (-79.192202 36.080646),-79.1922,36.0806,0,0,0,4704,481800,3850,94250,28050,4800,122350,77950
54.67,683.4059143,0.381657099999984,1.0737570999999662,1.379000000000019,0.8851570999999012,0.9439856999999847,0.903942900000061,1.0083429000000024,1.3070428999999422,0.6879142999999885,0.4668858,1.16568570000004,3.3678,3.4022,2.54236,0.00084,1.50332,0.92932,7.0132,1.3586,4.7418,3.8408,2.3248,1.0737570999999662,2.54236,0.00084,1.50332,0.92932,7.0132,1.3586,4.7418,3.8408,2.3248,0,1,0,POINT (-79.1925 36.080688),-79.1926,36.08068,0,0,0,4701,481950,3700,94100,27900,4950,122500,78100
67.98,625.9468,0.4171714000000293,1.299285800000007,1.4601286000000755,1.077428599999962,0.6466141999999309,0.8074428999999554,0.8792856999999685,0.9560857000000169,0.8914999999999509,0.9793856999999662,0.9194286000000602,6.09194,11.59782,13.02022,13.1112,0.0954,0.903,3.77986,0.00092,2.44656,0.0009,0.0009,1.299285800000007,13.02022,13.1112,0.0954,0.903,3.77986,0.00092,2.44656,0.0009,0.0009,0,1,0,POINT (-79.398768 36.080207),-79.3987,36.08013,0,0,0,3123,560850,3850,15200,6700,11150,201400,51000
