origin_date,name,number,longitude,latitude,speed,geometry
2024-01-28,Crescent,19,-80.46722,35.665996,21.07,POINT (-80.46722 35.665996)
2024-01-30,Crescent,19,-81.436748,35.176913,0.13,POINT (-81.436748 35.176913)
2024-01-24,Crescent,20,-81.396534,35.196418,59.83,POINT (-81.396534 35.196418)
2024-01-23,Crescent,20,-81.394428,35.197826,59.28,POINT (-81.394428 35.197826)
2024-01-24,Crescent,19,-81.381397,35.210895,60.35,POINT (-81.381397 35.210895)
2024-01-23,Crescent,20,-81.361812,35.223266,58.59,POINT (-81.361812 35.223266)
2024-01-24,Crescent,20,-81.361751,35.223281,59.81,POINT (-81.361751 35.223281)
2024-01-30,Crescent,19,-81.350093,35.231136,58.91,POINT (-81.350093 35.231136)
2024-01-30,Crescent,19,-81.324565,35.265025,45.44,POINT (-81.324565 35.265025)
2024-01-19,Crescent,20,-81.324359,35.265239,59.15,POINT (-81.324359 35.265239)
2024-01-20,Crescent,20,-81.162921,35.268924,12.95,POINT (-81.162921 35.268924)
2024-01-25,Crescent,20,-81.205074,35.261687,58.84,POINT (-81.205074 35.261687)
2024-01-19,Crescent,20,-81.203456,35.261817,58.06,POINT (-81.203456 35.261817)
2024-01-20,Crescent,20,-81.202869,35.261874,57.33,POINT (-81.202869 35.261874)
2024-01-19,Crescent,19,-81.208217,35.262428,56.86,POINT (-81.208217 35.262428)
2024-01-24,Crescent,19,-81.209095,35.263034,55.09,POINT (-81.209095 35.263034)
2024-01-27,Crescent,19,-81.199993,35.26319,59.05,POINT (-81.199993 35.26319)
2024-01-29,Crescent,19,-81.072307,35.234893,44.21,POINT (-81.072307 35.234893)
2024-01-22,Crescent,20,-80.992183,35.232467,42.84,POINT (-80.992183 35.232467)
2024-01-24,Crescent,19,-80.924678,35.225082,55.25,POINT (-80.924678 35.225082)
2024-01-19,Crescent,19,-80.866313,35.222095,50.65,POINT (-80.866313 35.222095)
2024-01-28,Crescent,19,-80.865741,35.222125,50.92,POINT (-80.865741 35.222125)
2024-01-31,Crescent,20,-80.869739,35.222156,53.18,POINT (-80.869739 35.222156)
2024-01-21,Crescent,19,-80.870105,35.222186,48.25,POINT (-80.870105 35.222186)
2024-01-22,Crescent,19,-80.869075,35.222198,52.28,POINT (-80.869075 35.222198)
2024-01-28,Crescent,20,-80.872569,35.222202,53.8,POINT (-80.872569 35.222202)
2024-01-21,Crescent,20,-80.870761,35.222209,52.93,POINT (-80.870761 35.222209)
2024-01-25,Crescent,19,-80.87611,35.222212999999996,57.15,POINT (-80.87611 35.222212999999996)
2024-01-19,Crescent,20,-80.845653,35.234153,5.09,POINT (-80.845653 35.234153)
2024-01-30,Crescent,19,-80.857067,35.224288,49.17,POINT (-80.857067 35.224288)
2024-01-25,Crescent,20,-80.856929,35.224368,32.89,POINT (-80.856929 35.224368)
2024-01-23,Crescent,19,-80.856944,35.224376,49.91,POINT (-80.856944 35.224376)
2024-01-31,Crescent,19,-80.856677,35.224593,45.09,POINT (-80.856677 35.224593)
2024-01-23,Crescent,20,-80.856449,35.224708,47.11,POINT (-80.856449 35.224708)
2024-01-20,Crescent,20,-80.853969,35.226932,38.67,POINT (-80.853969 35.226932)
2024-01-20,Crescent,19,-80.851612,35.229026,48.93,POINT (-80.851612 35.229026)
2024-01-19,Crescent,20,-80.849941,35.230403,6.92,POINT (-80.849941 35.230403)
2024-01-29,Crescent,20,-80.848178,35.232032,35.86,POINT (-80.848178 35.232032)
2024-01-19,Crescent,19,-80.822933,35.24076,0.03,POINT (-80.822933 35.24076)
2024-01-26,Crescent,20,-80.778987,35.254321,75.33,POINT (-80.778987 35.254321)
