origin_date,last_updated,name,number,longitude,latitude,speed,geometry
2024-01-26,1706336044,Silver Meteor,98,-79.290278,34.5405,79.4,POINT (-79.290278 34.5405)
2024-01-22,1705994579,Silver Meteor,97,-79.289996,34.540923,75.89,POINT (-79.289996 34.540923)
2024-01-24,1706166297,Silver Meteor,97,-79.289874,34.54111,78.84,POINT (-79.289874 34.54111)
2024-01-27,1706426578,Silver Meteor,97,-79.289523,34.541648,76.81,POINT (-79.289523 34.541648)
2024-01-30,1706678237,Silver Meteor,98,-79.288943,34.542533,78.15,POINT (-79.288943 34.542533)
2024-01-27,1706420463,Silver Meteor,98,-79.288936,34.542548,77.6,POINT (-79.288936 34.542548)
2024-01-28,1706460079,Palmetto,90,-79.288699,34.54288,78.08,POINT (-79.288699 34.54288)
2024-01-25,1706200695,Palmetto,90,-79.287555,34.544715,78.07,POINT (-79.287555 34.544715)
2024-01-23,1706028241,Palmetto,90,-79.286029,34.547073,77.83,POINT (-79.286029 34.547073)
2023-12-26,1703656637,Silver Meteor,98,-79.285342,34.548083,78.14,POINT (-79.285342 34.548083)
2024-01-25,1706249103,Silver Meteor,98,-79.285273,34.54819,77.61,POINT (-79.285273 34.54819)
2024-01-21,1705900442,Silver Meteor,98,-79.28506,34.548564,77.52,POINT (-79.28506 34.548564)
2024-01-31,1706765357,Silver Meteor,98,-79.285006,34.548614,76.95,POINT (-79.285006 34.548614)
2024-01-18,1705648062,Silver Meteor,97,-79.284938,34.548736,80.46,POINT (-79.284938 34.548736)
2024-01-29,1706572040,Palmetto,89,-79.284594,34.549327,78.46,POINT (-79.284594 34.549327)
2024-01-24,1706133729,Palmetto,89,-79.284152,34.550002,79.0,POINT (-79.284152 34.550002)
2024-01-22,1705993133,Silver Meteor,98,-79.283191,34.551425,77.19,POINT (-79.283191 34.551425)
2024-01-30,1706685053,Silver Meteor,97,-79.282229,34.552898,71.99,POINT (-79.282229 34.552898)
2024-01-20,1705821597,Silver Meteor,97,-79.282184,34.552962,77.97,POINT (-79.282184 34.552962)
2024-01-28,1706521449,Silver Meteor,97,-79.282,34.553199,77.38,POINT (-79.282 34.553199)
2024-01-26,1706287809,Palmetto,90,-79.281245,34.554412,76.24,POINT (-79.281245 34.554412)
2024-01-25,1706254677,Silver Meteor,97,-79.279689,34.556823,76.4,POINT (-79.279689 34.556823)
2024-01-27,1706374387,Palmetto,90,-79.279361,34.557346,78.81,POINT (-79.279361 34.557346)
