Route,Type, Operating Revenue, Operating Expense, Adjusted Operating Earnings, Ridership (in Thousands), eCSI, Average Load Factor, OTP
Acela,NEC,266.5,134.0,132.5,1427.8,83.0,0.62,0.826
Regional,NEC,281.4,191.2,90.2,3549.2,85.2,0.56,0.869
NEC Special Trains & Adjustments,NEC,2.4,4.1,-1.7,4.2,,,
NEC,NEC,550.3,329.3,221.1,4981.2,84.6,0.57,0.827
Ethan Allen Express,State Supported,2.2,2.4,-0.2,19.2,91.9,0.41,0.844
Vermonter,State Supported,4.7,4.3,0.4,41.3,89.0,0.48,0.82
Maple Leaf,State Supported,12.6,14.7,-2.1,150.9,93.0,0.39,0.697
The Downeaster,State Supported,6.5,7.6,-1.1,205.2,94.5,0.29,0.798
New Haven - Springfield,State Supported,9.7,11.2,-1.5,145.0,89.3,,0.89
Keystone Service,State Supported,21.6,23.0,-1.4,647.3,91.9,0.4,0.906
Empire Service,State Supported,19.4,26.8,-7.3,495.0,88.9,0.5,0.793
Chicago-St.Louis,State Supported,12.4,13.1,-0.7,248.6,91.9,0.47,0.624
Hiawathas,State Supported,8.5,9.6,-1.1,342.3,92.5,0.39,0.929
Wolverines,State Supported,12.4,13.9,-1.5,199.8,88.4,0.57,0.44
Illini,State Supported,7.0,6.5,0.4,109.0,89.8,0.43,0.279
Illinois Zephyr,State Supported,6.0,6.1,-0.1,77.0,93.8,0.37,0.804
Heartland Flyer,State Supported,2.4,2.8,-0.4,25.5,94.0,0.43,0.554
Pacific Surfliner,State Supported,44.9,55.2,-10.3,1052.9,88.3,0.28,0.655
Cascades,State Supported,20.2,28.8,-8.6,301.9,90.7,0.52,0.518
Capitols,State Supported,25.7,29.2,-3.5,717.4,92.0,0.31,0.863
San Joaquins,State Supported,34.9,39.9,-5.0,425.9,89.5,0.28,0.557
Adirondack,State Supported,4.9,5.4,-0.5,44.0,86.0,0.49,0.676
Blue Water,State Supported,4.7,5.2,-0.6,70.2,92.3,0.41,0.579
Washington-Lynchburg,State Supported,5.8,4.3,1.5,87.6,91.8,0.0,0.73
Washington - Newport News,State Supported,9.8,8.2,1.6,133.9,89.8,0.0,0.771
Washington - Norfolk,State Supported,4.7,3.9,0.8,63.4,92.2,0.0,0.771
Washington - Richmond,State Supported,4.6,4.1,0.5,65.0,91.8,0.0,0.771
Hoosier State,State Supported,1.6,2.3,-0.7,11.1,92.9,0.31,0.789
Kansas City-St.Louis,State Supported,5.8,5.8,0.0,66.4,92.8,0.47,0.81
Pennsylvanian,State Supported,5.8,7.2,-1.3,86.2,91.4,0.51,0.713
Pere Marquette,State Supported,2.4,2.5,-0.1,37.7,94.0,0.48,0.708
Carolinian,State Supported,8.9,8.0,0.9,100.3,90.3,0.45,0.521
Piedmont,State Supported,3.5,3.8,-0.2,86.8,94.8,0.39,0.656
Non Nec Special Trains & Adjustments,State Supported,1.7,2.7,-0.9,18.1,,,
State Supported,State Supported,315.3,358.4,-43.1,6074.9,90.8,0.39,0.738
Silver Star,Long Distance,14.4,27.2,-12.9,157.9,82.4,0.61,0.295
Cardinal,Long Distance,2.9,9.6,-6.7,38.9,84.9,0.51,0.562
Silver Meteor,Long Distance,16.8,31.9,-15.1,138.6,82.2,0.65,0.508
Empire Builder,Long Distance,18.2,43.3,-25.1,158.1,85.9,0.48,0.546
Capitol Limited,Long Distance,7.2,18.0,-10.8,74.0,81.2,0.66,0.267
California Zephyr,Long Distance,20.0,44.8,-24.7,165.3,87.2,0.53,0.463
Southwest Chief,Long Distance,16.6,40.6,-24.0,122.2,84.5,0.63,0.417
City of New Orleans,Long Distance,7.5,16.6,-9.1,93.1,85.7,0.54,0.705
Texas Eagle,Long Distance,9.7,21.8,-12.1,125.3,84.9,0.56,0.334
Sunset Limited,Long Distance,4.6,17.8,-13.2,35.5,85.5,0.46,0.258
Coast Starlight,Long Distance,17.5,37.4,-19.9,165.6,84.7,0.57,0.481
Lake Shore Limited,Long Distance,11.5,25.4,-13.9,134.9,80.9,0.53,0.401
Palmetto,Long Distance,11.4,14.6,-3.3,138.5,79.3,0.44,0.673
Crescent,Long Distance,12.3,27.8,-15.5,108.1,77.3,0.51,0.269
Auto Train,Long Distance,31.8,33.5,-1.8,93.9,87.1,0.62,0.717
Long Distance Adjustments,Long Distance,0.0,0.4,-0.4,,,,
Long Distance,Long Distance,202.4,410.8,-208.4,1750.0,83.6,0.56,0.469
Ancillary,Amtrak,141.8,117.4,24.4,,,,
Infrastructure,Amtrak,103.5,144.3,-40.8,,,,
Amtrak,Amtrak,1313.4,1360.2,-46.8,12806.1,87.1,0.5,0.737
