Route,Type, Operating Revenue, Operating Expense, Adjusted Operating Earnings, Ridership (in Thousands), Seat Miles (in Millions), Passenger Miles (in Millions), CSI, Average Load Factor, OTP
Acela,NEC,285.5,144.5,141.0,"1,479.6",461.8,281.3,86.5,62%,87.1%
Regional,NEC,303.4,197.8,105.5,"3,639.5","1,065.2",561.9,88.8,54%,86.1%
NEC Special Trains & Adjustments,NEC,2.5,2.9,-0.4,3.0,2.2,0.5,,,
NEC,NEC,591.4,345.3,246.1,"5,122.1","1,529.3",843.7,88.1,56%,86.4%
Ethan Allen Express,State Supported,2.1,2.1,0.0,21.4,9.7,4.1,81.3,42%,85.0%
Vermonter,State Supported,4.8,4.3,0.5,42.7,21.5,11.0,93.9,55%,81.5%
Maple Leaf,State Supported,13.4,13.9,-0.5,159.1,90.3,46.6,87.9,44%,70.1%
The Downeaster,State Supported,6.7,6.8,-0.2,229.4,65.1,18.5,92.4,31%,86.0%
New Haven - Springfield,State Supported,8.8,10.1,-1.3,207.4,21.6,12.7,93.5,0%,88.4%
Keystone Service,State Supported,22.8,24.3,-1.6,664.3,124.7,58.8,91.4,41%,93.4%
Empire Service,State Supported,23.7,27.2,-3.6,505.2,150.2,60.6,88.7,51%,92.8%
Chicago-St.Louis,State Supported,13.9,14.8,-0.9,255.4,107.0,47.4,98.0,46%,80.6%
Hiawathas,State Supported,8.3,10.2,-1.9,343.7,73.9,27.7,92.7,37%,91.9%
Wolverines,State Supported,13.2,14.2,-1.0,194.0,86.7,42.7,87.9,52%,29.5%
Illini,State Supported,7.5,7.3,0.2,114.0,57.2,19.2,86.7,34%,48.2%
Illinois Zephyr,State Supported,5.8,6.5,-0.7,77.2,38.2,12.6,96.7,34%,80.7%
Heartland Flyer,State Supported,2.6,2.7,-0.1,27.0,10.6,4.8,92.5,45%,66.6%
Pacific Surfliner,State Supported,51.0,57.1,-6.2,"1,132.1",334.9,98.3,91.4,28%,77.9%
Cascades,State Supported,24.7,24.9,-0.2,292.6,89.6,45.4,87.1,51%,70.5%
Capitols,State Supported,25.4,29.2,-3.8,744.0,171.8,49.7,95.1,30%,84.5%
San Joaquins,State Supported,35.4,40.0,-4.6,421.1,213.3,57.0,86.7,25%,70.5%
Adirondack,State Supported,4.9,5.3,-0.4,41.0,18.2,11.8,57.6,49%,77.6%
Blue Water,State Supported,4.8,5.1,-0.3,66.5,34.0,13.1,90.5,39%,46.7%
Washington-Lynchburg,State Supported,5.9,4.2,1.7,94.7,34.1,21.6,92.9,0%,76.8%
Washington - Newport News,State Supported,9.3,8.3,1.0,139.4,54.4,26.3,96.5,0%,82.4%
Washington - Norfolk,State Supported,6.5,7.4,-0.9,140.6,63.4,27.5,95.1,0%,82.4%
Washington - Richmond,State Supported,2.8,2.7,0.2,47.2,18.9,7.2,94.2,0%,82.4%
Hoosier State,State Supported,-,0.0,0.0,0.0,0.0,0.0,,0%,0.0%
Kansas City-St.Louis,State Supported,4.8,5.2,-0.3,61.0,24.0,11.7,95.6,45%,70.3%
Pennsylvanian,State Supported,6.7,7.0,-0.2,86.2,35.0,19.7,92.5,50%,83.3%
Pere Marquette,State Supported,2.5,2.5,0.0,35.8,11.9,5.4,91.1,45%,64.5%
Carolinian,State Supported,8.3,7.3,1.0,97.9,50.2,25.8,96.2,42%,77.7%
Piedmont,State Supported,3.6,3.8,-0.2,97.2,31.2,11.1,99.0,40%,75.8%
Non Nec Special Trains & Adjustments,State Supported,1.4,3.6,-2.3,15.8,0.9,0.5,,,
State Supported,State Supported,331.6,358.1,-26.5,"6,353.6","2,042.6",798.6,91.7,38%,79.7%
Silver Star,Long Distance,14.5,28.2,-13.8,146.2,116.9,63.9,86.7,60%,50.7%
Cardinal,Long Distance,3.5,10.6,-7.2,40.7,32.1,13.8,85.2,49%,65.8%
Silver Meteor,Long Distance,16.8,30.0,-13.2,130.9,129.4,71.1,85.6,62%,58.8%
Empire Builder,Long Distance,17.7,44.2,-26.6,150.0,216.2,91.1,87.2,45%,62.7%
Capitol Limited,Long Distance,6.8,17.5,-10.7,74.1,51.8,31.7,82.1,62%,39.7%
California Zephyr,Long Distance,19.8,45.5,-25.7,162.1,206.8,93.5,89.0,49%,52.8%
Southwest Chief,Long Distance,16.6,41.1,-24.5,119.0,167.6,92.9,91.5,58%,50.7%
City of New Orleans,Long Distance,7.3,17.0,-9.7,85.9,70.0,35.1,84.7,52%,86.8%
Texas Eagle,Long Distance,9.7,21.3,-11.6,117.1,93.8,52.3,80.9,41%,40.8%
Sunset Limited,Long Distance,4.7,18.0,-13.3,34.6,62.1,25.5,79.2,47%,27.6%
Coast Starlight,Long Distance,17.5,35.3,-17.8,162.5,144.7,74.3,88.0,55%,57.3%
Lake Shore Limited,Long Distance,12.0,24.4,-12.4,141.5,121.3,59.1,85.9,56%,55.9%
Palmetto,Long Distance,11.4,14.6,-3.3,132.6,80.7,32.4,87.8,40%,70.0%
Crescent,Long Distance,12.4,26.3,-13.8,106.4,101.1,45.8,82.0,48%,36.7%
Auto Train,Long Distance,33.4,34.6,-1.1,92.9,146.7,79.5,77.9,59%,52.7%
Long Distance Adjustments,Long Distance,0.0,0.4,-0.4,,,,,,
Long Distance,Long Distance,204.0,409.0,-205.0,"1,696.6","1,741.1",862.2,86.0,52%,55.3%
Ancillary,Amtrak,148.6,128.1,20.5,,,,,,
Infrastructure,Amtrak,104.5,143.7,-39.2,,,,,,
Amtrak,Amtrak,"1,380.0","1,384.2",-4.2,"13,172.3","5,313.0","2,504.4",89.6,48%,79.3%
