Route,Type, Operating Revenue, Operating Expense, Adjusted Operating Earnings, Ridership (in Thousands), eCSI, Average Load Factor, OTP
Acela,NEC,219.8,107.9,111.9,"1,175.5",82.9,62%,84.5%
Regional,NEC,235.2,152.7,82.5,"2,950.9",85.0,57%,82.6%
NEC Special Trains & Adjustments,NEC,2.0,3.7,(1.7),3.1,,,
NEC,NEC,456.9,264.3,192.6,"4,129.5",84.4,59%,83.2%
Ethan Allen Express,State Supported,1.8,2.0,(0.2),16.1,91.7,42%,91.9%
Vermonter,State Supported,3.7,3.4,0.4,35.0,88.9,49%,84.1%
Maple Leaf,State Supported,9.8,11.7,(2.0),127.3,92.9,41%,79.6%
The Downeaster,State Supported,4.9,6.4,(1.5),164.7,94.5,29%,72.1%
New Haven - Springfield,State Supported,7.8,9.3,(1.5),120.7,89.1,,
Keystone Service,State Supported,17.8,18.3,(0.5),534.1,91.6,41%,86.3%
Empire Service,State Supported,16.4,20.6,(4.2),409.7,88.4,51%,83.5%
Chicago-St.Louis,State Supported,6.1,10.6,(4.5),207.9,92.0,48%,70.0%
Hiawathas,State Supported,6.9,7.8,(0.9),281.4,92.2,39%,89.4%
Wolverines,State Supported,9.6,11.0,(1.4),166.4,88.6,58%,56.8%
Illini,State Supported,2.5,5.3,(2.8),91.6,89.9,44%,37.8%
Illinois Zephyr,State Supported,1.8,4.9,(3.1),65.1,93.6,38%,86.0%
Heartland Flyer,State Supported,1.9,2.2,(0.3),22.0,94.3,44%,42.9%
Pacific Surfliner,State Supported,35.6,43.9,(8.3),872.3,88.0,28%,67.6%
Cascades,State Supported,17.7,23.2,(5.5),250.0,90.7,51%,52.5%
Capitols,State Supported,20.5,23.4,(2.9),582.2,92.0,31%,87.4%
San Joaquins,State Supported,26.9,32.4,(5.6),355.2,89.8,29%,61.7%
Adirondack,State Supported,3.8,4.4,(0.6),38.4,85.8,51%,63.7%
Blue Water,State Supported,3.6,4.2,(0.5),58.8,92.4,42%,69.0%
Washington-Lynchburg,State Supported,4.8,3.5,1.4,74.9,92.1,0%,56.5%
Washington - Newport News,State Supported,8.0,6.6,1.4,113.9,89.8,0%,72.4%
Washington - Norfolk,State Supported,3.8,3.1,0.7,53.4,92.3,0%,72.4%
Washington - Richmond,State Supported,3.8,3.3,0.5,54.8,92.1,0%,72.4%
Hoosier State,State Supported,1.3,1.9,(0.6),9.6,92.5,27%,83.3%
Kansas City-St.Louis,State Supported,4.6,4.7,(0.0),56.4,92.6,47%,84.0%
Pennsylvanian,State Supported,4.7,5.8,(1.1),73.0,91.7,53%,70.1%
Pere Marquette,State Supported,2.0,2.1,(0.2),31.7,93.7,48%,75.6%
Carolinian,State Supported,7.1,6.3,0.8,84.5,89.6,47%,55.0%
Piedmont,State Supported,2.8,3.0,(0.1),71.7,94.8,39%,53.5%
Non Nec Special Trains & Adjustments,State Supported,1.7,2.1,(0.3),18.0,,,
State Supported,State Supported,243.7,287.3,(43.6),"5,040.6",90.7,40%,74.9%
Silver Star,Long Distance,12.1,22.3,(10.2),132.8,81.9,61%,36.6%
Cardinal,Long Distance,2.4,7.8,(5.3),33.2,84.6,52%,60.8%
Silver Meteor,Long Distance,14.1,26.0,(11.9),116.1,82.3,64%,63.5%
Empire Builder,Long Distance,15.5,34.8,(19.3),132.8,85.8,49%,76.3%
Capitol Limited,Long Distance,6.3,14.9,(8.6),63.3,81.2,67%,26.9%
California Zephyr,Long Distance,16.8,36.3,(19.5),132.7,87.2,54%,53.0%
Southwest Chief,Long Distance,14.3,32.6,(18.4),104.1,84.8,63%,51.2%
City of New Orleans,Long Distance,6.3,13.3,(7.0),77.9,85.7,55%,87.7%
Texas Eagle,Long Distance,8.3,17.6,(9.3),106.1,84.8,57%,40.6%
Sunset Limited,Long Distance,4.1,14.8,(10.8),31.6,86.3,47%,33.0%
Coast Starlight,Long Distance,15.2,30.7,(15.5),141.6,84.8,58%,59.8%
Lake Shore Limited,Long Distance,10.0,20.8,(10.9),115.0,80.6,52%,53.0%
Palmetto,Long Distance,9.8,12.2,(2.3),119.0,79.1,45%,65.4%
Crescent,Long Distance,10.5,22.6,(12.1),91.7,78.2,52%,18.6%
Auto Train,Long Distance,26.4,27.4,(1.0),76.9,86.8,62%,79.0%
Long Distance Adjustments,Long Distance,(0.0),0.5,(0.5),,,,
Long Distance,Long Distance,172.0,334.5,(162.5),"1,474.6",83.6,56%,55.5%
Ancillary,Amtrak,113.4,97.9,15.5,,,,
Infrastructure,Amtrak,83.3,116.1,(32.9),,,,
Amtrak,Amtrak,"1,069.4","1,100.2",(30.8),"10,644.7",87.0,51%,74.9%
