Route,Type, Operating Revenue, Operating Expense, Adjusted Operating Earnings, Ridership (in Thousands), Seat Miles (in Millions), Passenger Miles (in Millions), CSI, Average Load Factor, OTP
Acela,NEC,235.8,111.6,124.2,"1,215.7",373.8,231.5,84.4,63%,86.7%
Regional,NEC,252.0,159.9,92.1,"3,009.1",860.4,466.4,86.5,56%,85.3%
NEC Special Trains & Adjustments,NEC,1.7,2.5,-0.8,2.2,1.7,0.3,,,
NEC,NEC,489.4,273.9,215.5,"4,227.1","1,236.0",698.1,85.9,58%,85.7%
Ethan Allen Express,State Supported,1.7,1.7,0.0,17.7,7.8,3.4,93.4,43%,83.5%
Vermonter,State Supported,3.9,3.5,0.4,35.8,17.2,9.2,90.3,56%,79.2%
Maple Leaf,State Supported,10.9,11.2,-0.2,133.8,73.3,39.6,91.2,45%,68.9%
The Downeaster,State Supported,5.2,5.5,-0.3,186.6,52.5,15.1,94.1,31%,84.9%
New Haven - Springfield,State Supported,7.0,8.1,-1.0,170.3,17.5,10.6,88.7,0%,87.4%
Keystone Service,State Supported,18.7,19.8,-1.1,547.1,101.2,48.9,91.9,42%,92.9%
Empire Service,State Supported,18.2,21.9,-3.7,415.5,121.9,49.8,89.9,53%,92.5%
Chicago-St.Louis,State Supported,11.1,11.7,-0.6,211.7,86.5,39.5,88.2,48%,80.6%
Hiawathas,State Supported,6.9,8.2,-1.3,284.1,59.9,22.9,92.5,38%,91.7%
Wolverines,State Supported,10.3,11.4,-1.2,160.9,70.2,35.3,83.8,53%,25.9%
Illini,State Supported,6.2,5.8,0.4,94.4,45.2,16.0,89.7,36%,44.0%
Illinois Zephyr,State Supported,4.8,5.1,-0.3,65.0,31.1,10.6,94.3,36%,79.5%
Heartland Flyer,State Supported,2.1,2.2,-0.1,23.1,8.9,4.1,93.5,46%,67.3%
Pacific Surfliner,State Supported,39.4,45.3,-5.9,925.2,273.0,81.3,88.7,29%,75.7%
Cascades,State Supported,19.8,20.4,-0.6,243.2,72.9,37.8,89.2,52%,71.2%
Capitols,State Supported,19.3,23.2,-3.9,603.4,139.4,40.5,90.1,30%,84.7%
San Joaquins,State Supported,28.9,32.1,-3.2,347.5,174.7,47.6,89.1,26%,69.6%
Adirondack,State Supported,4.2,4.4,-0.3,36.9,15.8,10.7,88.4,52%,77.4%
Blue Water,State Supported,3.8,4.0,-0.2,55.5,27.8,11.0,89.7,40%,43.8%
Washington-Lynchburg,State Supported,4.9,3.4,1.5,80.4,27.5,18.6,91.4,0%,75.0%
Washington - Newport News,State Supported,7.9,6.9,1.0,119.1,46.1,22.7,89.6,0%,81.0%
Washington - Norfolk,State Supported,7.4,6.2,1.3,121.4,52.2,23.8,93.0,0%,81.0%
Washington - Richmond,State Supported,2.1,2.2,-0.1,39.5,15.4,6.1,91.4,0%,81.0%
Hoosier State,State Supported,-,0.0,0.0,0.0,0.0,0.0,,0%,0.0%
Kansas City-St.Louis,State Supported,3.8,4.0,-0.1,51.5,19.2,9.8,91.5,45%,70.2%
Pennsylvanian,State Supported,5.7,5.6,0.1,72.8,28.2,16.8,91.6,53%,82.1%
Pere Marquette,State Supported,2.1,2.0,0.1,30.3,9.8,4.6,93.1,46%,64.2%
Carolinian,State Supported,6.8,5.9,0.9,82.9,40.8,22.1,90.8,44%,78.1%
Piedmont,State Supported,2.9,3.1,-0.2,80.4,25.5,9.2,94.5,41%,76.1%
Non Nec Special Trains & Adjustments,State Supported,1.4,3.1,-1.7,15.8,0.7,0.5,,,
State Supported,State Supported,267.6,287.7,-20.1,"5,251.6","1,662.5",668.0,90.3,39%,78.8%
Silver Star,Long Distance,12.2,22.9,-10.8,121.7,96.3,53.0,83.8,60%,49.4%
Cardinal,Long Distance,3.0,8.7,-5.7,35.4,27.6,12.0,79.5,49%,66.4%
Silver Meteor,Long Distance,14.1,24.2,-10.1,109.7,107.8,59.1,82.1,62%,57.0%
Empire Builder,Long Distance,15.1,35.9,-20.8,126.0,178.5,77.5,86.5,46%,62.3%
Capitol Limited,Long Distance,5.9,14.2,-8.3,62.7,43.4,26.9,80.6,63%,38.3%
California Zephyr,Long Distance,16.6,36.4,-19.7,129.3,168.6,79.1,85.4,51%,53.3%
Southwest Chief,Long Distance,14.3,33.0,-18.8,101.5,142.2,79.5,82.7,59%,47.4%
City of New Orleans,Long Distance,6.1,13.6,-7.5,71.7,57.3,29.2,82.9,52%,86.2%
Texas Eagle,Long Distance,8.2,17.0,-8.9,97.6,78.2,44.0,83.8,41%,42.5%
Sunset Limited,Long Distance,4.0,14.4,-10.5,29.3,52.1,21.7,83.0,47%,30.2%
Coast Starlight,Long Distance,15.0,29.0,-14.0,136.9,121.3,63.2,84.0,56%,56.1%
Lake Shore Limited,Long Distance,10.4,19.7,-9.3,121.7,104.9,51.3,84.4,56%,53.1%
Palmetto,Long Distance,9.6,11.7,-2.1,110.3,66.1,27.3,84.4,41%,70.3%
Crescent,Long Distance,10.7,21.5,-10.8,91.2,85.1,39.8,79.6,50%,36.0%
Auto Train,Long Distance,27.4,28.1,-0.7,75.1,119.2,64.2,86.6,59%,52.7%
Long Distance Adjustments,Long Distance,0.0,0.4,-0.4,,,,,,
Long Distance,Long Distance,172.4,330.7,-158.3,"1,420.1","1,448.6",727.7,83.6,53%,54.5%
Ancillary,Amtrak,119.7,103.8,15.9,,,,,,
Infrastructure,Amtrak,83.3,116.7,-33.4,,,,,,
Amtrak,Amtrak,"1,132.4","1,112.8",19.6,"10,898.8","4,347.1","2,093.8",87.5,49%,78.4%
