Route,Type, Operating Revenue, Operating Expense, Adjusted Operating Earnings, Ridership (in Thousands), eCSI, Average Load Factor, OTP
Acela,NEC,321.9,161.6,160.3,"1,722.5",83.1,61%,83.7%
Regional,NEC,341.0,228.6,112.4,"4,283.4",85.2,55%,88.1%
NEC Special Trains & Adjustments,NEC,3.1,5.9,(2.8),6.0,,,
NEC,NEC,666.0,396.1,269.9,"6,011.9",84.6,57%,83.7%
Ethan Allen Express,State Supported,2.7,2.9,(0.2),23.0,91.4,41%,85.4%
Vermonter,State Supported,5.7,5.3,0.4,49.1,89.0,47%,84.2%
Maple Leaf,State Supported,15.8,17.6,(1.8),181.7,93.1,39%,70.0%
The Downeaster,State Supported,7.9,8.9,(1.0),252.0,94.6,29%,80.5%
New Haven - Springfield,State Supported,11.5,13.0,(1.5),174.5,89.1,,89.5%
Keystone Service,State Supported,26.6,27.4,(0.8),781.9,92.0,40%,91.6%
Empire Service,State Supported,25.0,32.0,(7.0),592.8,89.2,50%,80.6%
Chicago-St.Louis,State Supported,15.5,15.8,(0.2),303.4,91.7,47%,61.7%
Hiawathas,State Supported,10.4,11.5,(1.1),416.8,92.4,39%,93.2%
Wolverines,State Supported,15.5,16.5,(1.0),239.8,88.3,57%,45.7%
Illini,State Supported,8.5,7.9,0.5,133.5,89.6,43%,28.9%
Illinois Zephyr,State Supported,7.3,7.3,(0.1),93.9,93.8,38%,82.0%
Heartland Flyer,State Supported,3.0,3.3,(0.3),32.8,94.1,44%,57.3%
Pacific Surfliner,State Supported,56.1,66.5,(10.4),"1,281.5",88.3,28%,65.9%
Cascades,State Supported,31.0,34.6,(3.6),367.7,90.4,53%,52.6%
Capitols,State Supported,31.1,35.4,(4.3),867.6,91.9,32%,87.1%
San Joaquins,State Supported,41.7,48.1,(6.4),517.8,89.2,28%,56.9%
Adirondack,State Supported,6.1,6.6,(0.5),52.4,86.1,48%,70.2%
Blue Water,State Supported,5.9,6.1,(0.3),86.5,92.1,42%,55.5%
Washington-Lynchburg,State Supported,7.3,5.2,2.1,105.1,91.1,0%,73.6%
Washington - Newport News,State Supported,11.9,9.6,2.3,159.0,89.8,0%,77.6%
Washington - Norfolk,State Supported,6.4,5.2,1.1,83.5,92.2,0%,77.6%
Washington - Richmond,State Supported,5.3,4.6,0.8,73.0,92.4,0%,77.6%
Hoosier State,State Supported,2.0,2.8,(0.8),13.8,92.5,44%,80.3%
Kansas City-St.Louis,State Supported,6.9,6.7,0.1,75.8,92.6,48%,79.7%
Pennsylvanian,State Supported,7.2,8.6,(1.3),103.3,91.2,51%,70.5%
Pere Marquette,State Supported,2.9,2.9,(0.0),45.3,93.7,48%,71.6%
Carolinian,State Supported,11.1,9.3,1.7,121.8,90.6,45%,56.9%
Piedmont,State Supported,4.4,4.6,(0.2),107.1,95.2,39%,69.8%
Non Nec Special Trains & Adjustments,State Supported,1.8,3.2,(1.5),18.1,,,
State Supported,State Supported,394.2,429.4,(35.2),"7,354.5",90.8,39%,74.6%
Silver Star,Long Distance,17.5,32.4,(15.0),193.2,82.5,60%,29.5%
Cardinal,Long Distance,3.6,11.6,(8.0),48.4,84.7,51%,56.2%
Silver Meteor,Long Distance,20.3,38.3,(17.9),169.2,82.4,65%,50.2%
Empire Builder,Long Distance,21.8,53.0,(31.2),190.4,85.7,49%,50.8%
Capitol Limited,Long Distance,8.6,21.4,(12.8),88.9,80.9,67%,30.6%
California Zephyr,Long Distance,23.3,53.0,(29.7),198.6,86.7,52%,45.0%
Southwest Chief,Long Distance,20.3,49.2,(28.9),150.0,84.2,64%,40.7%
City of New Orleans,Long Distance,9.0,19.8,(10.9),115.1,85.5,53%,68.8%
Texas Eagle,Long Distance,11.9,26.5,(14.6),154.7,84.6,57%,29.2%
Sunset Limited,Long Distance,5.7,21.4,(15.8),44.1,85.0,47%,22.3%
Coast Starlight,Long Distance,20.6,44.1,(23.5),197.1,84.3,57%,48.2%
Lake Shore Limited,Long Distance,13.6,30.6,(16.9),163.7,81.4,52%,44.1%
Palmetto,Long Distance,13.5,17.7,(4.2),165.9,79.6,43%,69.3%
Crescent,Long Distance,15.1,33.8,(18.7),134.3,77.4,50%,25.9%
Auto Train,Long Distance,38.7,42.7,(3.9),114.5,87.4,61%,71.2%
Long Distance Adjustments,Long Distance,(0.0),0.5,(0.5),,,,
Long Distance,Long Distance,243.7,496.0,(252.3),"2,128.1",83.5,56%,46.4%
Ancillary,Amtrak,167.8,138.5,29.3,,,,
Infrastructure,Amtrak,124.5,172.6,(48.1),,,,
Amtrak,Amtrak,"1,596.2","1,632.6",(36.4),"15,494.4",87.1,50%,74.4%
