Route,Type, Operating Revenue, Operating Expense, Adjusted Operating Earnings, Ridership (in Thousands), eCSI, Average Load Factor, OTP
Acela,NEC,124.8,54.7,70.0,659.7,83.2,67%,82.8%
Regional,NEC,130.2,74.2,56.0,"1,625.8",85.2,62%,80.2%
NEC Special Trains & Adjustments,NEC,0.6,1.1,(0.5),0.7,,,
NEC,NEC,255.6,130.0,125.5,"2,286.2",84.6,63%,81.1%
Ethan Allen Express,State Supported,1.0,1.0,(0.0),8.1,90.8,43%,86.9%
Vermonter,State Supported,2.0,1.6,0.4,18.6,89.1,52%,78.7%
Maple Leaf,State Supported,5.2,5.5,(0.3),65.3,92.6,43%,75.4%
The Downeaster,State Supported,2.3,2.9,(0.6),86.5,94.5,31%,60.8%
New Haven - Springfield,State Supported,3.9,4.4,(0.5),64.4,89.2,,
Keystone Service,State Supported,9.7,8.9,0.8,281.8,91.9,43%,81.5%
Empire Service,State Supported,9.1,9.8,(0.7),217.6,88.2,53%,79.9%
Chicago-St.Louis,State Supported,3.2,5.4,(2.2),110.0,91.0,50%,66.8%
Hiawathas,State Supported,4.1,3.9,0.2,152.1,92.5,41%,88.5%
Wolverines,State Supported,5.8,5.4,0.4,86.5,88.0,58%,59.1%
Illini,State Supported,1.3,2.7,(1.4),47.7,90.5,45%,37.3%
Illinois Zephyr,State Supported,0.9,2.5,(1.6),34.4,94.4,39%,83.8%
Heartland Flyer,State Supported,0.7,0.9,(0.2),11.7,95.4,44%,24.8%
Pacific Surfliner,State Supported,19.3,22.2,(2.9),462.2,88.7,30%,66.1%
Cascades,State Supported,10.7,12.1,(1.4),128.1,91.2,50%,55.9%
Capitols,State Supported,10.6,11.6,(1.0),310.2,92.4,34%,87.9%
San Joaquins,State Supported,14.1,16.0,(1.9),185.9,89.6,33%,57.7%
Adirondack,State Supported,1.9,2.2,(0.3),21.4,85.8,55%,58.2%
Blue Water,State Supported,2.2,2.0,0.1,30.1,92.4,42%,73.0%
Washington-Lynchburg,State Supported,2.8,1.7,1.1,40.1,92.8,0%,47.5%
Washington - Newport News,State Supported,4.6,3.1,1.4,61.2,89.1,0%,68.5%
Washington - Norfolk,State Supported,2.1,1.6,0.5,28.2,92.8,0%,68.5%
Washington - Richmond,State Supported,2.1,1.6,0.5,29.8,92.1,0%,68.5%
Hoosier State,State Supported,0.7,1.0,(0.3),5.1,91.5,38%,78.6%
Kansas City-St.Louis,State Supported,2.7,2.3,0.4,31.4,93.1,44%,82.6%
Pennsylvanian,State Supported,2.6,2.8,(0.2),38.6,92.2,56%,58.2%
Pere Marquette,State Supported,1.1,1.1,0.0,15.7,93.6,49%,73.8%
Carolinian,State Supported,3.7,3.0,0.7,45.8,88.7,49%,54.9%
Piedmont,State Supported,1.6,1.5,0.1,40.0,95.0,43%,41.4%
Non Nec Special Trains & Adjustments,State Supported,0.5,0.9,(0.4),3.5,,,
State Supported,State Supported,132.5,142.0,(9.4),"2,662.1",90.8,42%,72.1%
Silver Star,Long Distance,5.6,10.4,(4.9),62.1,81.7,61%,41.0%
Cardinal,Long Distance,1.2,3.9,(2.7),16.8,84.3,51%,48.1%
Silver Meteor,Long Distance,6.7,12.8,(6.0),56.2,82.3,65%,66.4%
Empire Builder,Long Distance,8.1,16.8,(8.7),64.1,85.7,49%,71.6%
Capitol Limited,Long Distance,3.4,7.7,(4.3),33.6,81.9,68%,16.4%
California Zephyr,Long Distance,8.7,18.4,(9.7),61.4,86.8,59%,42.6%
Southwest Chief,Long Distance,7.8,16.5,(8.7),53.5,85.1,63%,36.9%
City of New Orleans,Long Distance,3.3,6.8,(3.4),40.5,84.8,57%,91.0%
Texas Eagle,Long Distance,4.4,8.9,(4.5),53.8,84.7,56%,29.5%
Sunset Limited,Long Distance,2.2,7.7,(5.5),16.4,87.3,46%,30.8%
Coast Starlight,Long Distance,7.7,15.5,(7.8),71.0,84.2,59%,65.6%
Lake Shore Limited,Long Distance,5.5,10.8,(5.3),61.1,81.5,51%,47.1%
Palmetto,Long Distance,5.2,6.1,(0.9),64.2,79.3,45%,65.6%
Crescent,Long Distance,5.5,11.4,(5.9),47.1,79.1,53%,18.0%
Auto Train,Long Distance,12.1,13.9,(1.8),36.2,87.0,62%,81.0%
Long Distance Adjustments,Long Distance,0.0,0.3,(0.3),,,,
Long Distance,Long Distance,87.4,168.0,(80.6),737.9,83.6,57%,52.0%
Ancillary,Amtrak,55.8,52.2,3.6,,,,
Infrastructure,Amtrak,41.4,55.1,(13.7),,,,
Amtrak,Amtrak,572.7,547.3,25.4,"5,686.3",87.2,53%,72.3%
