Route,Type, Operating Revenue, Operating Expense, Adjusted Operating Earnings, Ridership (in Thousands), Seat Miles (in Millions), Passenger Miles (in Millions), CSI, Average Load Factor, OTP
Acela,NEC,69.4,29.7,39.8,351.7,100.5,66.8,83.3,67%,84.6%
Regional,NEC,68.0,40.0,28.0,808.8,218.7,124.5,85.6,59%,83.6%
NEC Special Trains & Adjustments,NEC,0.3,0.5,-0.2,0.6,0.3,0.0,,,
NEC,NEC,137.8,70.2,67.6,"1,161.1",319.5,191.3,84.9,61%,83.9%
Ethan Allen Express,State Supported,0.5,0.5,0.1,4.3,1.9,0.8,88.0,44%,77.1%
Vermonter,State Supported,1.1,0.9,0.2,9.5,4.6,2.4,86.9,58%,85.7%
Maple Leaf,State Supported,2.8,2.8,0.0,31.9,17.3,9.3,87.6,52%,71.5%
The Downeaster,State Supported,1.2,1.4,-0.2,50.4,13.0,4.1,93.9,33%,77.6%
New Haven - Springfield,State Supported,2.3,1.9,0.4,34.1,4.4,2.7,84.2,0%,71.4%
Keystone Service,State Supported,5.2,4.8,0.4,145.3,26.2,12.4,91.1,42%,82.0%
Empire Service,State Supported,4.7,5.6,-0.9,110.7,30.8,13.1,90.7,53%,76.2%
Chicago-St.Louis,State Supported,2.6,2.9,-0.2,50.6,20.6,9.3,88.7,47%,87.8%
Hiawathas,State Supported,1.8,2.1,-0.3,73.3,14.9,5.9,98.3,39%,74.9%
Wolverines,State Supported,2.6,2.8,-0.2,38.7,15.8,8.4,81.0,55%,91.2%
Illini,State Supported,1.5,1.4,0.1,24.0,11.3,4.0,96.4,37%,66.6%
Illinois Zephyr,State Supported,1.2,1.2,0.0,14.9,7.2,2.5,93.3,35%,60.6%
Heartland Flyer,State Supported,0.6,0.6,0.0,6.1,2.4,1.1,92.0,48%,91.7%
Pacific Surfliner,State Supported,9.7,11.0,-1.3,238.5,65.1,19.3,86.9,28%,0.0%
Cascades,State Supported,5.5,5.4,0.1,63.8,18.9,10.0,89.1,55%,71.8%
Capitols,State Supported,5.8,5.8,0.0,162.5,34.7,10.6,91.5,32%,79.4%
San Joaquins,State Supported,7.9,8.0,-0.1,82.2,41.9,10.9,85.3,25%,37.6%
Adirondack,State Supported,1.3,1.1,0.2,11.3,4.0,3.3,87.1,60%,85.8%
Blue Water,State Supported,1.0,1.0,0.0,13.4,7.1,2.6,92.3,39%,92.2%
Washington-Lynchburg,State Supported,1.4,0.9,0.5,21.7,6.9,4.8,90.9,0%,30.7%
Washington - Newport News,State Supported,2.0,1.4,0.6,31.9,9.9,5.6,90.1,0%,49.9%
Washington - Norfolk,State Supported,2.2,1.4,0.8,33.6,13.2,6.3,95.3,0%,61.3%
Washington - Richmond,State Supported,0.7,0.5,0.2,10.9,3.7,1.5,92.5,0%,18.6%
Hoosier State,State Supported,-,0.0,0.0,0.0,0.0,0.0,,0%,68.0%
Kansas City-St.Louis,State Supported,1.3,1.0,0.2,14.1,5.0,2.5,94.1,42%,73.4%
Pennsylvanian,State Supported,1.2,1.3,-0.1,18.8,6.8,4.0,95.0,54%,75.9%
Pere Marquette,State Supported,0.6,0.5,0.0,7.0,2.3,1.0,97.1,45%,63.3%
Carolinian,State Supported,1.9,1.4,0.4,22.0,10.3,5.4,92.0,46%,65.8%
Piedmont,State Supported,0.9,0.7,0.2,22.2,6.9,2.5,94.2,42%,62.1%
Non Nec Special Trains & Adjustments,State Supported,0.3,0.6,-0.3,1.2,0.2,0.2,,,
State Supported,State Supported,71.8,71.1,0.7,"1,349.2",407.2,166.5,90.4,40%,77.1%
Silver Star,Long Distance,2.6,5.5,-3.0,26.9,22.2,11.1,86.3,55%,57.6%
Cardinal,Long Distance,0.8,2.2,-1.4,9.9,7.0,3.2,75.3,52%,74.3%
Silver Meteor,Long Distance,2.9,5.8,-2.9,24.8,23.0,13.0,81.5,63%,58.0%
Empire Builder,Long Distance,4.3,8.6,-4.3,30.5,46.6,21.8,90.3,50%,43.8%
Capitol Limited,Long Distance,1.7,3.8,-2.1,16.6,10.9,7.2,78.2,70%,59.1%
California Zephyr,Long Distance,4.4,9.2,-4.8,29.3,39.9,21.5,87.5,58%,39.8%
Southwest Chief,Long Distance,4.0,9.0,-5.0,25.1,32.3,20.4,86.2,66%,70.7%
City of New Orleans,Long Distance,1.6,3.4,-1.8,19.2,14.7,7.8,91.4,53%,64.9%
Texas Eagle,Long Distance,2.0,4.4,-2.4,25.2,22.0,11.5,82.3,38%,43.1%
Sunset Limited,Long Distance,0.9,3.6,-2.7,6.8,13.5,5.0,87.1,42%,35.2%
Coast Starlight,Long Distance,3.6,7.2,-3.6,32.0,29.3,15.4,86.0,57%,17.5%
Lake Shore Limited,Long Distance,2.8,4.9,-2.1,30.9,28.1,13.4,86.8,53%,39.3%
Palmetto,Long Distance,2.3,2.7,-0.4,27.4,15.5,6.2,89.6,40%,0.0%
Crescent,Long Distance,2.7,5.3,-2.6,22.9,20.3,9.7,80.3,51%,0.0%
Auto Train,Long Distance,6.2,7.0,-0.8,17.4,31.0,14.9,84.2,54%,0.0%
Long Distance Adjustments,Long Distance,0.0,(0.1),0.1,,,,,,
Long Distance,Long Distance,42.8,82.6,-39.8,344.8,356.4,182.0,85.6,54%,48.8%
Ancillary,Amtrak,28.6,25.6,3.0,,,,,,
Infrastructure,Amtrak,21.1,29.1,-8.1,,,,,,
Amtrak,Amtrak,302.1,278.6,23.4,"2,855.0","1,083.1",539.9,87.4,51%,76.6%
